,ATP,Date,Rank,Court,Surface,DaysOffFromMatch1,1LastGame,1LastGameDiff,1LastGameGamesDiff,1LastGameNrOfGames,DaysOffFromMatch2,2LastGame,2LastGameDiff,2LastGameGamesDiff,2LastGameNrOfGames,DaysOffFromMatch3,3LastGame,3LastGameDiff,3LastGameGamesDiff,3LastGameNrOfGames,DaysOffFromMatch4,4LastGame,4LastGameDiff,4LastGameGamesDiff,4LastGameNrOfGames,DaysOffFromMatch5,5LastGame,5LastGameDiff,5LastGameGamesDiff,5LastGameNrOfGames,MatchesInTour,Result
29174,17.0,2010-02-23,361,1.0,3.0,211.0,0.0,0.0,0.0,12.0,6.0,0.0,0.0,0.3157894736842105,19.0,15.0,0.0,0.0,0.25,16.0,12.0,0.0,0.0,0.3448275862068966,29.0,2.0,1.0,1.0,0.6785714285714286,28.0,0.0,0.0
27685,43.0,2009-07-27,131,1.0,3.0,6.0,0.0,0.0,0.3157894736842105,19.0,15.0,0.0,0.0,0.25,16.0,12.0,0.0,0.0,0.3448275862068966,29.0,2.0,1.0,1.0,0.6785714285714286,28.0,102.0,0.0,0.0,0.3684210526315789,19.0,0.0,0.0
27631,41.0,2009-07-21,134,1.0,3.0,15.0,0.0,0.0,0.25,16.0,12.0,0.0,0.0,0.3448275862068966,29.0,2.0,1.0,1.0,0.6785714285714286,28.0,102.0,0.0,0.0,0.3684210526315789,19.0,14.0,0.0,0.0,0.29411764705882354,17.0,0.0,0.0
27489,37.0,2009-07-06,102,1.0,2.0,12.0,0.0,0.0,0.3448275862068966,29.0,2.0,1.0,1.0,0.6785714285714286,28.0,102.0,0.0,0.0,0.3684210526315789,19.0,14.0,0.0,0.0,0.29411764705882354,17.0,2.0,1.0,0.6666666666666666,0.5555555555555556,27.0,0.0,0.0
27436,36.0,2009-06-24,113,1.0,2.0,2.0,1.0,1.0,0.6785714285714286,28.0,102.0,0.0,0.0,0.3684210526315789,19.0,14.0,0.0,0.0,0.29411764705882354,17.0,2.0,1.0,0.6666666666666666,0.5555555555555556,27.0,8.0,0.0,0.0,0.46153846153846156,26.0,1.0,0.0
27378,36.0,2009-06-22,113,1.0,2.0,102.0,0.0,0.0,0.3684210526315789,19.0,14.0,0.0,0.0,0.29411764705882354,17.0,2.0,1.0,0.6666666666666666,0.5555555555555556,27.0,8.0,0.0,0.0,0.46153846153846156,26.0,4.0,0.0,0.0,0.3684210526315789,19.0,0.0,1.0
26491,19.0,2009-03-12,111,1.0,3.0,14.0,0.0,0.0,0.29411764705882354,17.0,2.0,1.0,0.6666666666666666,0.5555555555555556,27.0,8.0,0.0,0.0,0.46153846153846156,26.0,4.0,0.0,0.0,0.3684210526315789,19.0,23.0,0.0,0.0,0.36666666666666664,30.0,0.0,0.0
26449,17.0,2009-02-26,117,1.0,3.0,2.0,1.0,0.6666666666666666,0.5555555555555556,27.0,8.0,0.0,0.0,0.46153846153846156,26.0,4.0,0.0,0.0,0.3684210526315789,19.0,23.0,0.0,0.0,0.36666666666666664,30.0,147.0,0.0,0.4,0.45652173913043476,46.0,1.0,0.0
26437,17.0,2009-02-24,117,1.0,3.0,8.0,0.0,0.0,0.46153846153846156,26.0,4.0,0.0,0.0,0.3684210526315789,19.0,23.0,0.0,0.0,0.36666666666666664,30.0,147.0,0.0,0.4,0.45652173913043476,46.0,8.0,0.0,0.0,0.29411764705882354,17.0,0.0,1.0
26367,15.0,2009-02-16,119,0.0,3.0,4.0,0.0,0.0,0.3684210526315789,19.0,23.0,0.0,0.0,0.36666666666666664,30.0,147.0,0.0,0.4,0.45652173913043476,46.0,8.0,0.0,0.0,0.29411764705882354,17.0,7.0,0.0,0.0,0.4090909090909091,22.0,0.0,0.0
