,ATP,Date,Rank,Court,Surface,DaysOffFromMatch1,1LastGame,1LastGameDiff,1LastGameGamesDiff,1LastGameNrOfGames,DaysOffFromMatch2,2LastGame,2LastGameDiff,2LastGameGamesDiff,2LastGameNrOfGames,DaysOffFromMatch3,3LastGame,3LastGameDiff,3LastGameGamesDiff,3LastGameNrOfGames,DaysOffFromMatch4,4LastGame,4LastGameDiff,4LastGameGamesDiff,4LastGameNrOfGames,DaysOffFromMatch5,5LastGame,5LastGameDiff,5LastGameGamesDiff,5LastGameNrOfGames,MatchesInTour,Result
13999,52.0,2004-09-14,135,1.0,0.0,31.0,0.0,0.0,0.3684210526315789,19.0,3.0,1.0,1.0,0.7058823529411765,17.0,1.0,1.0,1.0,0.6666666666666666,18.0,20.0,0.0,0.0,0.38095238095238093,21.0,2.0,1.0,1.0,0.6666666666666666,18.0,0.0,0.0
13764,47.0,2004-08-14,154,1.0,0.0,3.0,1.0,1.0,0.7058823529411765,17.0,1.0,1.0,1.0,0.6666666666666666,18.0,20.0,0.0,0.0,0.38095238095238093,21.0,2.0,1.0,1.0,0.6666666666666666,18.0,5.0,0.0,0.0,0.4090909090909091,22.0,2.0,0.0
13758,47.0,2004-08-11,154,1.0,0.0,1.0,1.0,1.0,0.6666666666666666,18.0,20.0,0.0,0.0,0.38095238095238093,21.0,2.0,1.0,1.0,0.6666666666666666,18.0,5.0,0.0,0.0,0.4090909090909091,22.0,2.0,1.0,1.0,0.5909090909090909,22.0,1.0,1.0
13747,47.0,2004-08-10,154,1.0,0.0,20.0,0.0,0.0,0.38095238095238093,21.0,2.0,1.0,1.0,0.6666666666666666,18.0,5.0,0.0,0.0,0.4090909090909091,22.0,2.0,1.0,1.0,0.5909090909090909,22.0,88.0,0.0,0.0,0.46153846153846156,26.0,0.0,1.0
13558,43.0,2004-07-21,161,1.0,0.0,2.0,1.0,1.0,0.6666666666666666,18.0,5.0,0.0,0.0,0.4090909090909091,22.0,2.0,1.0,1.0,0.5909090909090909,22.0,88.0,0.0,0.0,0.46153846153846156,26.0,3.0,1.0,0.6666666666666666,0.45161290322580644,31.0,1.0,0.0
13535,43.0,2004-07-19,161,1.0,0.0,5.0,0.0,0.0,0.4090909090909091,22.0,2.0,1.0,1.0,0.5909090909090909,22.0,88.0,0.0,0.0,0.46153846153846156,26.0,3.0,1.0,0.6666666666666666,0.45161290322580644,31.0,15.0,0.0,0.0,0.43478260869565216,23.0,0.0,1.0
13469,41.0,2004-07-14,162,1.0,0.0,2.0,1.0,1.0,0.5909090909090909,22.0,88.0,0.0,0.0,0.46153846153846156,26.0,3.0,1.0,0.6666666666666666,0.45161290322580644,31.0,15.0,0.0,0.0,0.43478260869565216,23.0,2.0,1.0,0.6666666666666666,0.56,25.0,1.0,0.0
13452,41.0,2004-07-12,162,1.0,0.0,88.0,0.0,0.0,0.46153846153846156,26.0,3.0,1.0,0.6666666666666666,0.45161290322580644,31.0,15.0,0.0,0.0,0.43478260869565216,23.0,2.0,1.0,0.6666666666666666,0.56,25.0,28.0,0.0,0.3333333333333333,0.48484848484848486,33.0,0.0,1.0
12503,21.0,2004-04-15,130,1.0,0.0,3.0,1.0,0.6666666666666666,0.45161290322580644,31.0,15.0,0.0,0.0,0.43478260869565216,23.0,2.0,1.0,0.6666666666666666,0.56,25.0,28.0,0.0,0.3333333333333333,0.48484848484848486,33.0,2.0,1.0,1.0,0.5909090909090909,22.0,1.0,0.0
12485,21.0,2004-04-12,130,1.0,0.0,15.0,0.0,0.0,0.43478260869565216,23.0,2.0,1.0,0.6666666666666666,0.56,25.0,28.0,0.0,0.3333333333333333,0.48484848484848486,33.0,2.0,1.0,1.0,0.5909090909090909,22.0,1.0,1.0,1.0,0.65,20.0,0.0,1.0
