,ATP,Date,Rank,Court,Surface,DaysOffFromMatch1,1LastGame,1LastGameDiff,1LastGameGamesDiff,1LastGameNrOfGames,DaysOffFromMatch2,2LastGame,2LastGameDiff,2LastGameGamesDiff,2LastGameNrOfGames,DaysOffFromMatch3,3LastGame,3LastGameDiff,3LastGameGamesDiff,3LastGameNrOfGames,DaysOffFromMatch4,4LastGame,4LastGameDiff,4LastGameGamesDiff,4LastGameNrOfGames,DaysOffFromMatch5,5LastGame,5LastGameDiff,5LastGameGamesDiff,5LastGameNrOfGames,MatchesInTour,Result
46547,52.0,2016-08-31,92,1.0,3.0,2.0,1.0,0.6,0.5217391304347826,46.0,19.0,0.0,0.0,0.4117647058823529,17.0,8.0,0.0,0.0,0.46153846153846156,26.0,14.0,0.0,0.0,0.43478260869565216,23.0,19.0,0.0,0.25,0.4146341463414634,41.0,1.0,0.0
46477,52.0,2016-08-29,92,1.0,3.0,19.0,0.0,0.0,0.4117647058823529,17.0,8.0,0.0,0.0,0.46153846153846156,26.0,14.0,0.0,0.0,0.43478260869565216,23.0,19.0,0.0,0.25,0.4146341463414634,41.0,3.0,1.0,1.0,0.6206896551724138,29.0,0.0,1.0
46349,49.0,2016-08-10,88,1.0,3.0,8.0,0.0,0.0,0.46153846153846156,26.0,14.0,0.0,0.0,0.43478260869565216,23.0,19.0,0.0,0.25,0.4146341463414634,41.0,3.0,1.0,1.0,0.6206896551724138,29.0,11.0,0.0,0.5,0.4583333333333333,24.0,0.0,0.0
46324,48.0,2016-08-02,89,1.0,3.0,14.0,0.0,0.0,0.43478260869565216,23.0,19.0,0.0,0.25,0.4146341463414634,41.0,3.0,1.0,1.0,0.6206896551724138,29.0,11.0,0.0,0.5,0.4583333333333333,24.0,3.0,1.0,0.6666666666666666,0.5483870967741935,31.0,0.0,0.0
46189,45.0,2016-07-19,85,1.0,0.0,19.0,0.0,0.25,0.4146341463414634,41.0,3.0,1.0,1.0,0.6206896551724138,29.0,11.0,0.0,0.5,0.4583333333333333,24.0,3.0,1.0,0.6666666666666666,0.5483870967741935,31.0,4.0,0.0,0.0,0.4090909090909091,22.0,0.0,0.0
45994,39.0,2016-06-30,94,1.0,2.0,3.0,1.0,1.0,0.6206896551724138,29.0,11.0,0.0,0.5,0.4583333333333333,24.0,3.0,1.0,0.6666666666666666,0.5483870967741935,31.0,4.0,0.0,0.0,0.4090909090909091,22.0,2.0,1.0,1.0,0.6666666666666666,9.0,1.0,0.0
45922,39.0,2016-06-27,94,1.0,2.0,11.0,0.0,0.5,0.4583333333333333,24.0,3.0,1.0,0.6666666666666666,0.5483870967741935,31.0,4.0,0.0,0.0,0.4090909090909091,22.0,2.0,1.0,1.0,0.6666666666666666,9.0,73.0,0.0,0.0,0.3076923076923077,13.0,0.0,1.0
45832,36.0,2016-06-16,100,1.0,2.0,3.0,1.0,0.6666666666666666,0.5483870967741935,31.0,4.0,0.0,0.0,0.4090909090909091,22.0,2.0,1.0,1.0,0.6666666666666666,9.0,73.0,0.0,0.0,0.3076923076923077,13.0,2.0,1.0,1.0,0.56,25.0,1.0,0.0
45812,36.0,2016-06-13,100,1.0,2.0,4.0,0.0,0.0,0.4090909090909091,22.0,2.0,1.0,1.0,0.6666666666666666,9.0,73.0,0.0,0.0,0.3076923076923077,13.0,2.0,1.0,1.0,0.56,25.0,30.0,0.0,0.3333333333333333,0.45454545454545453,33.0,0.0,1.0
45773,34.0,2016-06-09,100,1.0,2.0,2.0,1.0,1.0,0.6666666666666666,9.0,73.0,0.0,0.0,0.3076923076923077,13.0,2.0,1.0,1.0,0.56,25.0,30.0,0.0,0.3333333333333333,0.45454545454545453,33.0,6.0,0.0,0.3333333333333333,0.48484848484848486,33.0,1.0,0.0
