,ATP,Date,Rank,Court,Surface,DaysOffFromMatch1,1LastGame,1LastGameDiff,1LastGameGamesDiff,1LastGameNrOfGames,DaysOffFromMatch2,2LastGame,2LastGameDiff,2LastGameGamesDiff,2LastGameNrOfGames,DaysOffFromMatch3,3LastGame,3LastGameDiff,3LastGameGamesDiff,3LastGameNrOfGames,DaysOffFromMatch4,4LastGame,4LastGameDiff,4LastGameGamesDiff,4LastGameNrOfGames,DaysOffFromMatch5,5LastGame,5LastGameDiff,5LastGameGamesDiff,5LastGameNrOfGames,MatchesInTour,Result
40388,32.0,2014-05-25,176,1.0,0.0,88.0,0.0,0.0,0.4090909090909091,22.0,1.0,1.0,0.6666666666666666,0.5925925925925926,27.0,287.0,0.0,0.0,0.2,15.0,1.0,1.0,0.6666666666666666,0.5517241379310345,29.0,306.0,0.0,0.3333333333333333,0.4642857142857143,28.0,0.0,0.0
39774,18.0,2014-02-26,152,0.0,0.0,1.0,1.0,0.6666666666666666,0.5925925925925926,27.0,287.0,0.0,0.0,0.2,15.0,1.0,1.0,0.6666666666666666,0.5517241379310345,29.0,306.0,0.0,0.3333333333333333,0.4642857142857143,28.0,1.0,1.0,1.0,0.5909090909090909,22.0,1.0,0.0
39768,18.0,2014-02-25,152,0.0,0.0,287.0,0.0,0.0,0.2,15.0,1.0,1.0,0.6666666666666666,0.5517241379310345,29.0,306.0,0.0,0.3333333333333333,0.4642857142857143,28.0,1.0,1.0,1.0,0.5909090909090909,22.0,15.0,0.0,0.0,0.2,10.0,0.0,1.0
37665,29.0,2013-05-14,293,1.0,0.0,1.0,1.0,0.6666666666666666,0.5517241379310345,29.0,306.0,0.0,0.3333333333333333,0.4642857142857143,28.0,1.0,1.0,1.0,0.5909090909090909,22.0,15.0,0.0,0.0,0.2,10.0,6.0,0.0,0.0,0.3333333333333333,6.0,1.0,0.0
37645,29.0,2013-05-13,293,1.0,0.0,306.0,0.0,0.3333333333333333,0.4642857142857143,28.0,1.0,1.0,1.0,0.5909090909090909,22.0,15.0,0.0,0.0,0.2,10.0,6.0,0.0,0.0,0.3333333333333333,6.0,22.0,0.0,0.0,0.3448275862068966,29.0,0.0,1.0
35649,41.0,2012-07-11,95,1.0,0.0,1.0,1.0,1.0,0.5909090909090909,22.0,15.0,0.0,0.0,0.2,10.0,6.0,0.0,0.0,0.3333333333333333,6.0,22.0,0.0,0.0,0.3448275862068966,29.0,13.0,0.0,0.3333333333333333,0.41379310344827586,29.0,1.0,0.0
35637,41.0,2012-07-10,95,1.0,0.0,15.0,0.0,0.0,0.2,10.0,6.0,0.0,0.0,0.3333333333333333,6.0,22.0,0.0,0.0,0.3448275862068966,29.0,13.0,0.0,0.3333333333333333,0.41379310344827586,29.0,12.0,0.0,0.3333333333333333,0.3793103448275862,29.0,0.0,1.0
35423,37.0,2012-06-25,97,1.0,2.0,6.0,0.0,0.0,0.3333333333333333,6.0,22.0,0.0,0.0,0.3448275862068966,29.0,13.0,0.0,0.3333333333333333,0.41379310344827586,29.0,12.0,0.0,0.3333333333333333,0.3793103448275862,29.0,2.0,1.0,1.0,0.5909090909090909,22.0,0.0,0.0
35402,36.0,2012-06-19,97,1.0,2.0,22.0,0.0,0.0,0.3448275862068966,29.0,13.0,0.0,0.3333333333333333,0.41379310344827586,29.0,12.0,0.0,0.3333333333333333,0.3793103448275862,29.0,2.0,1.0,1.0,0.5909090909090909,22.0,6.0,0.0,0.0,0.3684210526315789,19.0,0.0,0.0
35186,32.0,2012-05-28,97,1.0,0.0,13.0,0.0,0.3333333333333333,0.41379310344827586,29.0,12.0,0.0,0.3333333333333333,0.3793103448275862,29.0,2.0,1.0,1.0,0.5909090909090909,22.0,6.0,0.0,0.0,0.3684210526315789,19.0,2.0,1.0,1.0,0.8,15.0,0.0,0.0
