,ATP,Date,Rank,Court,Surface,DaysOffFromMatch1,1LastGame,1LastGameDiff,1LastGameGamesDiff,1LastGameNrOfGames,DaysOffFromMatch2,2LastGame,2LastGameDiff,2LastGameGamesDiff,2LastGameNrOfGames,DaysOffFromMatch3,3LastGame,3LastGameDiff,3LastGameGamesDiff,3LastGameNrOfGames,DaysOffFromMatch4,4LastGame,4LastGameDiff,4LastGameGamesDiff,4LastGameNrOfGames,DaysOffFromMatch5,5LastGame,5LastGameDiff,5LastGameGamesDiff,5LastGameNrOfGames,MatchesInTour,Result
46529,52.0,2016-08-30,113,1.0,3.0,32.0,0.0,0.0,0.3333333333333333,18.0,2.0,1.0,1.0,0.5652173913043478,23.0,1.0,1.0,1.0,0.75,16.0,28.0,0.0,0.25,0.38461538461538464,39.0,18.0,0.0,0.0,0.4090909090909091,22.0,0.0,0.0
46307,47.0,2016-07-29,129,1.0,3.0,2.0,1.0,1.0,0.5652173913043478,23.0,1.0,1.0,1.0,0.75,16.0,28.0,0.0,0.25,0.38461538461538464,39.0,18.0,0.0,0.0,0.4090909090909091,22.0,1.0,1.0,1.0,0.56,25.0,2.0,0.0
46289,47.0,2016-07-27,129,1.0,3.0,1.0,1.0,1.0,0.75,16.0,28.0,0.0,0.25,0.38461538461538464,39.0,18.0,0.0,0.0,0.4090909090909091,22.0,1.0,1.0,1.0,0.56,25.0,2.0,1.0,0.6666666666666666,0.5333333333333333,30.0,1.0,1.0
46276,47.0,2016-07-26,129,1.0,3.0,28.0,0.0,0.25,0.38461538461538464,39.0,18.0,0.0,0.0,0.4090909090909091,22.0,1.0,1.0,1.0,0.56,25.0,2.0,1.0,0.6666666666666666,0.5333333333333333,30.0,14.0,0.0,0.4,0.4444444444444444,45.0,0.0,1.0
45956,39.0,2016-06-28,121,1.0,2.0,18.0,0.0,0.0,0.4090909090909091,22.0,1.0,1.0,1.0,0.56,25.0,2.0,1.0,0.6666666666666666,0.5333333333333333,30.0,14.0,0.0,0.4,0.4444444444444444,45.0,21.0,0.0,0.3333333333333333,0.4482758620689655,29.0,0.0,0.0
45779,34.0,2016-06-10,129,1.0,2.0,1.0,1.0,1.0,0.56,25.0,2.0,1.0,0.6666666666666666,0.5333333333333333,30.0,14.0,0.0,0.4,0.4444444444444444,45.0,21.0,0.0,0.3333333333333333,0.4482758620689655,29.0,1.0,1.0,0.6666666666666666,0.6,30.0,2.0,0.0
45775,34.0,2016-06-09,129,1.0,2.0,2.0,1.0,0.6666666666666666,0.5333333333333333,30.0,14.0,0.0,0.4,0.4444444444444444,45.0,21.0,0.0,0.3333333333333333,0.4482758620689655,29.0,1.0,1.0,0.6666666666666666,0.6,30.0,11.0,0.0,0.0,0.3333333333333333,18.0,1.0,1.0
45761,34.0,2016-06-07,129,1.0,2.0,14.0,0.0,0.4,0.4444444444444444,45.0,21.0,0.0,0.3333333333333333,0.4482758620689655,29.0,1.0,1.0,0.6666666666666666,0.6,30.0,11.0,0.0,0.0,0.3333333333333333,18.0,1.0,1.0,0.6666666666666666,0.6,30.0,0.0,1.0
45671,33.0,2016-05-24,128,1.0,0.0,21.0,0.0,0.3333333333333333,0.4482758620689655,29.0,1.0,1.0,0.6666666666666666,0.6,30.0,11.0,0.0,0.0,0.3333333333333333,18.0,1.0,1.0,0.6666666666666666,0.6,30.0,2.0,1.0,1.0,0.5909090909090909,22.0,0.0,0.0
45492,29.0,2016-05-03,148,1.0,0.0,1.0,1.0,0.6666666666666666,0.6,30.0,11.0,0.0,0.0,0.3333333333333333,18.0,1.0,1.0,0.6666666666666666,0.6,30.0,2.0,1.0,1.0,0.5909090909090909,22.0,88.0,0.0,0.0,0.3333333333333333,27.0,1.0,0.0
