,ATP,Date,Rank,Court,Surface,DaysOffFromMatch1,1LastGame,1LastGameDiff,1LastGameGamesDiff,1LastGameNrOfGames,DaysOffFromMatch2,2LastGame,2LastGameDiff,2LastGameGamesDiff,2LastGameNrOfGames,DaysOffFromMatch3,3LastGame,3LastGameDiff,3LastGameGamesDiff,3LastGameNrOfGames,DaysOffFromMatch4,4LastGame,4LastGameDiff,4LastGameGamesDiff,4LastGameNrOfGames,DaysOffFromMatch5,5LastGame,5LastGameDiff,5LastGameGamesDiff,5LastGameNrOfGames,MatchesInTour,Result
14263,60.0,2004-10-12,361,0.0,1.0,379.0,0.0,0.3333333333333333,0.5185185185185185,27.0,81.0,0.0,0.0,0.35,20.0,3.0,1.0,1.0,0.6666666666666666,18.0,28.0,0.0,0.3333333333333333,0.4838709677419355,31.0,81.0,0.0,0.0,0.4090909090909091,22.0,0.0,0.0
11299,58.0,2003-09-29,185,0.0,1.0,81.0,0.0,0.0,0.35,20.0,3.0,1.0,1.0,0.6666666666666666,18.0,28.0,0.0,0.3333333333333333,0.4838709677419355,31.0,81.0,0.0,0.0,0.4090909090909091,22.0,22.0,0.0,0.0,0.14285714285714285,14.0,0.0,0.0
10506,39.0,2003-07-10,172,1.0,2.0,3.0,1.0,1.0,0.6666666666666666,18.0,28.0,0.0,0.3333333333333333,0.4838709677419355,31.0,81.0,0.0,0.0,0.4090909090909091,22.0,22.0,0.0,0.0,0.14285714285714285,14.0,2.0,1.0,0.0,0.5,12.0,1.0,0.0
10487,39.0,2003-07-07,172,1.0,2.0,28.0,0.0,0.3333333333333333,0.4838709677419355,31.0,81.0,0.0,0.0,0.4090909090909091,22.0,22.0,0.0,0.0,0.14285714285714285,14.0,2.0,1.0,0.0,0.5,12.0,55.0,0.0,0.3333333333333333,0.41935483870967744,31.0,0.0,1.0
10193,33.0,2003-06-09,146,1.0,2.0,81.0,0.0,0.0,0.4090909090909091,22.0,22.0,0.0,0.0,0.14285714285714285,14.0,2.0,1.0,0.0,0.5,12.0,55.0,0.0,0.3333333333333333,0.41935483870967744,31.0,71.0,0.0,0.0,0.3157894736842105,19.0,0.0,0.0
9523,20.0,2003-03-20,126,1.0,3.0,22.0,0.0,0.0,0.14285714285714285,14.0,2.0,1.0,0.0,0.5,12.0,55.0,0.0,0.3333333333333333,0.41935483870967744,31.0,71.0,0.0,0.0,0.3157894736842105,19.0,0.0,1.0,0.6666666666666666,0.5,34.0,0.0,0.0
9358,16.0,2003-02-26,138,1.0,3.0,2.0,1.0,0.0,0.5,12.0,55.0,0.0,0.3333333333333333,0.41935483870967744,31.0,71.0,0.0,0.0,0.3157894736842105,19.0,0.0,1.0,0.6666666666666666,0.5,34.0,21.0,0.0,0.0,0.29411764705882354,17.0,1.0,0.0
9347,16.0,2003-02-24,138,1.0,3.0,55.0,0.0,0.3333333333333333,0.41935483870967744,31.0,71.0,0.0,0.0,0.3157894736842105,19.0,0.0,1.0,0.6666666666666666,0.5,34.0,21.0,0.0,0.0,0.29411764705882354,17.0,21.0,0.0,0.0,0.3333333333333333,18.0,0.0,1.0
8851,3.0,2002-12-31,139,1.0,3.0,71.0,0.0,0.0,0.3157894736842105,19.0,0.0,1.0,0.6666666666666666,0.5,34.0,21.0,0.0,0.0,0.29411764705882354,17.0,21.0,0.0,0.0,0.3333333333333333,18.0,0.0,1.0,0.6666666666666666,0.5172413793103449,29.0,0.0,0.0
8672,63.0,2002-10-21,144,0.0,3.0,0.0,1.0,0.6666666666666666,0.5,34.0,21.0,0.0,0.0,0.29411764705882354,17.0,21.0,0.0,0.0,0.3333333333333333,18.0,0.0,1.0,0.6666666666666666,0.5172413793103449,29.0,28.0,0.0,0.3333333333333333,0.4838709677419355,31.0,1.0,0.0
