,ATP,Date,Rank,Court,Surface,DaysOffFromMatch1,1LastGame,1LastGameDiff,1LastGameGamesDiff,1LastGameNrOfGames,DaysOffFromMatch2,2LastGame,2LastGameDiff,2LastGameGamesDiff,2LastGameNrOfGames,DaysOffFromMatch3,3LastGame,3LastGameDiff,3LastGameGamesDiff,3LastGameNrOfGames,DaysOffFromMatch4,4LastGame,4LastGameDiff,4LastGameGamesDiff,4LastGameNrOfGames,DaysOffFromMatch5,5LastGame,5LastGameDiff,5LastGameGamesDiff,5LastGameNrOfGames,MatchesInTour,Result
4632,38.0,2001-06-25,116,1.0,2.0,0.0,1.0,0.75,0.5833333333333334,36.0,98.0,0.0,0.3333333333333333,0.3333333333333333,24.0,14.0,0.0,0.0,0.3684210526315789,19.0,14.0,0.0,0.0,0.43478260869565216,23.0,0.0,1.0,0.6666666666666666,0.5277777777777778,36.0,1.0,0.0
4617,38.0,2001-06-25,116,1.0,2.0,98.0,0.0,0.3333333333333333,0.3333333333333333,24.0,14.0,0.0,0.0,0.3684210526315789,19.0,14.0,0.0,0.0,0.43478260869565216,23.0,0.0,1.0,0.6666666666666666,0.5277777777777778,36.0,0.0,1.0,0.6666666666666666,0.5925925925925926,27.0,0.0,1.0
3745,21.0,2001-03-19,69,1.0,3.0,14.0,0.0,0.0,0.3684210526315789,19.0,14.0,0.0,0.0,0.43478260869565216,23.0,0.0,1.0,0.6666666666666666,0.5277777777777778,36.0,0.0,1.0,0.6666666666666666,0.5925925925925926,27.0,35.0,0.0,0.0,0.4444444444444444,36.0,0.0,0.0
3616,18.0,2001-03-05,69,1.0,3.0,14.0,0.0,0.0,0.43478260869565216,23.0,0.0,1.0,0.6666666666666666,0.5277777777777778,36.0,0.0,1.0,0.6666666666666666,0.5925925925925926,27.0,35.0,0.0,0.0,0.4444444444444444,36.0,7.0,0.0,0.3333333333333333,0.5,32.0,0.0,0.0
3472,13.0,2001-02-19,76,0.0,3.0,0.0,1.0,0.6666666666666666,0.5277777777777778,36.0,0.0,1.0,0.6666666666666666,0.5925925925925926,27.0,35.0,0.0,0.0,0.4444444444444444,36.0,7.0,0.0,0.3333333333333333,0.5,32.0,0.0,1.0,0.6666666666666666,0.53125,32.0,2.0,0.0
3468,13.0,2001-02-19,76,0.0,3.0,0.0,1.0,0.6666666666666666,0.5925925925925926,27.0,35.0,0.0,0.0,0.4444444444444444,36.0,7.0,0.0,0.3333333333333333,0.5,32.0,0.0,1.0,0.6666666666666666,0.53125,32.0,7.0,0.0,0.0,0.43478260869565216,23.0,1.0,1.0
3460,13.0,2001-02-19,76,0.0,3.0,35.0,0.0,0.0,0.4444444444444444,36.0,7.0,0.0,0.3333333333333333,0.5,32.0,0.0,1.0,0.6666666666666666,0.53125,32.0,7.0,0.0,0.0,0.43478260869565216,23.0,0.0,1.0,1.0,0.631578947368421,19.0,0.0,1.0
3123,6.0,2001-01-15,77,1.0,3.0,7.0,0.0,0.3333333333333333,0.5,32.0,0.0,1.0,0.6666666666666666,0.53125,32.0,7.0,0.0,0.0,0.43478260869565216,23.0,0.0,1.0,1.0,0.631578947368421,19.0,0.0,1.0,1.0,0.75,16.0,0.0,0.0
3104,5.0,2001-01-08,63,1.0,3.0,0.0,1.0,0.6666666666666666,0.53125,32.0,7.0,0.0,0.0,0.43478260869565216,23.0,0.0,1.0,1.0,0.631578947368421,19.0,0.0,1.0,1.0,0.75,16.0,0.0,1.0,1.0,0.7058823529411765,17.0,1.0,0.0
3101,5.0,2001-01-08,63,1.0,3.0,7.0,0.0,0.0,0.43478260869565216,23.0,0.0,1.0,1.0,0.631578947368421,19.0,0.0,1.0,1.0,0.75,16.0,0.0,1.0,1.0,0.7058823529411765,17.0,77.0,0.0,0.3333333333333333,0.5,26.0,0.0,1.0
2991,1.0,2001-01-01,66,1.0,3.0,0.0,1.0,1.0,0.631578947368421,19.0,0.0,1.0,1.0,0.75,16.0,0.0,1.0,1.0,0.7058823529411765,17.0,77.0,0.0,0.3333333333333333,0.5,26.0,0.0,1.0,0.6666666666666666,0.5172413793103449,29.0,3.0,0.0
2990,1.0,2001-01-01,66,1.0,3.0,0.0,1.0,1.0,0.75,16.0,0.0,1.0,1.0,0.7058823529411765,17.0,77.0,0.0,0.3333333333333333,0.5,26.0,0.0,1.0,0.6666666666666666,0.5172413793103449,29.0,7.0,0.0,0.0,0.3684210526315789,19.0,2.0,1.0
2986,1.0,2001-01-01,66,1.0,3.0,0.0,1.0,1.0,0.7058823529411765,17.0,77.0,0.0,0.3333333333333333,0.5,26.0,0.0,1.0,0.6666666666666666,0.5172413793103449,29.0,7.0,0.0,0.0,0.3684210526315789,19.0,7.0,0.0,0.0,0.29411764705882354,17.0,1.0,1.0
2976,1.0,2001-01-01,66,1.0,3.0,77.0,0.0,0.3333333333333333,0.5,26.0,0.0,1.0,0.6666666666666666,0.5172413793103449,29.0,7.0,0.0,0.0,0.3684210526315789,19.0,7.0,0.0,0.0,0.29411764705882354,17.0,0.0,1.0,1.0,0.75,16.0,0.0,1.0
2629,59.0,2000-10-16,69,1.0,3.0,0.0,1.0,0.6666666666666666,0.5172413793103449,29.0,7.0,0.0,0.0,0.3684210526315789,19.0,7.0,0.0,0.0,0.29411764705882354,17.0,0.0,1.0,1.0,0.75,16.0,35.0,0.0,0.25,0.4878048780487805,41.0,1.0,0.0
2619,59.0,2000-10-16,69,1.0,3.0,7.0,0.0,0.0,0.3684210526315789,19.0,7.0,0.0,0.0,0.29411764705882354,17.0,0.0,1.0,1.0,0.75,16.0,35.0,0.0,0.25,0.4878048780487805,41.0,0.0,1.0,1.0,0.782608695652174,23.0,0.0,1.0
2532,57.0,2000-10-09,73,1.0,3.0,7.0,0.0,0.0,0.29411764705882354,17.0,0.0,1.0,1.0,0.75,16.0,35.0,0.0,0.25,0.4878048780487805,41.0,0.0,1.0,1.0,0.782608695652174,23.0,14.0,0.0,0.0,0.4,20.0,0.0,0.0
2508,56.0,2000-10-02,76,1.0,3.0,0.0,1.0,1.0,0.75,16.0,35.0,0.0,0.25,0.4878048780487805,41.0,0.0,1.0,1.0,0.782608695652174,23.0,14.0,0.0,0.0,0.4,20.0,21.0,0.0,0.3333333333333333,0.34782608695652173,23.0,1.0,0.0
2502,56.0,2000-10-02,76,1.0,3.0,35.0,0.0,0.25,0.4878048780487805,41.0,0.0,1.0,1.0,0.782608695652174,23.0,14.0,0.0,0.0,0.4,20.0,21.0,0.0,0.3333333333333333,0.34782608695652173,23.0,0.0,1.0,1.0,0.8,15.0,0.0,1.0
2334,52.0,2000-08-28,75,1.0,3.0,0.0,1.0,1.0,0.782608695652174,23.0,14.0,0.0,0.0,0.4,20.0,21.0,0.0,0.3333333333333333,0.34782608695652173,23.0,0.0,1.0,1.0,0.8,15.0,0.0,1.0,0.6666666666666666,0.5357142857142857,28.0,1.0,0.0
2330,52.0,2000-08-28,75,1.0,3.0,14.0,0.0,0.0,0.4,20.0,21.0,0.0,0.3333333333333333,0.34782608695652173,23.0,0.0,1.0,1.0,0.8,15.0,0.0,1.0,0.6666666666666666,0.5357142857142857,28.0,14.0,0.0,0.0,0.3684210526315789,19.0,0.0,1.0
2188,50.0,2000-08-14,69,1.0,3.0,21.0,0.0,0.3333333333333333,0.34782608695652173,23.0,0.0,1.0,1.0,0.8,15.0,0.0,1.0,0.6666666666666666,0.5357142857142857,28.0,14.0,0.0,0.0,0.3684210526315789,19.0,0.0,1.0,1.0,0.5384615384615384,26.0,0.0,0.0
1950,45.0,2000-07-24,72,1.0,3.0,0.0,1.0,1.0,0.8,15.0,0.0,1.0,0.6666666666666666,0.5357142857142857,28.0,14.0,0.0,0.0,0.3684210526315789,19.0,0.0,1.0,1.0,0.5384615384615384,26.0,0.0,1.0,1.0,0.7058823529411765,17.0,2.0,0.0
1947,45.0,2000-07-24,72,1.0,3.0,0.0,1.0,0.6666666666666666,0.5357142857142857,28.0,14.0,0.0,0.0,0.3684210526315789,19.0,0.0,1.0,1.0,0.5384615384615384,26.0,0.0,1.0,1.0,0.7058823529411765,17.0,0.0,1.0,0.6666666666666666,0.53125,32.0,1.0,1.0
1937,45.0,2000-07-24,72,1.0,3.0,14.0,0.0,0.0,0.3684210526315789,19.0,0.0,1.0,1.0,0.5384615384615384,26.0,0.0,1.0,1.0,0.7058823529411765,17.0,0.0,1.0,0.6666666666666666,0.53125,32.0,14.0,0.0,0.4,0.48,50.0,0.0,1.0
1781,40.0,2000-07-10,81,1.0,2.0,0.0,1.0,1.0,0.5384615384615384,26.0,0.0,1.0,1.0,0.7058823529411765,17.0,0.0,1.0,0.6666666666666666,0.53125,32.0,14.0,0.0,0.4,0.48,50.0,28.0,0.0,0.0,0.45,20.0,3.0,0.0
1779,40.0,2000-07-10,81,1.0,2.0,0.0,1.0,1.0,0.7058823529411765,17.0,0.0,1.0,0.6666666666666666,0.53125,32.0,14.0,0.0,0.4,0.48,50.0,28.0,0.0,0.0,0.45,20.0,0.0,1.0,1.0,0.6785714285714286,28.0,2.0,1.0
1775,40.0,2000-07-10,81,1.0,2.0,0.0,1.0,0.6666666666666666,0.53125,32.0,14.0,0.0,0.4,0.48,50.0,28.0,0.0,0.0,0.45,20.0,0.0,1.0,1.0,0.6785714285714286,28.0,0.0,1.0,0.75,0.6,35.0,1.0,1.0
1764,40.0,2000-07-10,81,1.0,2.0,14.0,0.0,0.4,0.48,50.0,28.0,0.0,0.0,0.45,20.0,0.0,1.0,1.0,0.6785714285714286,28.0,0.0,1.0,0.75,0.6,35.0,28.0,0.0,0.3333333333333333,0.48484848484848486,33.0,0.0,1.0
1597,37.0,2000-06-26,82,1.0,2.0,28.0,0.0,0.0,0.45,20.0,0.0,1.0,1.0,0.6785714285714286,28.0,0.0,1.0,0.75,0.6,35.0,28.0,0.0,0.3333333333333333,0.48484848484848486,33.0,0.0,1.0,1.0,0.7058823529411765,17.0,0.0,0.0
1387,32.0,2000-05-29,81,1.0,0.0,0.0,1.0,1.0,0.6785714285714286,28.0,0.0,1.0,0.75,0.6,35.0,28.0,0.0,0.3333333333333333,0.48484848484848486,33.0,0.0,1.0,1.0,0.7058823529411765,17.0,21.0,0.0,0.0,0.38095238095238093,21.0,2.0,0.0
1383,32.0,2000-05-29,81,1.0,0.0,0.0,1.0,0.75,0.6,35.0,28.0,0.0,0.3333333333333333,0.48484848484848486,33.0,0.0,1.0,1.0,0.7058823529411765,17.0,21.0,0.0,0.0,0.38095238095238093,21.0,0.0,1.0,1.0,0.6666666666666666,18.0,1.0,1.0
1347,32.0,2000-05-29,81,1.0,0.0,28.0,0.0,0.3333333333333333,0.48484848484848486,33.0,0.0,1.0,1.0,0.7058823529411765,17.0,21.0,0.0,0.0,0.38095238095238093,21.0,0.0,1.0,1.0,0.6666666666666666,18.0,0.0,1.0,1.0,0.8,15.0,0.0,1.0
