,ATP,Date,Rank,Court,Surface,DaysOffFromMatch1,1LastGame,1LastGameDiff,1LastGameGamesDiff,1LastGameNrOfGames,DaysOffFromMatch2,2LastGame,2LastGameDiff,2LastGameGamesDiff,2LastGameNrOfGames,DaysOffFromMatch3,3LastGame,3LastGameDiff,3LastGameGamesDiff,3LastGameNrOfGames,DaysOffFromMatch4,4LastGame,4LastGameDiff,4LastGameGamesDiff,4LastGameNrOfGames,DaysOffFromMatch5,5LastGame,5LastGameDiff,5LastGameGamesDiff,5LastGameNrOfGames,MatchesInTour,Result
46615,53.0,2016-09-22,87,0.0,3.0,1.0,1.0,1.0,0.56,25.0,22.0,0.0,0.25,0.4418604651162791,43.0,7.0,0.0,0.0,0.4090909090909091,22.0,2.0,1.0,1.0,0.7058823529411765,17.0,31.0,0.0,0.3333333333333333,0.42424242424242425,33.0,1.0,0.0
46606,53.0,2016-09-21,87,0.0,3.0,22.0,0.0,0.25,0.4418604651162791,43.0,7.0,0.0,0.0,0.4090909090909091,22.0,2.0,1.0,1.0,0.7058823529411765,17.0,31.0,0.0,0.3333333333333333,0.42424242424242425,33.0,1.0,1.0,1.0,0.5833333333333334,24.0,0.0,1.0
46525,52.0,2016-08-30,78,1.0,3.0,7.0,0.0,0.0,0.4090909090909091,22.0,2.0,1.0,1.0,0.7058823529411765,17.0,31.0,0.0,0.3333333333333333,0.42424242424242425,33.0,1.0,1.0,1.0,0.5833333333333334,24.0,1.0,1.0,1.0,0.75,16.0,0.0,0.0
46445,51.0,2016-08-23,78,1.0,3.0,2.0,1.0,1.0,0.7058823529411765,17.0,31.0,0.0,0.3333333333333333,0.42424242424242425,33.0,1.0,1.0,1.0,0.5833333333333334,24.0,1.0,1.0,1.0,0.75,16.0,7.0,0.0,0.3333333333333333,0.46875,32.0,1.0,0.0
46426,51.0,2016-08-21,78,1.0,3.0,31.0,0.0,0.3333333333333333,0.42424242424242425,33.0,1.0,1.0,1.0,0.5833333333333334,24.0,1.0,1.0,1.0,0.75,16.0,7.0,0.0,0.3333333333333333,0.46875,32.0,15.0,0.0,0.25,0.44680851063829785,47.0,0.0,1.0
46181,44.0,2016-07-21,86,1.0,0.0,1.0,1.0,1.0,0.5833333333333334,24.0,1.0,1.0,1.0,0.75,16.0,7.0,0.0,0.3333333333333333,0.46875,32.0,15.0,0.0,0.25,0.44680851063829785,47.0,12.0,0.0,0.0,0.43478260869565216,23.0,2.0,0.0
46173,44.0,2016-07-20,86,1.0,0.0,1.0,1.0,1.0,0.75,16.0,7.0,0.0,0.3333333333333333,0.46875,32.0,15.0,0.0,0.25,0.44680851063829785,47.0,12.0,0.0,0.0,0.43478260869565216,23.0,6.0,0.0,0.3333333333333333,0.42857142857142855,28.0,1.0,1.0
46165,44.0,2016-07-19,86,1.0,0.0,7.0,0.0,0.3333333333333333,0.46875,32.0,15.0,0.0,0.25,0.44680851063829785,47.0,12.0,0.0,0.0,0.43478260869565216,23.0,6.0,0.0,0.3333333333333333,0.42857142857142855,28.0,2.0,1.0,0.6666666666666666,0.5925925925925926,27.0,0.0,1.0
46089,41.0,2016-07-12,86,1.0,0.0,15.0,0.0,0.25,0.44680851063829785,47.0,12.0,0.0,0.0,0.43478260869565216,23.0,6.0,0.0,0.3333333333333333,0.42857142857142855,28.0,2.0,1.0,0.6666666666666666,0.5925925925925926,27.0,14.0,0.0,0.0,0.3793103448275862,29.0,0.0,0.0
45945,39.0,2016-06-27,86,1.0,2.0,12.0,0.0,0.0,0.43478260869565216,23.0,6.0,0.0,0.3333333333333333,0.42857142857142855,28.0,2.0,1.0,0.6666666666666666,0.5925925925925926,27.0,14.0,0.0,0.0,0.3793103448275862,29.0,26.0,0.0,0.3333333333333333,0.4230769230769231,26.0,0.0,0.0
45825,36.0,2016-06-15,88,1.0,2.0,6.0,0.0,0.3333333333333333,0.42857142857142855,28.0,2.0,1.0,0.6666666666666666,0.5925925925925926,27.0,14.0,0.0,0.0,0.3793103448275862,29.0,26.0,0.0,0.3333333333333333,0.4230769230769231,26.0,1.0,1.0,0.6666666666666666,0.6,30.0,0.0,0.0
45772,34.0,2016-06-09,89,1.0,2.0,2.0,1.0,0.6666666666666666,0.5925925925925926,27.0,14.0,0.0,0.0,0.3793103448275862,29.0,26.0,0.0,0.3333333333333333,0.4230769230769231,26.0,1.0,1.0,0.6666666666666666,0.6,30.0,9.0,0.0,0.0,0.3684210526315789,19.0,1.0,0.0
45768,34.0,2016-06-07,89,1.0,2.0,14.0,0.0,0.0,0.3793103448275862,29.0,26.0,0.0,0.3333333333333333,0.4230769230769231,26.0,1.0,1.0,0.6666666666666666,0.6,30.0,9.0,0.0,0.0,0.3684210526315789,19.0,7.0,0.0,0.3333333333333333,0.5,26.0,0.0,1.0
45687,33.0,2016-05-24,101,1.0,0.0,26.0,0.0,0.3333333333333333,0.4230769230769231,26.0,1.0,1.0,0.6666666666666666,0.6,30.0,9.0,0.0,0.0,0.3684210526315789,19.0,7.0,0.0,0.3333333333333333,0.5,26.0,67.0,0.0,0.3333333333333333,0.4375,32.0,0.0,0.0
45458,28.0,2016-04-28,112,1.0,0.0,1.0,1.0,0.6666666666666666,0.6,30.0,9.0,0.0,0.0,0.3684210526315789,19.0,7.0,0.0,0.3333333333333333,0.5,26.0,67.0,0.0,0.3333333333333333,0.4375,32.0,2.0,1.0,1.0,0.6190476190476191,21.0,1.0,0.0
45446,28.0,2016-04-27,112,1.0,0.0,9.0,0.0,0.0,0.3684210526315789,19.0,7.0,0.0,0.3333333333333333,0.5,26.0,67.0,0.0,0.3333333333333333,0.4375,32.0,2.0,1.0,1.0,0.6190476190476191,21.0,28.0,0.0,0.0,0.43478260869565216,23.0,0.0,1.0
45319,24.0,2016-04-18,113,1.0,0.0,7.0,0.0,0.3333333333333333,0.5,26.0,67.0,0.0,0.3333333333333333,0.4375,32.0,2.0,1.0,1.0,0.6190476190476191,21.0,28.0,0.0,0.0,0.43478260869565216,23.0,77.0,0.0,0.0,0.4,20.0,0.0,0.0
45269,23.0,2016-04-11,115,1.0,0.0,67.0,0.0,0.3333333333333333,0.4375,32.0,2.0,1.0,1.0,0.6190476190476191,21.0,28.0,0.0,0.0,0.43478260869565216,23.0,77.0,0.0,0.0,0.4,20.0,77.0,0.0,0.3333333333333333,0.41935483870967744,31.0,0.0,0.0
44684,7.0,2016-02-04,108,0.0,3.0,2.0,1.0,1.0,0.6190476190476191,21.0,28.0,0.0,0.0,0.43478260869565216,23.0,77.0,0.0,0.0,0.4,20.0,77.0,0.0,0.3333333333333333,0.41935483870967744,31.0,36.0,0.0,0.4,0.46511627906976744,43.0,1.0,0.0
44672,7.0,2016-02-02,108,0.0,3.0,28.0,0.0,0.0,0.43478260869565216,23.0,77.0,0.0,0.0,0.4,20.0,77.0,0.0,0.3333333333333333,0.41935483870967744,31.0,36.0,0.0,0.4,0.46511627906976744,43.0,14.0,0.0,0.3333333333333333,0.5185185185185185,27.0,0.0,1.0
44437,2.0,2016-01-05,107,1.0,3.0,77.0,0.0,0.0,0.4,20.0,77.0,0.0,0.3333333333333333,0.41935483870967744,31.0,36.0,0.0,0.4,0.46511627906976744,43.0,14.0,0.0,0.3333333333333333,0.5185185185185185,27.0,6.0,0.0,0.0,0.4090909090909091,22.0,0.0,0.0
44258,62.0,2015-10-20,105,0.0,3.0,77.0,0.0,0.3333333333333333,0.41935483870967744,31.0,36.0,0.0,0.4,0.46511627906976744,43.0,14.0,0.0,0.3333333333333333,0.5185185185185185,27.0,6.0,0.0,0.0,0.4090909090909091,22.0,15.0,0.0,0.25,0.3142857142857143,35.0,0.0,0.0
43621,47.0,2015-08-04,119,1.0,0.0,36.0,0.0,0.4,0.46511627906976744,43.0,14.0,0.0,0.3333333333333333,0.5185185185185185,27.0,6.0,0.0,0.0,0.4090909090909091,22.0,15.0,0.0,0.25,0.3142857142857143,35.0,7.0,0.0,0.0,0.46153846153846156,26.0,0.0,0.0
43304,39.0,2015-06-29,112,1.0,2.0,14.0,0.0,0.3333333333333333,0.5185185185185185,27.0,6.0,0.0,0.0,0.4090909090909091,22.0,15.0,0.0,0.25,0.3142857142857143,35.0,7.0,0.0,0.0,0.46153846153846156,26.0,20.0,0.0,0.3333333333333333,0.5,32.0,0.0,0.0
43181,36.0,2015-06-15,106,1.0,2.0,6.0,0.0,0.0,0.4090909090909091,22.0,15.0,0.0,0.25,0.3142857142857143,35.0,7.0,0.0,0.0,0.46153846153846156,26.0,20.0,0.0,0.3333333333333333,0.5,32.0,8.0,0.0,0.3333333333333333,0.4375,32.0,0.0,0.0
43156,35.0,2015-06-09,105,1.0,2.0,15.0,0.0,0.25,0.3142857142857143,35.0,7.0,0.0,0.0,0.46153846153846156,26.0,20.0,0.0,0.3333333333333333,0.5,32.0,8.0,0.0,0.3333333333333333,0.4375,32.0,6.0,0.0,0.0,0.4,20.0,0.0,0.0
43041,33.0,2015-05-25,98,1.0,0.0,7.0,0.0,0.0,0.46153846153846156,26.0,20.0,0.0,0.3333333333333333,0.5,32.0,8.0,0.0,0.3333333333333333,0.4375,32.0,6.0,0.0,0.0,0.4,20.0,7.0,0.0,0.3333333333333333,0.4411764705882353,34.0,0.0,0.0
42952,31.0,2015-05-18,98,1.0,0.0,20.0,0.0,0.3333333333333333,0.5,32.0,8.0,0.0,0.3333333333333333,0.4375,32.0,6.0,0.0,0.0,0.4,20.0,7.0,0.0,0.3333333333333333,0.4411764705882353,34.0,11.0,0.0,0.0,0.4,20.0,0.0,0.0
42819,28.0,2015-04-28,72,1.0,0.0,8.0,0.0,0.3333333333333333,0.4375,32.0,6.0,0.0,0.0,0.4,20.0,7.0,0.0,0.3333333333333333,0.4411764705882353,34.0,11.0,0.0,0.0,0.4,20.0,2.0,1.0,0.6666666666666666,0.5,32.0,0.0,0.0
42682,24.0,2015-04-20,72,1.0,0.0,6.0,0.0,0.0,0.4,20.0,7.0,0.0,0.3333333333333333,0.4411764705882353,34.0,11.0,0.0,0.0,0.4,20.0,2.0,1.0,0.6666666666666666,0.5,32.0,12.0,0.0,0.0,0.4090909090909091,22.0,0.0,0.0
42646,23.0,2015-04-14,76,1.0,0.0,7.0,0.0,0.3333333333333333,0.4411764705882353,34.0,11.0,0.0,0.0,0.4,20.0,2.0,1.0,0.6666666666666666,0.5,32.0,12.0,0.0,0.0,0.4090909090909091,22.0,23.0,0.0,0.3333333333333333,0.4482758620689655,29.0,0.0,0.0
42575,21.0,2015-04-07,75,1.0,0.0,11.0,0.0,0.0,0.4,20.0,2.0,1.0,0.6666666666666666,0.5,32.0,12.0,0.0,0.0,0.4090909090909091,22.0,23.0,0.0,0.3333333333333333,0.4482758620689655,29.0,1.0,1.0,0.6666666666666666,0.5757575757575758,33.0,0.0,0.0
42512,20.0,2015-03-27,72,1.0,3.0,2.0,1.0,0.6666666666666666,0.5,32.0,12.0,0.0,0.0,0.4090909090909091,22.0,23.0,0.0,0.3333333333333333,0.4482758620689655,29.0,1.0,1.0,0.6666666666666666,0.5757575757575758,33.0,14.0,0.0,0.0,0.4090909090909091,22.0,1.0,0.0
42479,20.0,2015-03-25,72,1.0,3.0,12.0,0.0,0.0,0.4090909090909091,22.0,23.0,0.0,0.3333333333333333,0.4482758620689655,29.0,1.0,1.0,0.6666666666666666,0.5757575757575758,33.0,14.0,0.0,0.0,0.4090909090909091,22.0,15.0,0.0,0.4,0.48,50.0,0.0,1.0
42395,19.0,2015-03-13,73,1.0,3.0,23.0,0.0,0.3333333333333333,0.4482758620689655,29.0,1.0,1.0,0.6666666666666666,0.5757575757575758,33.0,14.0,0.0,0.0,0.4090909090909091,22.0,15.0,0.0,0.4,0.48,50.0,6.0,0.0,0.0,0.35,20.0,0.0,0.0
42247,14.0,2015-02-18,69,0.0,3.0,1.0,1.0,0.6666666666666666,0.5757575757575758,33.0,14.0,0.0,0.0,0.4090909090909091,22.0,15.0,0.0,0.4,0.48,50.0,6.0,0.0,0.0,0.35,20.0,1.0,1.0,0.6666666666666666,0.5625,32.0,1.0,0.0
42241,14.0,2015-02-17,69,0.0,3.0,14.0,0.0,0.0,0.4090909090909091,22.0,15.0,0.0,0.4,0.48,50.0,6.0,0.0,0.0,0.35,20.0,1.0,1.0,0.6666666666666666,0.5625,32.0,5.0,0.0,0.0,0.43478260869565216,23.0,0.0,1.0
42042,7.0,2015-02-03,58,0.0,3.0,15.0,0.0,0.4,0.48,50.0,6.0,0.0,0.0,0.35,20.0,1.0,1.0,0.6666666666666666,0.5625,32.0,5.0,0.0,0.0,0.43478260869565216,23.0,1.0,1.0,0.6666666666666666,0.5666666666666667,30.0,0.0,0.0
41932,6.0,2015-01-19,57,1.0,3.0,6.0,0.0,0.0,0.35,20.0,1.0,1.0,0.6666666666666666,0.5625,32.0,5.0,0.0,0.0,0.43478260869565216,23.0,1.0,1.0,0.6666666666666666,0.5666666666666667,30.0,81.0,0.0,0.0,0.35,20.0,0.0,0.0
41871,4.0,2015-01-13,58,1.0,3.0,1.0,1.0,0.6666666666666666,0.5625,32.0,5.0,0.0,0.0,0.43478260869565216,23.0,1.0,1.0,0.6666666666666666,0.5666666666666667,30.0,81.0,0.0,0.0,0.35,20.0,1.0,1.0,0.6666666666666666,0.47058823529411764,34.0,1.0,0.0
41858,4.0,2015-01-12,58,1.0,3.0,5.0,0.0,0.0,0.43478260869565216,23.0,1.0,1.0,0.6666666666666666,0.5666666666666667,30.0,81.0,0.0,0.0,0.35,20.0,1.0,1.0,0.6666666666666666,0.47058823529411764,34.0,2.0,1.0,1.0,0.631578947368421,19.0,0.0,1.0
41843,3.0,2015-01-07,58,1.0,3.0,1.0,1.0,0.6666666666666666,0.5666666666666667,30.0,81.0,0.0,0.0,0.35,20.0,1.0,1.0,0.6666666666666666,0.47058823529411764,34.0,2.0,1.0,1.0,0.631578947368421,19.0,24.0,0.0,0.0,0.4090909090909091,22.0,1.0,0.0
41838,3.0,2015-01-06,58,1.0,3.0,81.0,0.0,0.0,0.35,20.0,1.0,1.0,0.6666666666666666,0.47058823529411764,34.0,2.0,1.0,1.0,0.631578947368421,19.0,24.0,0.0,0.0,0.4090909090909091,22.0,1.0,1.0,0.0,1.0,5.0,0.0,1.0
41643,60.0,2014-10-17,52,0.0,3.0,1.0,1.0,0.6666666666666666,0.47058823529411764,34.0,2.0,1.0,1.0,0.631578947368421,19.0,24.0,0.0,0.0,0.4090909090909091,22.0,1.0,1.0,0.0,1.0,5.0,1.0,1.0,0.6666666666666666,0.5625,32.0,2.0,0.0
41638,60.0,2014-10-16,52,0.0,3.0,2.0,1.0,1.0,0.631578947368421,19.0,24.0,0.0,0.0,0.4090909090909091,22.0,1.0,1.0,0.0,1.0,5.0,1.0,1.0,0.6666666666666666,0.5625,32.0,1.0,1.0,0.6666666666666666,0.5806451612903226,31.0,1.0,1.0
41622,60.0,2014-10-14,52,0.0,3.0,24.0,0.0,0.0,0.4090909090909091,22.0,1.0,1.0,0.0,1.0,5.0,1.0,1.0,0.6666666666666666,0.5625,32.0,1.0,1.0,0.6666666666666666,0.5806451612903226,31.0,20.0,0.0,0.0,0.3870967741935484,31.0,0.0,1.0
41393,52.0,2014-09-20,61,0.0,3.0,1.0,1.0,0.0,1.0,5.0,1.0,1.0,0.6666666666666666,0.5625,32.0,1.0,1.0,0.6666666666666666,0.5806451612903226,31.0,20.0,0.0,0.0,0.3870967741935484,31.0,2.0,1.0,0.6,0.5106382978723404,47.0,3.0,0.0
41389,52.0,2014-09-19,61,0.0,3.0,1.0,1.0,0.6666666666666666,0.5625,32.0,1.0,1.0,0.6666666666666666,0.5806451612903226,31.0,20.0,0.0,0.0,0.3870967741935484,31.0,2.0,1.0,0.6,0.5106382978723404,47.0,8.0,0.0,0.0,0.3333333333333333,18.0,2.0,1.0
41386,52.0,2014-09-18,61,0.0,3.0,1.0,1.0,0.6666666666666666,0.5806451612903226,31.0,20.0,0.0,0.0,0.3870967741935484,31.0,2.0,1.0,0.6,0.5106382978723404,47.0,8.0,0.0,0.0,0.3333333333333333,18.0,21.0,0.0,0.0,0.4,20.0,1.0,1.0
41378,52.0,2014-09-17,61,0.0,3.0,20.0,0.0,0.0,0.3870967741935484,31.0,2.0,1.0,0.6,0.5106382978723404,47.0,8.0,0.0,0.0,0.3333333333333333,18.0,21.0,0.0,0.0,0.4,20.0,3.0,0.0,0.3333333333333333,0.4838709677419355,31.0,0.0,1.0
41312,51.0,2014-08-28,77,1.0,3.0,2.0,1.0,0.6,0.5106382978723404,47.0,8.0,0.0,0.0,0.3333333333333333,18.0,21.0,0.0,0.0,0.4,20.0,3.0,0.0,0.3333333333333333,0.4838709677419355,31.0,3.0,1.0,1.0,0.7777777777777778,9.0,1.0,0.0
41274,51.0,2014-08-26,77,1.0,3.0,8.0,0.0,0.0,0.3333333333333333,18.0,21.0,0.0,0.0,0.4,20.0,3.0,0.0,0.3333333333333333,0.4838709677419355,31.0,3.0,1.0,1.0,0.7777777777777778,9.0,8.0,0.0,0.3333333333333333,0.48148148148148145,27.0,0.0,1.0
41200,50.0,2014-08-18,78,1.0,3.0,21.0,0.0,0.0,0.4,20.0,3.0,0.0,0.3333333333333333,0.4838709677419355,31.0,3.0,1.0,1.0,0.7777777777777778,9.0,8.0,0.0,0.3333333333333333,0.48148148148148145,27.0,4.0,0.0,0.0,0.3684210526315789,19.0,0.0,0.0
41015,46.0,2014-07-28,76,1.0,0.0,3.0,0.0,0.3333333333333333,0.4838709677419355,31.0,3.0,1.0,1.0,0.7777777777777778,9.0,8.0,0.0,0.3333333333333333,0.48148148148148145,27.0,4.0,0.0,0.0,0.3684210526315789,19.0,16.0,0.0,0.0,0.42424242424242425,33.0,0.0,0.0
