,ATP,Date,Rank,Court,Surface,DaysOffFromMatch1,1LastGame,1LastGameDiff,1LastGameGamesDiff,1LastGameNrOfGames,DaysOffFromMatch2,2LastGame,2LastGameDiff,2LastGameGamesDiff,2LastGameNrOfGames,DaysOffFromMatch3,3LastGame,3LastGameDiff,3LastGameGamesDiff,3LastGameNrOfGames,DaysOffFromMatch4,4LastGame,4LastGameDiff,4LastGameGamesDiff,4LastGameNrOfGames,DaysOffFromMatch5,5LastGame,5LastGameDiff,5LastGameGamesDiff,5LastGameNrOfGames,MatchesInTour,Result
46414,50.0,2016-08-18,102,1.0,3.0,0.0,1.0,1.0,0.6190476190476191,21.0,1.0,1.0,0.6666666666666666,0.5806451612903226,31.0,23.0,0.0,0.3333333333333333,0.4857142857142857,35.0,4.0,0.0,0.0,0.4,20.0,2.0,1.0,0.6666666666666666,0.5,28.0,2.0,0.0
46408,50.0,2016-08-18,102,1.0,3.0,1.0,1.0,0.6666666666666666,0.5806451612903226,31.0,23.0,0.0,0.3333333333333333,0.4857142857142857,35.0,4.0,0.0,0.0,0.4,20.0,2.0,1.0,0.6666666666666666,0.5,28.0,6.0,0.0,0.0,0.29411764705882354,17.0,1.0,1.0
46390,50.0,2016-08-17,102,1.0,3.0,23.0,0.0,0.3333333333333333,0.4857142857142857,35.0,4.0,0.0,0.0,0.4,20.0,2.0,1.0,0.6666666666666666,0.5,28.0,6.0,0.0,0.0,0.29411764705882354,17.0,1.0,1.0,0.6666666666666666,0.5925925925925926,27.0,0.0,1.0
46265,47.0,2016-07-25,107,1.0,3.0,4.0,0.0,0.0,0.4,20.0,2.0,1.0,0.6666666666666666,0.5,28.0,6.0,0.0,0.0,0.29411764705882354,17.0,1.0,1.0,0.6666666666666666,0.5925925925925926,27.0,27.0,0.0,0.0,0.2,15.0,0.0,0.0
46241,46.0,2016-07-21,106,1.0,3.0,2.0,1.0,0.6666666666666666,0.5,28.0,6.0,0.0,0.0,0.29411764705882354,17.0,1.0,1.0,0.6666666666666666,0.5925925925925926,27.0,27.0,0.0,0.0,0.2,15.0,1.0,1.0,0.6666666666666666,0.5,30.0,1.0,0.0
46217,46.0,2016-07-19,106,1.0,3.0,6.0,0.0,0.0,0.29411764705882354,17.0,1.0,1.0,0.6666666666666666,0.5925925925925926,27.0,27.0,0.0,0.0,0.2,15.0,1.0,1.0,0.6666666666666666,0.5,30.0,147.0,0.0,0.0,0.25,24.0,0.0,1.0
46120,42.0,2016-07-13,107,1.0,2.0,1.0,1.0,0.6666666666666666,0.5925925925925926,27.0,27.0,0.0,0.0,0.2,15.0,1.0,1.0,0.6666666666666666,0.5,30.0,147.0,0.0,0.0,0.25,24.0,92.0,0.0,0.0,0.43478260869565216,23.0,1.0,0.0
46113,42.0,2016-07-12,107,1.0,2.0,27.0,0.0,0.0,0.2,15.0,1.0,1.0,0.6666666666666666,0.5,30.0,147.0,0.0,0.0,0.25,24.0,92.0,0.0,0.0,0.43478260869565216,23.0,20.0,0.0,0.0,0.3157894736842105,19.0,0.0,1.0
45828,36.0,2016-06-15,102,1.0,2.0,1.0,1.0,0.6666666666666666,0.5,30.0,147.0,0.0,0.0,0.25,24.0,92.0,0.0,0.0,0.43478260869565216,23.0,20.0,0.0,0.0,0.3157894736842105,19.0,68.0,0.0,0.3333333333333333,0.41935483870967744,31.0,1.0,0.0
45818,36.0,2016-06-14,102,1.0,2.0,147.0,0.0,0.0,0.25,24.0,92.0,0.0,0.0,0.43478260869565216,23.0,20.0,0.0,0.0,0.3157894736842105,19.0,68.0,0.0,0.3333333333333333,0.41935483870967744,31.0,3.0,1.0,0.6666666666666666,0.5357142857142857,28.0,0.0,1.0
