,ATP,Date,Rank,Court,Surface,DaysOffFromMatch1,1LastGame,1LastGameDiff,1LastGameGamesDiff,1LastGameNrOfGames,DaysOffFromMatch2,2LastGame,2LastGameDiff,2LastGameGamesDiff,2LastGameNrOfGames,DaysOffFromMatch3,3LastGame,3LastGameDiff,3LastGameGamesDiff,3LastGameNrOfGames,DaysOffFromMatch4,4LastGame,4LastGameDiff,4LastGameGamesDiff,4LastGameNrOfGames,DaysOffFromMatch5,5LastGame,5LastGameDiff,5LastGameGamesDiff,5LastGameNrOfGames,MatchesInTour,Result
16427,43.0,2005-07-26,111,1.0,0.0,8.0,0.0,0.3333333333333333,0.43333333333333335,30.0,14.0,0.0,0.0,0.2777777777777778,18.0,14.0,0.0,0.0,0.4,30.0,28.0,0.0,0.25,0.3333333333333333,33.0,26.0,0.0,0.0,0.2,15.0,0.0,0.0
16291,40.0,2005-07-18,109,1.0,0.0,14.0,0.0,0.0,0.2777777777777778,18.0,14.0,0.0,0.0,0.4,30.0,28.0,0.0,0.25,0.3333333333333333,33.0,26.0,0.0,0.0,0.2,15.0,2.0,1.0,0.6666666666666666,0.5416666666666666,24.0,0.0,0.0
16194,37.0,2005-07-04,112,1.0,0.0,14.0,0.0,0.0,0.4,30.0,28.0,0.0,0.25,0.3333333333333333,33.0,26.0,0.0,0.0,0.2,15.0,2.0,1.0,0.6666666666666666,0.5416666666666666,24.0,5.0,0.0,0.0,0.38095238095238093,21.0,0.0,0.0
16075,36.0,2005-06-20,109,1.0,2.0,28.0,0.0,0.25,0.3333333333333333,33.0,26.0,0.0,0.0,0.2,15.0,2.0,1.0,0.6666666666666666,0.5416666666666666,24.0,5.0,0.0,0.0,0.38095238095238093,21.0,27.0,0.0,0.3333333333333333,0.48484848484848486,33.0,0.0,0.0
15820,31.0,2005-05-23,92,1.0,0.0,26.0,0.0,0.0,0.2,15.0,2.0,1.0,0.6666666666666666,0.5416666666666666,24.0,5.0,0.0,0.0,0.38095238095238093,21.0,27.0,0.0,0.3333333333333333,0.48484848484848486,33.0,64.0,0.0,0.0,0.3333333333333333,27.0,0.0,0.0
15592,26.0,2005-04-27,96,1.0,0.0,2.0,1.0,0.6666666666666666,0.5416666666666666,24.0,5.0,0.0,0.0,0.38095238095238093,21.0,27.0,0.0,0.3333333333333333,0.48484848484848486,33.0,64.0,0.0,0.0,0.3333333333333333,27.0,2.0,1.0,0.75,0.6,35.0,1.0,0.0
15573,26.0,2005-04-25,96,1.0,0.0,5.0,0.0,0.0,0.38095238095238093,21.0,27.0,0.0,0.3333333333333333,0.48484848484848486,33.0,64.0,0.0,0.0,0.3333333333333333,27.0,2.0,1.0,0.75,0.6,35.0,10.0,0.0,0.0,0.4,20.0,0.0,1.0
15557,25.0,2005-04-20,103,1.0,0.0,27.0,0.0,0.3333333333333333,0.48484848484848486,33.0,64.0,0.0,0.0,0.3333333333333333,27.0,2.0,1.0,0.75,0.6,35.0,10.0,0.0,0.0,0.4,20.0,2.0,1.0,1.0,0.5652173913043478,23.0,0.0,0.0
15290,20.0,2005-03-24,99,1.0,3.0,64.0,0.0,0.0,0.3333333333333333,27.0,2.0,1.0,0.75,0.6,35.0,10.0,0.0,0.0,0.4,20.0,2.0,1.0,1.0,0.5652173913043478,23.0,2.0,1.0,0.6666666666666666,0.5483870967741935,31.0,0.0,0.0
14749,6.0,2005-01-19,83,1.0,3.0,2.0,1.0,0.75,0.6,35.0,10.0,0.0,0.0,0.4,20.0,2.0,1.0,1.0,0.5652173913043478,23.0,2.0,1.0,0.6666666666666666,0.5483870967741935,31.0,68.0,0.0,0.3333333333333333,0.4444444444444444,27.0,1.0,0.0
14695,6.0,2005-01-17,83,1.0,3.0,10.0,0.0,0.0,0.4,20.0,2.0,1.0,1.0,0.5652173913043478,23.0,2.0,1.0,0.6666666666666666,0.5483870967741935,31.0,68.0,0.0,0.3333333333333333,0.4444444444444444,27.0,1.0,1.0,1.0,0.75,16.0,0.0,1.0
14574,2.0,2005-01-07,98,1.0,3.0,2.0,1.0,1.0,0.5652173913043478,23.0,2.0,1.0,0.6666666666666666,0.5483870967741935,31.0,68.0,0.0,0.3333333333333333,0.4444444444444444,27.0,1.0,1.0,1.0,0.75,16.0,51.0,0.0,0.4,0.46,50.0,2.0,0.0
