,ATP,Date,Rank,Court,Surface,DaysOffFromMatch1,1LastGame,1LastGameDiff,1LastGameGamesDiff,1LastGameNrOfGames,DaysOffFromMatch2,2LastGame,2LastGameDiff,2LastGameGamesDiff,2LastGameNrOfGames,DaysOffFromMatch3,3LastGame,3LastGameDiff,3LastGameGamesDiff,3LastGameNrOfGames,DaysOffFromMatch4,4LastGame,4LastGameDiff,4LastGameGamesDiff,4LastGameNrOfGames,DaysOffFromMatch5,5LastGame,5LastGameDiff,5LastGameGamesDiff,5LastGameNrOfGames,MatchesInTour,Result
17105,58.0,2005-10-05,255,1.0,3.0,2.0,1.0,1.0,0.5652173913043478,23.0,504.0,0.0,0.0,0.2,15.0,89.0,0.0,0.3333333333333333,0.4230769230769231,26.0,140.0,0.0,0.0,0.38095238095238093,21.0,6.0,0.0,0.3333333333333333,0.4722222222222222,36.0,1.0,0.0
17088,58.0,2005-10-03,255,1.0,3.0,504.0,0.0,0.0,0.2,15.0,89.0,0.0,0.3333333333333333,0.4230769230769231,26.0,140.0,0.0,0.0,0.38095238095238093,21.0,6.0,0.0,0.3333333333333333,0.4722222222222222,36.0,2.0,1.0,1.0,0.5909090909090909,22.0,0.0,1.0
12831,28.0,2004-05-17,165,1.0,0.0,89.0,0.0,0.3333333333333333,0.4230769230769231,26.0,140.0,0.0,0.0,0.38095238095238093,21.0,6.0,0.0,0.3333333333333333,0.4722222222222222,36.0,2.0,1.0,1.0,0.5909090909090909,22.0,12.0,0.0,0.3333333333333333,0.4857142857142857,35.0,0.0,0.0
12057,11.0,2004-02-18,124,0.0,3.0,140.0,0.0,0.0,0.38095238095238093,21.0,6.0,0.0,0.3333333333333333,0.4722222222222222,36.0,2.0,1.0,1.0,0.5909090909090909,22.0,12.0,0.0,0.3333333333333333,0.4857142857142857,35.0,1.0,1.0,1.0,0.56,25.0,0.0,0.0
11353,59.0,2003-10-01,128,1.0,3.0,6.0,0.0,0.3333333333333333,0.4722222222222222,36.0,2.0,1.0,1.0,0.5909090909090909,22.0,12.0,0.0,0.3333333333333333,0.4857142857142857,35.0,1.0,1.0,1.0,0.56,25.0,41.0,0.0,0.0,0.4090909090909091,22.0,0.0,0.0
11255,56.0,2003-09-25,136,1.0,3.0,2.0,1.0,1.0,0.5909090909090909,22.0,12.0,0.0,0.3333333333333333,0.4857142857142857,35.0,1.0,1.0,1.0,0.56,25.0,41.0,0.0,0.0,0.4090909090909091,22.0,3.0,1.0,0.6666666666666666,0.5333333333333333,30.0,1.0,0.0
11244,56.0,2003-09-23,136,1.0,3.0,12.0,0.0,0.3333333333333333,0.4857142857142857,35.0,1.0,1.0,1.0,0.56,25.0,41.0,0.0,0.0,0.4090909090909091,22.0,3.0,1.0,0.6666666666666666,0.5333333333333333,30.0,5.0,0.0,0.0,0.3684210526315789,19.0,0.0,1.0
11130,52.0,2003-09-11,147,1.0,0.0,1.0,1.0,1.0,0.56,25.0,41.0,0.0,0.0,0.4090909090909091,22.0,3.0,1.0,0.6666666666666666,0.5333333333333333,30.0,5.0,0.0,0.0,0.3684210526315789,19.0,1.0,1.0,0.6666666666666666,0.5333333333333333,30.0,1.0,0.0
11123,52.0,2003-09-10,147,1.0,0.0,41.0,0.0,0.0,0.4090909090909091,22.0,3.0,1.0,0.6666666666666666,0.5333333333333333,30.0,5.0,0.0,0.0,0.3684210526315789,19.0,1.0,1.0,0.6666666666666666,0.5333333333333333,30.0,152.0,0.0,0.0,0.3333333333333333,18.0,0.0,1.0
10739,45.0,2003-07-31,141,1.0,3.0,3.0,1.0,0.6666666666666666,0.5333333333333333,30.0,5.0,0.0,0.0,0.3684210526315789,19.0,1.0,1.0,0.6666666666666666,0.5333333333333333,30.0,152.0,0.0,0.0,0.3333333333333333,18.0,3.0,1.0,0.6666666666666666,0.5454545454545454,33.0,1.0,0.0
