,ATP,Date,Rank,Court,Surface,DaysOffFromMatch1,1LastGame,1LastGameDiff,1LastGameGamesDiff,1LastGameNrOfGames,DaysOffFromMatch2,2LastGame,2LastGameDiff,2LastGameGamesDiff,2LastGameNrOfGames,DaysOffFromMatch3,3LastGame,3LastGameDiff,3LastGameGamesDiff,3LastGameNrOfGames,DaysOffFromMatch4,4LastGame,4LastGameDiff,4LastGameGamesDiff,4LastGameNrOfGames,DaysOffFromMatch5,5LastGame,5LastGameDiff,5LastGameGamesDiff,5LastGameNrOfGames,MatchesInTour,Result
46624,53.0,2016-09-25,10,0.0,3.0,1.0,1.0,0.6666666666666666,0.5483870967741935,31.0,1.0,1.0,1.0,0.5652173913043478,23.0,2.0,1.0,1.0,0.56,25.0,16.0,0.0,0.0,0.35714285714285715,14.0,2.0,1.0,0.75,0.5128205128205128,39.0,3.0,0.0
46622,53.0,2016-09-24,10,0.0,3.0,1.0,1.0,1.0,0.5652173913043478,23.0,2.0,1.0,1.0,0.56,25.0,16.0,0.0,0.0,0.35714285714285715,14.0,2.0,1.0,0.75,0.5128205128205128,39.0,2.0,1.0,1.0,0.6666666666666666,27.0,2.0,1.0
46619,53.0,2016-09-23,10,0.0,3.0,2.0,1.0,1.0,0.56,25.0,16.0,0.0,0.0,0.35714285714285715,14.0,2.0,1.0,0.75,0.5128205128205128,39.0,2.0,1.0,1.0,0.6666666666666666,27.0,2.0,1.0,0.6,0.5208333333333334,48.0,1.0,1.0
46611,53.0,2016-09-21,10,0.0,3.0,16.0,0.0,0.0,0.35714285714285715,14.0,2.0,1.0,0.75,0.5128205128205128,39.0,2.0,1.0,1.0,0.6666666666666666,27.0,2.0,1.0,0.6,0.5208333333333334,48.0,11.0,0.0,0.0,0.3684210526315789,19.0,0.0,1.0
46587,52.0,2016-09-05,10,1.0,3.0,2.0,1.0,0.75,0.5128205128205128,39.0,2.0,1.0,1.0,0.6666666666666666,27.0,2.0,1.0,0.6,0.5208333333333334,48.0,11.0,0.0,0.0,0.3684210526315789,19.0,1.0,1.0,0.0,0.0,0.0,3.0,0.0
46575,52.0,2016-09-03,10,1.0,3.0,2.0,1.0,1.0,0.6666666666666666,27.0,2.0,1.0,0.6,0.5208333333333334,48.0,11.0,0.0,0.0,0.3684210526315789,19.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.6842105263157895,19.0,2.0,1.0
46555,52.0,2016-09-01,10,1.0,3.0,2.0,1.0,0.6,0.5208333333333334,48.0,11.0,0.0,0.0,0.3684210526315789,19.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.6842105263157895,19.0,21.0,0.0,0.0,0.2,5.0,1.0,1.0
46527,52.0,2016-08-30,10,1.0,3.0,11.0,0.0,0.0,0.3684210526315789,19.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.6842105263157895,19.0,21.0,0.0,0.0,0.2,5.0,7.0,0.0,0.0,0.38095238095238093,21.0,0.0,1.0
46418,50.0,2016-08-19,9,1.0,3.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.6842105263157895,19.0,21.0,0.0,0.0,0.2,5.0,7.0,0.0,0.0,0.38095238095238093,21.0,20.0,0.0,0.0,0.46153846153846156,39.0,2.0,0.0
46409,50.0,2016-08-18,9,1.0,3.0,1.0,1.0,1.0,0.6842105263157895,19.0,21.0,0.0,0.0,0.2,5.0,7.0,0.0,0.0,0.38095238095238093,21.0,20.0,0.0,0.0,0.46153846153846156,39.0,1.0,1.0,1.0,0.59375,32.0,1.0,1.0
46394,50.0,2016-08-17,9,1.0,3.0,21.0,0.0,0.0,0.2,5.0,7.0,0.0,0.0,0.38095238095238093,21.0,20.0,0.0,0.0,0.46153846153846156,39.0,1.0,1.0,1.0,0.59375,32.0,11.0,0.0,0.0,0.3684210526315789,19.0,0.0,1.0
46293,47.0,2016-07-27,9,1.0,3.0,7.0,0.0,0.0,0.38095238095238093,21.0,20.0,0.0,0.0,0.46153846153846156,39.0,1.0,1.0,1.0,0.59375,32.0,11.0,0.0,0.0,0.3684210526315789,19.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
46178,44.0,2016-07-20,9,1.0,0.0,20.0,0.0,0.0,0.46153846153846156,39.0,1.0,1.0,1.0,0.59375,32.0,11.0,0.0,0.0,0.3684210526315789,19.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.7058823529411765,17.0,0.0,0.0
46007,39.0,2016-06-30,8,1.0,2.0,1.0,1.0,1.0,0.59375,32.0,11.0,0.0,0.0,0.3684210526315789,19.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.7058823529411765,17.0,1.0,1.0,1.0,0.5909090909090909,22.0,1.0,0.0
45973,39.0,2016-06-29,8,1.0,2.0,11.0,0.0,0.0,0.3684210526315789,19.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.7058823529411765,17.0,1.0,1.0,1.0,0.5909090909090909,22.0,3.0,1.0,0.6666666666666666,0.5454545454545454,33.0,0.0,1.0
45840,36.0,2016-06-18,7,1.0,2.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.7058823529411765,17.0,1.0,1.0,1.0,0.5909090909090909,22.0,3.0,1.0,0.6666666666666666,0.5454545454545454,33.0,1.0,1.0,0.6666666666666666,0.5,32.0,3.0,0.0
45837,36.0,2016-06-17,7,1.0,2.0,1.0,1.0,1.0,0.7058823529411765,17.0,1.0,1.0,1.0,0.5909090909090909,22.0,3.0,1.0,0.6666666666666666,0.5454545454545454,33.0,1.0,1.0,0.6666666666666666,0.5,32.0,1.0,1.0,0.6666666666666666,0.5161290322580645,31.0,2.0,1.0
45834,36.0,2016-06-16,7,1.0,2.0,1.0,1.0,1.0,0.5909090909090909,22.0,3.0,1.0,0.6666666666666666,0.5454545454545454,33.0,1.0,1.0,0.6666666666666666,0.5,32.0,1.0,1.0,0.6666666666666666,0.5161290322580645,31.0,1.0,1.0,1.0,0.5384615384615384,26.0,1.0,1.0
45826,36.0,2016-06-15,7,1.0,2.0,3.0,1.0,0.6666666666666666,0.5454545454545454,33.0,1.0,1.0,0.6666666666666666,0.5,32.0,1.0,1.0,0.6666666666666666,0.5161290322580645,31.0,1.0,1.0,1.0,0.5384615384615384,26.0,6.0,0.0,0.0,0.28,25.0,0.0,1.0
45783,34.0,2016-06-12,7,1.0,2.0,1.0,1.0,0.6666666666666666,0.5,32.0,1.0,1.0,0.6666666666666666,0.5161290322580645,31.0,1.0,1.0,1.0,0.5384615384615384,26.0,6.0,0.0,0.0,0.28,25.0,1.0,1.0,0.75,0.575,40.0,3.0,1.0
45781,34.0,2016-06-11,7,1.0,2.0,1.0,1.0,0.6666666666666666,0.5161290322580645,31.0,1.0,1.0,1.0,0.5384615384615384,26.0,6.0,0.0,0.0,0.28,25.0,1.0,1.0,0.75,0.575,40.0,1.0,1.0,0.75,0.631578947368421,38.0,2.0,1.0
45777,34.0,2016-06-10,7,1.0,2.0,1.0,1.0,1.0,0.5384615384615384,26.0,6.0,0.0,0.0,0.28,25.0,1.0,1.0,0.75,0.575,40.0,1.0,1.0,0.75,0.631578947368421,38.0,4.0,1.0,0.75,0.6,40.0,1.0,1.0
45771,34.0,2016-06-09,7,1.0,2.0,6.0,0.0,0.0,0.28,25.0,1.0,1.0,0.75,0.575,40.0,1.0,1.0,0.75,0.631578947368421,38.0,4.0,1.0,0.75,0.6,40.0,2.0,1.0,1.0,0.5714285714285714,35.0,0.0,1.0
45754,33.0,2016-06-03,15,1.0,0.0,1.0,1.0,0.75,0.575,40.0,1.0,1.0,0.75,0.631578947368421,38.0,4.0,1.0,0.75,0.6,40.0,2.0,1.0,1.0,0.5714285714285714,35.0,2.0,1.0,0.75,0.6111111111111112,36.0,5.0,0.0
45752,33.0,2016-06-02,15,1.0,0.0,1.0,1.0,0.75,0.631578947368421,38.0,4.0,1.0,0.75,0.6,40.0,2.0,1.0,1.0,0.5714285714285714,35.0,2.0,1.0,0.75,0.6111111111111112,36.0,3.0,1.0,0.6666666666666666,0.6,25.0,4.0,1.0
45749,33.0,2016-06-01,15,1.0,0.0,4.0,1.0,0.75,0.6,40.0,2.0,1.0,1.0,0.5714285714285714,35.0,2.0,1.0,0.75,0.6111111111111112,36.0,3.0,1.0,0.6666666666666666,0.6,25.0,1.0,1.0,1.0,0.75,16.0,3.0,1.0
45735,33.0,2016-05-28,15,1.0,0.0,2.0,1.0,1.0,0.5714285714285714,35.0,2.0,1.0,0.75,0.6111111111111112,36.0,3.0,1.0,0.6666666666666666,0.6,25.0,1.0,1.0,1.0,0.75,16.0,1.0,1.0,1.0,0.6666666666666666,18.0,2.0,1.0
45714,33.0,2016-05-26,15,1.0,0.0,2.0,1.0,0.75,0.6111111111111112,36.0,3.0,1.0,0.6666666666666666,0.6,25.0,1.0,1.0,1.0,0.75,16.0,1.0,1.0,1.0,0.6666666666666666,18.0,1.0,1.0,1.0,0.8,15.0,1.0,1.0
