,ATP,Date,Rank,Court,Surface,DaysOffFromMatch1,1LastGame,1LastGameDiff,1LastGameGamesDiff,1LastGameNrOfGames,DaysOffFromMatch2,2LastGame,2LastGameDiff,2LastGameGamesDiff,2LastGameNrOfGames,DaysOffFromMatch3,3LastGame,3LastGameDiff,3LastGameGamesDiff,3LastGameNrOfGames,DaysOffFromMatch4,4LastGame,4LastGameDiff,4LastGameGamesDiff,4LastGameNrOfGames,DaysOffFromMatch5,5LastGame,5LastGameDiff,5LastGameGamesDiff,5LastGameNrOfGames,MatchesInTour,Result
20184,63.0,2006-10-24,266,0.0,1.0,252.0,0.0,0.0,0.29411764705882354,17.0,139.0,0.0,0.0,0.4090909090909091,22.0,2.0,1.0,1.0,0.5652173913043478,23.0,69.0,0.0,0.0,0.3333333333333333,18.0,286.0,0.0,0.3333333333333333,0.44,25.0,0.0,0.0
17835,11.0,2006-02-14,206,0.0,3.0,139.0,0.0,0.0,0.4090909090909091,22.0,2.0,1.0,1.0,0.5652173913043478,23.0,69.0,0.0,0.0,0.3333333333333333,18.0,286.0,0.0,0.3333333333333333,0.44,25.0,1.0,1.0,1.0,0.5384615384615384,26.0,0.0,0.0
16977,54.0,2005-09-28,285,0.0,3.0,2.0,1.0,1.0,0.5652173913043478,23.0,69.0,0.0,0.0,0.3333333333333333,18.0,286.0,0.0,0.3333333333333333,0.44,25.0,1.0,1.0,1.0,0.5384615384615384,26.0,7.0,0.0,0.0,0.43478260869565216,23.0,1.0,0.0
16962,54.0,2005-09-26,285,0.0,3.0,69.0,0.0,0.0,0.3333333333333333,18.0,286.0,0.0,0.3333333333333333,0.44,25.0,1.0,1.0,1.0,0.5384615384615384,26.0,7.0,0.0,0.0,0.43478260869565216,23.0,71.0,0.0,0.3333333333333333,0.4,30.0,0.0,1.0
16297,40.0,2005-07-19,311,1.0,0.0,286.0,0.0,0.3333333333333333,0.44,25.0,1.0,1.0,1.0,0.5384615384615384,26.0,7.0,0.0,0.0,0.43478260869565216,23.0,71.0,0.0,0.3333333333333333,0.4,30.0,6.0,0.0,0.0,0.25,16.0,0.0,0.0
14193,58.0,2004-10-06,480,1.0,3.0,1.0,1.0,1.0,0.5384615384615384,26.0,7.0,0.0,0.0,0.43478260869565216,23.0,71.0,0.0,0.3333333333333333,0.4,30.0,6.0,0.0,0.0,0.25,16.0,291.0,0.0,0.0,0.3333333333333333,9.0,1.0,0.0
14182,58.0,2004-10-05,480,1.0,3.0,7.0,0.0,0.0,0.43478260869565216,23.0,71.0,0.0,0.3333333333333333,0.4,30.0,6.0,0.0,0.0,0.25,16.0,291.0,0.0,0.0,0.3333333333333333,9.0,1.0,1.0,1.0,0.75,16.0,0.0,1.0
14060,54.0,2004-09-28,507,0.0,3.0,71.0,0.0,0.3333333333333333,0.4,30.0,6.0,0.0,0.0,0.25,16.0,291.0,0.0,0.0,0.3333333333333333,9.0,1.0,1.0,1.0,0.75,16.0,1.0,1.0,0.6666666666666666,0.5666666666666667,30.0,0.0,0.0
13541,43.0,2004-07-19,200,1.0,0.0,6.0,0.0,0.0,0.25,16.0,291.0,0.0,0.0,0.3333333333333333,9.0,1.0,1.0,1.0,0.75,16.0,1.0,1.0,0.6666666666666666,0.5666666666666667,30.0,57.0,0.0,0.0,0.25,16.0,0.0,0.0
13392,39.0,2004-07-13,204,1.0,0.0,291.0,0.0,0.0,0.3333333333333333,9.0,1.0,1.0,1.0,0.75,16.0,1.0,1.0,0.6666666666666666,0.5666666666666667,30.0,57.0,0.0,0.0,0.25,16.0,3.0,0.0,0.3333333333333333,0.46875,32.0,0.0,0.0
