,ATP,Date,Rank,Court,Surface,DaysOffFromMatch1,1LastGame,1LastGameDiff,1LastGameGamesDiff,1LastGameNrOfGames,DaysOffFromMatch2,2LastGame,2LastGameDiff,2LastGameGamesDiff,2LastGameNrOfGames,DaysOffFromMatch3,3LastGame,3LastGameDiff,3LastGameGamesDiff,3LastGameNrOfGames,DaysOffFromMatch4,4LastGame,4LastGameDiff,4LastGameGamesDiff,4LastGameNrOfGames,DaysOffFromMatch5,5LastGame,5LastGameDiff,5LastGameGamesDiff,5LastGameNrOfGames,MatchesInTour,Result
2623,59.0,2000-10-16,138,1.0,3.0,0.0,1.0,0.6666666666666666,0.6,25.0,7.0,0.0,0.0,0.44,25.0,0.0,1.0,1.0,0.5909090909090909,22.0,28.0,0.0,0.0,0.14285714285714285,14.0,28.0,0.0,0.3333333333333333,0.39285714285714285,28.0,1.0,0.0
2620,59.0,2000-10-16,138,1.0,3.0,7.0,0.0,0.0,0.44,25.0,0.0,1.0,1.0,0.5909090909090909,22.0,28.0,0.0,0.0,0.14285714285714285,14.0,28.0,0.0,0.3333333333333333,0.39285714285714285,28.0,0.0,1.0,1.0,0.7058823529411765,17.0,0.0,1.0
2550,57.0,2000-10-09,142,1.0,3.0,0.0,1.0,1.0,0.5909090909090909,22.0,28.0,0.0,0.0,0.14285714285714285,14.0,28.0,0.0,0.3333333333333333,0.39285714285714285,28.0,0.0,1.0,1.0,0.7058823529411765,17.0,21.0,0.0,0.0,0.38095238095238093,21.0,1.0,0.0
2542,57.0,2000-10-09,142,1.0,3.0,28.0,0.0,0.0,0.14285714285714285,14.0,28.0,0.0,0.3333333333333333,0.39285714285714285,28.0,0.0,1.0,1.0,0.7058823529411765,17.0,21.0,0.0,0.0,0.38095238095238093,21.0,0.0,1.0,1.0,0.75,16.0,0.0,1.0
2437,54.0,2000-09-11,124,1.0,3.0,28.0,0.0,0.3333333333333333,0.39285714285714285,28.0,0.0,1.0,1.0,0.7058823529411765,17.0,21.0,0.0,0.0,0.38095238095238093,21.0,0.0,1.0,1.0,0.75,16.0,14.0,0.0,0.0,0.4090909090909091,22.0,0.0,0.0
2202,50.0,2000-08-14,115,1.0,3.0,0.0,1.0,1.0,0.7058823529411765,17.0,21.0,0.0,0.0,0.38095238095238093,21.0,0.0,1.0,1.0,0.75,16.0,14.0,0.0,0.0,0.4090909090909091,22.0,0.0,1.0,1.0,0.631578947368421,19.0,1.0,0.0
2189,50.0,2000-08-14,115,1.0,3.0,21.0,0.0,0.0,0.38095238095238093,21.0,0.0,1.0,1.0,0.75,16.0,14.0,0.0,0.0,0.4090909090909091,22.0,0.0,1.0,1.0,0.631578947368421,19.0,14.0,0.0,0.25,0.3902439024390244,41.0,0.0,1.0
1943,45.0,2000-07-24,117,1.0,3.0,0.0,1.0,1.0,0.75,16.0,14.0,0.0,0.0,0.4090909090909091,22.0,0.0,1.0,1.0,0.631578947368421,19.0,14.0,0.0,0.25,0.3902439024390244,41.0,7.0,0.0,0.0,0.4090909090909091,22.0,1.0,0.0
1938,45.0,2000-07-24,117,1.0,3.0,14.0,0.0,0.0,0.4090909090909091,22.0,0.0,1.0,1.0,0.631578947368421,19.0,14.0,0.0,0.25,0.3902439024390244,41.0,7.0,0.0,0.0,0.4090909090909091,22.0,7.0,0.0,0.0,0.4166666666666667,24.0,0.0,1.0
1774,40.0,2000-07-10,112,1.0,2.0,0.0,1.0,1.0,0.631578947368421,19.0,14.0,0.0,0.25,0.3902439024390244,41.0,7.0,0.0,0.0,0.4090909090909091,22.0,7.0,0.0,0.0,0.4166666666666667,24.0,35.0,0.0,0.0,0.38095238095238093,21.0,1.0,0.0
