,ATP,Date,Rank,Court,Surface,DaysOffFromMatch1,1LastGame,1LastGameDiff,1LastGameGamesDiff,1LastGameNrOfGames,DaysOffFromMatch2,2LastGame,2LastGameDiff,2LastGameGamesDiff,2LastGameNrOfGames,DaysOffFromMatch3,3LastGame,3LastGameDiff,3LastGameGamesDiff,3LastGameNrOfGames,DaysOffFromMatch4,4LastGame,4LastGameDiff,4LastGameGamesDiff,4LastGameNrOfGames,DaysOffFromMatch5,5LastGame,5LastGameDiff,5LastGameGamesDiff,5LastGameNrOfGames,MatchesInTour,Result
2661,60.0,2000-10-16,76,0.0,3.0,0.0,1.0,1.0,0.5652173913043478,23.0,0.0,1.0,0.6666666666666666,0.5555555555555556,27.0,49.0,0.0,0.0,0.36666666666666664,30.0,7.0,0.0,0.5,0.48148148148148145,27.0,7.0,0.0,0.0,0.2,15.0,2.0,0.0
2659,60.0,2000-10-16,76,0.0,3.0,0.0,1.0,0.6666666666666666,0.5555555555555556,27.0,49.0,0.0,0.0,0.36666666666666664,30.0,7.0,0.0,0.5,0.48148148148148145,27.0,7.0,0.0,0.0,0.2,15.0,0.0,1.0,0.6666666666666666,0.5806451612903226,31.0,1.0,1.0
2650,60.0,2000-10-16,76,0.0,3.0,49.0,0.0,0.0,0.36666666666666664,30.0,7.0,0.0,0.5,0.48148148148148145,27.0,7.0,0.0,0.0,0.2,15.0,0.0,1.0,0.6666666666666666,0.5806451612903226,31.0,35.0,0.0,0.0,0.4090909090909091,22.0,0.0,1.0
2311,52.0,2000-08-28,61,1.0,3.0,7.0,0.0,0.5,0.48148148148148145,27.0,7.0,0.0,0.0,0.2,15.0,0.0,1.0,0.6666666666666666,0.5806451612903226,31.0,35.0,0.0,0.0,0.4090909090909091,22.0,14.0,0.0,0.4,0.4375,48.0,0.0,0.0
2237,51.0,2000-08-21,61,1.0,3.0,7.0,0.0,0.0,0.2,15.0,0.0,1.0,0.6666666666666666,0.5806451612903226,31.0,35.0,0.0,0.0,0.4090909090909091,22.0,14.0,0.0,0.4,0.4375,48.0,14.0,0.0,0.3333333333333333,0.4444444444444444,27.0,0.0,0.0
2145,49.0,2000-08-14,61,1.0,3.0,0.0,1.0,0.6666666666666666,0.5806451612903226,31.0,35.0,0.0,0.0,0.4090909090909091,22.0,14.0,0.0,0.4,0.4375,48.0,14.0,0.0,0.3333333333333333,0.4444444444444444,27.0,14.0,0.0,0.25,0.4878048780487805,41.0,1.0,0.0
2133,49.0,2000-08-14,61,1.0,3.0,35.0,0.0,0.0,0.4090909090909091,22.0,14.0,0.0,0.4,0.4375,48.0,14.0,0.0,0.3333333333333333,0.4444444444444444,27.0,14.0,0.0,0.25,0.4878048780487805,41.0,28.0,0.0,0.0,0.3684210526315789,19.0,0.0,1.0
1693,38.0,2000-07-10,63,1.0,0.0,14.0,0.0,0.4,0.4375,48.0,14.0,0.0,0.3333333333333333,0.4444444444444444,27.0,14.0,0.0,0.25,0.4878048780487805,41.0,28.0,0.0,0.0,0.3684210526315789,19.0,0.0,1.0,0.6666666666666666,0.5714285714285714,28.0,0.0,0.0
1614,37.0,2000-06-26,62,1.0,2.0,14.0,0.0,0.3333333333333333,0.4444444444444444,27.0,14.0,0.0,0.25,0.4878048780487805,41.0,28.0,0.0,0.0,0.3684210526315789,19.0,0.0,1.0,0.6666666666666666,0.5714285714285714,28.0,0.0,1.0,1.0,0.7058823529411765,17.0,0.0,0.0
1417,33.0,2000-06-12,59,1.0,2.0,14.0,0.0,0.25,0.4878048780487805,41.0,28.0,0.0,0.0,0.3684210526315789,19.0,0.0,1.0,0.6666666666666666,0.5714285714285714,28.0,0.0,1.0,1.0,0.7058823529411765,17.0,0.0,1.0,1.0,0.6666666666666666,18.0,0.0,0.0
