,ATP,Date,Rank,Court,Surface,DaysOffFromMatch1,1LastGame,1LastGameDiff,1LastGameGamesDiff,1LastGameNrOfGames,DaysOffFromMatch2,2LastGame,2LastGameDiff,2LastGameGamesDiff,2LastGameNrOfGames,DaysOffFromMatch3,3LastGame,3LastGameDiff,3LastGameGamesDiff,3LastGameNrOfGames,DaysOffFromMatch4,4LastGame,4LastGameDiff,4LastGameGamesDiff,4LastGameNrOfGames,DaysOffFromMatch5,5LastGame,5LastGameDiff,5LastGameGamesDiff,5LastGameNrOfGames,MatchesInTour,Result
46520,52.0,2016-08-30,19,1.0,3.0,10.0,0.0,0.0,0.4,20.0,2.0,1.0,1.0,0.5384615384615384,26.0,1.0,1.0,0.6666666666666666,0.5161290322580645,31.0,1.0,1.0,1.0,0.631578947368421,19.0,5.0,0.0,0.3333333333333333,0.5,32.0,0.0,0.0
46420,50.0,2016-08-20,21,1.0,3.0,2.0,1.0,1.0,0.5384615384615384,26.0,1.0,1.0,0.6666666666666666,0.5161290322580645,31.0,1.0,1.0,1.0,0.631578947368421,19.0,5.0,0.0,0.3333333333333333,0.5,32.0,14.0,0.0,0.3333333333333333,0.4482758620689655,29.0,3.0,0.0
46413,50.0,2016-08-18,21,1.0,3.0,1.0,1.0,0.6666666666666666,0.5161290322580645,31.0,1.0,1.0,1.0,0.631578947368421,19.0,5.0,0.0,0.3333333333333333,0.5,32.0,14.0,0.0,0.3333333333333333,0.4482758620689655,29.0,1.0,1.0,1.0,0.5909090909090909,22.0,2.0,1.0
46401,50.0,2016-08-17,21,1.0,3.0,1.0,1.0,1.0,0.631578947368421,19.0,5.0,0.0,0.3333333333333333,0.5,32.0,14.0,0.0,0.3333333333333333,0.4482758620689655,29.0,1.0,1.0,1.0,0.5909090909090909,22.0,2.0,1.0,1.0,0.5652173913043478,23.0,1.0,1.0
46382,50.0,2016-08-16,21,1.0,3.0,5.0,0.0,0.3333333333333333,0.5,32.0,14.0,0.0,0.3333333333333333,0.4482758620689655,29.0,1.0,1.0,1.0,0.5909090909090909,22.0,2.0,1.0,1.0,0.5652173913043478,23.0,4.0,0.0,0.0,0.4090909090909091,22.0,0.0,1.0
46359,49.0,2016-08-11,20,1.0,3.0,14.0,0.0,0.3333333333333333,0.4482758620689655,29.0,1.0,1.0,1.0,0.5909090909090909,22.0,2.0,1.0,1.0,0.5652173913043478,23.0,4.0,0.0,0.0,0.4090909090909091,22.0,0.0,1.0,1.0,0.5909090909090909,22.0,0.0,0.0
46301,47.0,2016-07-28,22,1.0,3.0,1.0,1.0,1.0,0.5909090909090909,22.0,2.0,1.0,1.0,0.5652173913043478,23.0,4.0,0.0,0.0,0.4090909090909091,22.0,0.0,1.0,1.0,0.5909090909090909,22.0,17.0,0.0,0.4,0.49122807017543857,57.0,2.0,0.0
46290,47.0,2016-07-27,22,1.0,3.0,2.0,1.0,1.0,0.5652173913043478,23.0,4.0,0.0,0.0,0.4090909090909091,22.0,0.0,1.0,1.0,0.5909090909090909,22.0,17.0,0.0,0.4,0.49122807017543857,57.0,2.0,1.0,1.0,0.6428571428571429,28.0,1.0,1.0
46268,47.0,2016-07-25,22,1.0,3.0,4.0,0.0,0.0,0.4090909090909091,22.0,0.0,1.0,1.0,0.5909090909090909,22.0,17.0,0.0,0.4,0.49122807017543857,57.0,2.0,1.0,1.0,0.6428571428571429,28.0,2.0,1.0,0.75,0.5681818181818182,44.0,0.0,1.0
46246,46.0,2016-07-21,19,1.0,3.0,0.0,1.0,1.0,0.5909090909090909,22.0,17.0,0.0,0.4,0.49122807017543857,57.0,2.0,1.0,1.0,0.6428571428571429,28.0,2.0,1.0,0.75,0.5681818181818182,44.0,1.0,1.0,0.6,0.5319148936170213,47.0,1.0,0.0
