,ATP,Date,Rank,Court,Surface,DaysOffFromMatch1,1LastGame,1LastGameDiff,1LastGameGamesDiff,1LastGameNrOfGames,DaysOffFromMatch2,2LastGame,2LastGameDiff,2LastGameGamesDiff,2LastGameNrOfGames,DaysOffFromMatch3,3LastGame,3LastGameDiff,3LastGameGamesDiff,3LastGameNrOfGames,DaysOffFromMatch4,4LastGame,4LastGameDiff,4LastGameGamesDiff,4LastGameNrOfGames,DaysOffFromMatch5,5LastGame,5LastGameDiff,5LastGameGamesDiff,5LastGameNrOfGames,MatchesInTour,Result
46648,54.0,2016-09-23,33,0.0,3.0,1.0,1.0,1.0,0.6,20.0,1.0,1.0,1.0,0.8,15.0,20.0,0.0,0.0,0.36666666666666664,30.0,2.0,1.0,0.6,0.5,54.0,4.0,0.0,0.3333333333333333,0.42424242424242425,33.0,2.0,0.0
46641,54.0,2016-09-22,33,0.0,3.0,1.0,1.0,1.0,0.8,15.0,20.0,0.0,0.0,0.36666666666666664,30.0,2.0,1.0,0.6,0.5,54.0,4.0,0.0,0.3333333333333333,0.42424242424242425,33.0,0.0,1.0,0.6666666666666666,0.5172413793103449,29.0,1.0,1.0
46635,54.0,2016-09-21,33,0.0,3.0,20.0,0.0,0.0,0.36666666666666664,30.0,2.0,1.0,0.6,0.5,54.0,4.0,0.0,0.3333333333333333,0.42424242424242425,33.0,0.0,1.0,0.6666666666666666,0.5172413793103449,29.0,1.0,1.0,1.0,0.6190476190476191,21.0,0.0,1.0
46558,52.0,2016-09-01,32,1.0,3.0,2.0,1.0,0.6,0.5,54.0,4.0,0.0,0.3333333333333333,0.42424242424242425,33.0,0.0,1.0,0.6666666666666666,0.5172413793103449,29.0,1.0,1.0,1.0,0.6190476190476191,21.0,1.0,1.0,1.0,0.6190476190476191,21.0,1.0,0.0
46510,52.0,2016-08-30,32,1.0,3.0,4.0,0.0,0.3333333333333333,0.42424242424242425,33.0,0.0,1.0,0.6666666666666666,0.5172413793103449,29.0,1.0,1.0,1.0,0.6190476190476191,21.0,1.0,1.0,1.0,0.6190476190476191,21.0,9.0,0.0,0.0,0.3684210526315789,19.0,0.0,1.0
46468,51.0,2016-08-26,35,1.0,3.0,0.0,1.0,0.6666666666666666,0.5172413793103449,29.0,1.0,1.0,1.0,0.6190476190476191,21.0,1.0,1.0,1.0,0.6190476190476191,21.0,9.0,0.0,0.0,0.3684210526315789,19.0,21.0,0.0,0.0,0.4090909090909091,22.0,3.0,0.0
46467,51.0,2016-08-26,35,1.0,3.0,1.0,1.0,1.0,0.6190476190476191,21.0,1.0,1.0,1.0,0.6190476190476191,21.0,9.0,0.0,0.0,0.3684210526315789,19.0,21.0,0.0,0.0,0.4090909090909091,22.0,5.0,0.0,0.0,0.43478260869565216,23.0,2.0,1.0
46463,51.0,2016-08-25,35,1.0,3.0,1.0,1.0,1.0,0.6190476190476191,21.0,9.0,0.0,0.0,0.3684210526315789,19.0,21.0,0.0,0.0,0.4090909090909091,22.0,5.0,0.0,0.0,0.43478260869565216,23.0,20.0,0.0,0.4,0.4772727272727273,44.0,1.0,1.0
46452,51.0,2016-08-24,35,1.0,3.0,9.0,0.0,0.0,0.3684210526315789,19.0,21.0,0.0,0.0,0.4090909090909091,22.0,5.0,0.0,0.0,0.43478260869565216,23.0,20.0,0.0,0.4,0.4772727272727273,44.0,2.0,1.0,1.0,0.6923076923076923,26.0,0.0,1.0
46375,50.0,2016-08-15,35,1.0,3.0,21.0,0.0,0.0,0.4090909090909091,22.0,5.0,0.0,0.0,0.43478260869565216,23.0,20.0,0.0,0.4,0.4772727272727273,44.0,2.0,1.0,1.0,0.6923076923076923,26.0,14.0,0.0,0.0,0.4,20.0,0.0,0.0
46260,47.0,2016-07-25,35,1.0,3.0,5.0,0.0,0.0,0.43478260869565216,23.0,20.0,0.0,0.4,0.4772727272727273,44.0,2.0,1.0,1.0,0.6923076923076923,26.0,14.0,0.0,0.0,0.4,20.0,7.0,0.0,0.0,0.43478260869565216,23.0,0.0,0.0
46235,46.0,2016-07-20,34,1.0,3.0,20.0,0.0,0.4,0.4772727272727273,44.0,2.0,1.0,1.0,0.6923076923076923,26.0,14.0,0.0,0.0,0.4,20.0,7.0,0.0,0.0,0.43478260869565216,23.0,9.0,0.0,0.25,0.4186046511627907,43.0,0.0,0.0
46001,39.0,2016-06-30,27,1.0,2.0,2.0,1.0,1.0,0.6923076923076923,26.0,14.0,0.0,0.0,0.4,20.0,7.0,0.0,0.0,0.43478260869565216,23.0,9.0,0.0,0.25,0.4186046511627907,43.0,2.0,1.0,1.0,0.6923076923076923,26.0,1.0,0.0
