,ATP,Date,Rank,Court,Surface,DaysOffFromMatch1,1LastGame,1LastGameDiff,1LastGameGamesDiff,1LastGameNrOfGames,DaysOffFromMatch2,2LastGame,2LastGameDiff,2LastGameGamesDiff,2LastGameNrOfGames,DaysOffFromMatch3,3LastGame,3LastGameDiff,3LastGameGamesDiff,3LastGameNrOfGames,DaysOffFromMatch4,4LastGame,4LastGameDiff,4LastGameGamesDiff,4LastGameNrOfGames,DaysOffFromMatch5,5LastGame,5LastGameDiff,5LastGameGamesDiff,5LastGameNrOfGames,MatchesInTour,Result
46592,52.0,2016-09-07,11,1.0,3.0,3.0,1.0,0.75,0.6153846153846154,39.0,2.0,1.0,1.0,0.59375,32.0,2.0,1.0,0.75,0.5526315789473685,38.0,2.0,1.0,1.0,0.6206896551724138,29.0,11.0,0.0,0.0,0.4090909090909091,22.0,4.0,0.0
46584,52.0,2016-09-04,11,1.0,3.0,2.0,1.0,1.0,0.59375,32.0,2.0,1.0,0.75,0.5526315789473685,38.0,2.0,1.0,1.0,0.6206896551724138,29.0,11.0,0.0,0.0,0.4090909090909091,22.0,1.0,1.0,1.0,0.5384615384615384,26.0,3.0,1.0
46567,52.0,2016-09-02,11,1.0,3.0,2.0,1.0,0.75,0.5526315789473685,38.0,2.0,1.0,1.0,0.6206896551724138,29.0,11.0,0.0,0.0,0.4090909090909091,22.0,1.0,1.0,1.0,0.5384615384615384,26.0,42.0,0.0,0.4,0.43478260869565216,46.0,2.0,1.0
46538,52.0,2016-08-31,11,1.0,3.0,2.0,1.0,1.0,0.6206896551724138,29.0,11.0,0.0,0.0,0.4090909090909091,22.0,1.0,1.0,1.0,0.5384615384615384,26.0,42.0,0.0,0.4,0.43478260869565216,46.0,2.0,1.0,0.0,0.6666666666666666,6.0,1.0,1.0
46495,52.0,2016-08-29,11,1.0,3.0,11.0,0.0,0.0,0.4090909090909091,22.0,1.0,1.0,1.0,0.5384615384615384,26.0,42.0,0.0,0.4,0.43478260869565216,46.0,2.0,1.0,0.0,0.6666666666666666,6.0,1.0,1.0,0.6,0.5189873417721519,79.0,0.0,1.0
46411,50.0,2016-08-18,10,1.0,3.0,1.0,1.0,1.0,0.5384615384615384,26.0,42.0,0.0,0.4,0.43478260869565216,46.0,2.0,1.0,0.0,0.6666666666666666,6.0,1.0,1.0,0.6,0.5189873417721519,79.0,2.0,1.0,1.0,0.6923076923076923,26.0,1.0,0.0
46396,50.0,2016-08-17,10,1.0,3.0,42.0,0.0,0.4,0.43478260869565216,46.0,2.0,1.0,0.0,0.6666666666666666,6.0,1.0,1.0,0.6,0.5189873417721519,79.0,2.0,1.0,1.0,0.6923076923076923,26.0,3.0,1.0,1.0,0.5757575757575758,33.0,0.0,1.0
46043,39.0,2016-07-06,12,1.0,2.0,2.0,1.0,0.0,0.6666666666666666,6.0,1.0,1.0,0.6,0.5189873417721519,79.0,2.0,1.0,1.0,0.6923076923076923,26.0,3.0,1.0,1.0,0.5757575757575758,33.0,31.0,0.0,0.0,0.7142857142857143,7.0,4.0,0.0
46038,39.0,2016-07-04,12,1.0,2.0,1.0,1.0,0.6,0.5189873417721519,79.0,2.0,1.0,1.0,0.6923076923076923,26.0,3.0,1.0,1.0,0.5757575757575758,33.0,31.0,0.0,0.0,0.7142857142857143,7.0,2.0,1.0,0.6,0.574468085106383,47.0,3.0,1.0
46026,39.0,2016-07-03,12,1.0,2.0,2.0,1.0,1.0,0.6923076923076923,26.0,3.0,1.0,1.0,0.5757575757575758,33.0,31.0,0.0,0.0,0.7142857142857143,7.0,2.0,1.0,0.6,0.574468085106383,47.0,2.0,1.0,1.0,0.6206896551724138,29.0,2.0,1.0
