,ATP,Date,Rank,Court,Surface,DaysOffFromMatch1,1LastGame,1LastGameDiff,1LastGameGamesDiff,1LastGameNrOfGames,DaysOffFromMatch2,2LastGame,2LastGameDiff,2LastGameGamesDiff,2LastGameNrOfGames,DaysOffFromMatch3,3LastGame,3LastGameDiff,3LastGameGamesDiff,3LastGameNrOfGames,DaysOffFromMatch4,4LastGame,4LastGameDiff,4LastGameGamesDiff,4LastGameNrOfGames,DaysOffFromMatch5,5LastGame,5LastGameDiff,5LastGameGamesDiff,5LastGameNrOfGames,MatchesInTour,Result
11521,64.0,2003-10-21,142,0.0,3.0,645.0,0.0,0.25,0.45,40.0,14.0,0.0,0.0,0.43478260869565216,23.0,70.0,0.0,0.0,0.3333333333333333,18.0,0.0,1.0,1.0,0.5909090909090909,22.0,21.0,0.0,0.0,0.38095238095238093,21.0,0.0,0.0
6124,6.0,2002-01-14,377,1.0,3.0,14.0,0.0,0.0,0.43478260869565216,23.0,70.0,0.0,0.0,0.3333333333333333,18.0,0.0,1.0,1.0,0.5909090909090909,22.0,21.0,0.0,0.0,0.38095238095238093,21.0,7.0,0.0,0.0,0.2,15.0,0.0,0.0
5993,3.0,2001-12-31,393,1.0,3.0,70.0,0.0,0.0,0.3333333333333333,18.0,0.0,1.0,1.0,0.5909090909090909,22.0,21.0,0.0,0.0,0.38095238095238093,21.0,7.0,0.0,0.0,0.2,15.0,14.0,0.0,0.0,0.29411764705882354,17.0,0.0,0.0
5825,66.0,2001-10-22,456,0.0,3.0,0.0,1.0,1.0,0.5909090909090909,22.0,21.0,0.0,0.0,0.38095238095238093,21.0,7.0,0.0,0.0,0.2,15.0,14.0,0.0,0.0,0.29411764705882354,17.0,0.0,1.0,1.0,0.5909090909090909,22.0,1.0,0.0
5815,66.0,2001-10-22,456,0.0,3.0,21.0,0.0,0.0,0.38095238095238093,21.0,7.0,0.0,0.0,0.2,15.0,14.0,0.0,0.0,0.29411764705882354,17.0,0.0,1.0,1.0,0.5909090909090909,22.0,14.0,0.0,0.25,0.4634146341463415,41.0,0.0,1.0
5614,61.0,2001-10-01,492,1.0,3.0,7.0,0.0,0.0,0.2,15.0,14.0,0.0,0.0,0.29411764705882354,17.0,0.0,1.0,1.0,0.5909090909090909,22.0,14.0,0.0,0.25,0.4634146341463415,41.0,63.0,0.0,0.0,0.36666666666666664,30.0,0.0,0.0
5526,58.0,2001-09-24,560,1.0,3.0,14.0,0.0,0.0,0.29411764705882354,17.0,0.0,1.0,1.0,0.5909090909090909,22.0,14.0,0.0,0.25,0.4634146341463415,41.0,63.0,0.0,0.0,0.36666666666666664,30.0,14.0,0.0,0.0,0.3684210526315789,19.0,0.0,0.0
5474,56.0,2001-09-10,698,1.0,3.0,0.0,1.0,1.0,0.5909090909090909,22.0,14.0,0.0,0.25,0.4634146341463415,41.0,63.0,0.0,0.0,0.36666666666666664,30.0,14.0,0.0,0.0,0.3684210526315789,19.0,392.0,0.0,0.3333333333333333,0.4230769230769231,26.0,1.0,0.0
5467,56.0,2001-09-10,698,1.0,3.0,14.0,0.0,0.25,0.4634146341463415,41.0,63.0,0.0,0.0,0.36666666666666664,30.0,14.0,0.0,0.0,0.3684210526315789,19.0,392.0,0.0,0.3333333333333333,0.4230769230769231,26.0,7.0,0.0,0.0,0.2,15.0,0.0,1.0
5291,53.0,2001-08-27,761,1.0,3.0,63.0,0.0,0.0,0.36666666666666664,30.0,14.0,0.0,0.0,0.3684210526315789,19.0,392.0,0.0,0.3333333333333333,0.4230769230769231,26.0,7.0,0.0,0.0,0.2,15.0,7.0,0.0,0.0,0.25,16.0,0.0,0.0
4603,38.0,2001-06-25,934,1.0,2.0,14.0,0.0,0.0,0.3684210526315789,19.0,392.0,0.0,0.3333333333333333,0.4230769230769231,26.0,7.0,0.0,0.0,0.2,15.0,7.0,0.0,0.0,0.25,16.0,14.0,0.0,0.0,0.3333333333333333,18.0,0.0,0.0
