,ATP,Date,Rank,Court,Surface,DaysOffFromMatch1,1LastGame,1LastGameDiff,1LastGameGamesDiff,1LastGameNrOfGames,DaysOffFromMatch2,2LastGame,2LastGameDiff,2LastGameGamesDiff,2LastGameNrOfGames,DaysOffFromMatch3,3LastGame,3LastGameDiff,3LastGameGamesDiff,3LastGameNrOfGames,DaysOffFromMatch4,4LastGame,4LastGameDiff,4LastGameGamesDiff,4LastGameNrOfGames,DaysOffFromMatch5,5LastGame,5LastGameDiff,5LastGameGamesDiff,5LastGameNrOfGames,MatchesInTour,Result
24540,32.0,2008-06-12,342,1.0,2.0,2.0,1.0,0.6666666666666666,0.5769230769230769,26.0,356.0,0.0,0.0,0.25,16.0,1.0,1.0,1.0,0.5909090909090909,22.0,363.0,0.0,0.3333333333333333,0.4482758620689655,29.0,2.0,1.0,0.6666666666666666,0.5277777777777778,36.0,1.0,0.0
24531,32.0,2008-06-10,342,1.0,2.0,356.0,0.0,0.0,0.25,16.0,1.0,1.0,1.0,0.5909090909090909,22.0,363.0,0.0,0.3333333333333333,0.4482758620689655,29.0,2.0,1.0,0.6666666666666666,0.5277777777777778,36.0,369.0,0.0,0.0,0.46153846153846156,26.0,0.0,1.0
21851,35.0,2007-06-20,277,1.0,2.0,1.0,1.0,1.0,0.5909090909090909,22.0,363.0,0.0,0.3333333333333333,0.4482758620689655,29.0,2.0,1.0,0.6666666666666666,0.5277777777777778,36.0,369.0,0.0,0.0,0.46153846153846156,26.0,2.0,1.0,1.0,0.8,15.0,1.0,0.0
21839,35.0,2007-06-19,277,1.0,2.0,363.0,0.0,0.3333333333333333,0.4482758620689655,29.0,2.0,1.0,0.6666666666666666,0.5277777777777778,36.0,369.0,0.0,0.0,0.46153846153846156,26.0,2.0,1.0,1.0,0.8,15.0,250.0,0.0,0.0,0.3684210526315789,19.0,0.0,1.0
18961,35.0,2006-06-21,245,1.0,2.0,2.0,1.0,0.6666666666666666,0.5277777777777778,36.0,369.0,0.0,0.0,0.46153846153846156,26.0,2.0,1.0,1.0,0.8,15.0,250.0,0.0,0.0,0.3684210526315789,19.0,8.0,0.0,0.0,0.3333333333333333,18.0,1.0,0.0
18949,35.0,2006-06-19,245,1.0,2.0,369.0,0.0,0.0,0.46153846153846156,26.0,2.0,1.0,1.0,0.8,15.0,250.0,0.0,0.0,0.3684210526315789,19.0,8.0,0.0,0.0,0.3333333333333333,18.0,70.0,0.0,0.3333333333333333,0.41379310344827586,29.0,0.0,1.0
16055,35.0,2005-06-15,285,1.0,2.0,2.0,1.0,1.0,0.8,15.0,250.0,0.0,0.0,0.3684210526315789,19.0,8.0,0.0,0.0,0.3333333333333333,18.0,70.0,0.0,0.3333333333333333,0.41379310344827586,29.0,6.0,0.0,0.0,0.38095238095238093,21.0,1.0,0.0
16040,35.0,2005-06-13,285,1.0,2.0,250.0,0.0,0.0,0.3684210526315789,19.0,8.0,0.0,0.0,0.3333333333333333,18.0,70.0,0.0,0.3333333333333333,0.41379310344827586,29.0,6.0,0.0,0.0,0.38095238095238093,21.0,8.0,0.0,0.0,0.25,16.0,0.0,1.0
14189,58.0,2004-10-06,142,1.0,3.0,8.0,0.0,0.0,0.3333333333333333,18.0,70.0,0.0,0.3333333333333333,0.41379310344827586,29.0,6.0,0.0,0.0,0.38095238095238093,21.0,8.0,0.0,0.0,0.25,16.0,14.0,0.0,0.25,0.3888888888888889,36.0,0.0,0.0
14122,56.0,2004-09-28,139,1.0,3.0,70.0,0.0,0.3333333333333333,0.41379310344827586,29.0,6.0,0.0,0.0,0.38095238095238093,21.0,8.0,0.0,0.0,0.25,16.0,14.0,0.0,0.25,0.3888888888888889,36.0,6.0,0.0,0.0,0.3684210526315789,19.0,0.0,0.0
13493,42.0,2004-07-20,135,1.0,3.0,6.0,0.0,0.0,0.38095238095238093,21.0,8.0,0.0,0.0,0.25,16.0,14.0,0.0,0.25,0.3888888888888889,36.0,6.0,0.0,0.0,0.3684210526315789,19.0,2.0,1.0,1.0,0.6,20.0,0.0,0.0
13420,40.0,2004-07-14,141,1.0,3.0,8.0,0.0,0.0,0.25,16.0,14.0,0.0,0.25,0.3888888888888889,36.0,6.0,0.0,0.0,0.3684210526315789,19.0,2.0,1.0,1.0,0.6,20.0,7.0,0.0,0.0,0.4090909090909091,22.0,0.0,0.0
13353,38.0,2004-07-06,136,1.0,2.0,14.0,0.0,0.25,0.3888888888888889,36.0,6.0,0.0,0.0,0.3684210526315789,19.0,2.0,1.0,1.0,0.6,20.0,7.0,0.0,0.0,0.4090909090909091,22.0,13.0,0.0,0.0,0.3076923076923077,26.0,0.0,0.0
13179,35.0,2004-06-22,133,1.0,2.0,6.0,0.0,0.0,0.3684210526315789,19.0,2.0,1.0,1.0,0.6,20.0,7.0,0.0,0.0,0.4090909090909091,22.0,13.0,0.0,0.0,0.3076923076923077,26.0,40.0,0.0,0.0,0.38095238095238093,21.0,0.0,0.0
13113,33.0,2004-06-16,113,1.0,2.0,2.0,1.0,1.0,0.6,20.0,7.0,0.0,0.0,0.4090909090909091,22.0,13.0,0.0,0.0,0.3076923076923077,26.0,40.0,0.0,0.0,0.38095238095238093,21.0,3.0,1.0,0.6666666666666666,0.5357142857142857,28.0,1.0,0.0
