,ATP,Date,Rank,Court,Surface,DaysOffFromMatch1,1LastGame,1LastGameDiff,1LastGameGamesDiff,1LastGameNrOfGames,DaysOffFromMatch2,2LastGame,2LastGameDiff,2LastGameGamesDiff,2LastGameNrOfGames,DaysOffFromMatch3,3LastGame,3LastGameDiff,3LastGameGamesDiff,3LastGameNrOfGames,DaysOffFromMatch4,4LastGame,4LastGameDiff,4LastGameGamesDiff,4LastGameNrOfGames,DaysOffFromMatch5,5LastGame,5LastGameDiff,5LastGameGamesDiff,5LastGameNrOfGames,MatchesInTour,Result
42101,9.0,2015-02-04,228,0.0,3.0,555.0,0.0,0.0,0.25,16.0,6.0,0.0,0.0,0.35,20.0,14.0,0.0,0.3333333333333333,0.34615384615384615,26.0,132.0,0.0,0.0,0.2,15.0,21.0,0.0,0.3333333333333333,0.46153846153846156,26.0,0.0,0.0
38384,46.0,2013-07-29,196,1.0,0.0,6.0,0.0,0.0,0.35,20.0,14.0,0.0,0.3333333333333333,0.34615384615384615,26.0,132.0,0.0,0.0,0.2,15.0,21.0,0.0,0.3333333333333333,0.46153846153846156,26.0,196.0,0.0,0.3333333333333333,0.43333333333333335,30.0,0.0,0.0
38359,45.0,2013-07-23,172,1.0,0.0,14.0,0.0,0.3333333333333333,0.34615384615384615,26.0,132.0,0.0,0.0,0.2,15.0,21.0,0.0,0.3333333333333333,0.46153846153846156,26.0,196.0,0.0,0.3333333333333333,0.43333333333333335,30.0,2.0,1.0,1.0,0.8,15.0,0.0,0.0
38149,38.0,2013-07-09,181,1.0,0.0,132.0,0.0,0.0,0.2,15.0,21.0,0.0,0.3333333333333333,0.46153846153846156,26.0,196.0,0.0,0.3333333333333333,0.43333333333333335,30.0,2.0,1.0,1.0,0.8,15.0,13.0,0.0,0.0,0.25,16.0,0.0,0.0
37072,16.0,2013-02-27,129,1.0,0.0,21.0,0.0,0.3333333333333333,0.46153846153846156,26.0,196.0,0.0,0.3333333333333333,0.43333333333333335,30.0,2.0,1.0,1.0,0.8,15.0,13.0,0.0,0.0,0.25,16.0,67.0,0.0,0.3333333333333333,0.42857142857142855,28.0,0.0,0.0
36870,9.0,2013-02-06,126,0.0,3.0,196.0,0.0,0.3333333333333333,0.43333333333333335,30.0,2.0,1.0,1.0,0.8,15.0,13.0,0.0,0.0,0.25,16.0,67.0,0.0,0.3333333333333333,0.42857142857142855,28.0,3.0,1.0,1.0,0.8571428571428571,14.0,0.0,0.0
35759,45.0,2012-07-25,137,1.0,0.0,2.0,1.0,1.0,0.8,15.0,13.0,0.0,0.0,0.25,16.0,67.0,0.0,0.3333333333333333,0.42857142857142855,28.0,3.0,1.0,1.0,0.8571428571428571,14.0,39.0,0.0,0.0,0.4090909090909091,22.0,1.0,0.0
35748,45.0,2012-07-23,137,1.0,0.0,13.0,0.0,0.0,0.25,16.0,67.0,0.0,0.3333333333333333,0.42857142857142855,28.0,3.0,1.0,1.0,0.8571428571428571,14.0,39.0,0.0,0.0,0.4090909090909091,22.0,2.0,1.0,0.6666666666666666,0.6086956521739131,23.0,0.0,1.0
35641,41.0,2012-07-10,131,1.0,0.0,67.0,0.0,0.3333333333333333,0.42857142857142855,28.0,3.0,1.0,1.0,0.8571428571428571,14.0,39.0,0.0,0.0,0.4090909090909091,22.0,2.0,1.0,0.6666666666666666,0.6086956521739131,23.0,49.0,0.0,0.0,0.46153846153846156,26.0,0.0,0.0
34956,26.0,2012-05-04,127,1.0,0.0,3.0,1.0,1.0,0.8571428571428571,14.0,39.0,0.0,0.0,0.4090909090909091,22.0,2.0,1.0,0.6666666666666666,0.6086956521739131,23.0,49.0,0.0,0.0,0.46153846153846156,26.0,181.0,0.0,0.3333333333333333,0.4,25.0,1.0,0.0
