,ATP,Date,Rank,Court,Surface,DaysOffFromMatch1,1LastGame,1LastGameDiff,1LastGameGamesDiff,1LastGameNrOfGames,DaysOffFromMatch2,2LastGame,2LastGameDiff,2LastGameGamesDiff,2LastGameNrOfGames,DaysOffFromMatch3,3LastGame,3LastGameDiff,3LastGameGamesDiff,3LastGameNrOfGames,DaysOffFromMatch4,4LastGame,4LastGameDiff,4LastGameGamesDiff,4LastGameNrOfGames,DaysOffFromMatch5,5LastGame,5LastGameDiff,5LastGameGamesDiff,5LastGameNrOfGames,MatchesInTour,Result
46631,54.0,2016-09-20,47,0.0,3.0,21.0,0.0,0.0,0.42424242424242425,33.0,4.0,0.0,0.3333333333333333,0.4827586206896552,29.0,1.0,1.0,1.0,0.5652173913043478,23.0,1.0,1.0,0.6666666666666666,0.5769230769230769,26.0,6.0,0.0,0.0,0.25,16.0,0.0,0.0
46513,52.0,2016-08-30,46,1.0,3.0,4.0,0.0,0.3333333333333333,0.4827586206896552,29.0,1.0,1.0,1.0,0.5652173913043478,23.0,1.0,1.0,0.6666666666666666,0.5769230769230769,26.0,6.0,0.0,0.0,0.25,16.0,2.0,1.0,1.0,0.5652173913043478,23.0,0.0,0.0
46467,51.0,2016-08-26,47,1.0,3.0,1.0,1.0,1.0,0.5652173913043478,23.0,1.0,1.0,0.6666666666666666,0.5769230769230769,26.0,6.0,0.0,0.0,0.25,16.0,2.0,1.0,1.0,0.5652173913043478,23.0,6.0,0.0,0.0,0.38095238095238093,21.0,2.0,0.0
46462,51.0,2016-08-25,47,1.0,3.0,1.0,1.0,0.6666666666666666,0.5769230769230769,26.0,6.0,0.0,0.0,0.25,16.0,2.0,1.0,1.0,0.5652173913043478,23.0,6.0,0.0,0.0,0.38095238095238093,21.0,5.0,0.0,0.3333333333333333,0.4375,32.0,1.0,1.0
46454,51.0,2016-08-24,47,1.0,3.0,6.0,0.0,0.0,0.25,16.0,2.0,1.0,1.0,0.5652173913043478,23.0,6.0,0.0,0.0,0.38095238095238093,21.0,5.0,0.0,0.3333333333333333,0.4375,32.0,1.0,1.0,1.0,0.75,16.0,0.0,1.0
46405,50.0,2016-08-18,45,1.0,3.0,2.0,1.0,1.0,0.5652173913043478,23.0,6.0,0.0,0.0,0.38095238095238093,21.0,5.0,0.0,0.3333333333333333,0.4375,32.0,1.0,1.0,1.0,0.75,16.0,2.0,1.0,1.0,0.5652173913043478,23.0,1.0,0.0
46388,50.0,2016-08-16,45,1.0,3.0,6.0,0.0,0.0,0.38095238095238093,21.0,5.0,0.0,0.3333333333333333,0.4375,32.0,1.0,1.0,1.0,0.75,16.0,2.0,1.0,1.0,0.5652173913043478,23.0,16.0,0.0,0.0,0.3684210526315789,19.0,0.0,1.0
46345,49.0,2016-08-10,46,1.0,3.0,5.0,0.0,0.3333333333333333,0.4375,32.0,1.0,1.0,1.0,0.75,16.0,2.0,1.0,1.0,0.5652173913043478,23.0,16.0,0.0,0.0,0.3684210526315789,19.0,1.0,1.0,1.0,0.75,16.0,0.0,0.0
46336,48.0,2016-08-05,48,1.0,3.0,1.0,1.0,1.0,0.75,16.0,2.0,1.0,1.0,0.5652173913043478,23.0,16.0,0.0,0.0,0.3684210526315789,19.0,1.0,1.0,1.0,0.75,16.0,1.0,1.0,1.0,0.8,15.0,2.0,0.0
46333,48.0,2016-08-04,48,1.0,3.0,2.0,1.0,1.0,0.5652173913043478,23.0,16.0,0.0,0.0,0.3684210526315789,19.0,1.0,1.0,1.0,0.75,16.0,1.0,1.0,1.0,0.8,15.0,2.0,1.0,1.0,0.7058823529411765,17.0,1.0,1.0
46325,48.0,2016-08-02,48,1.0,3.0,16.0,0.0,0.0,0.3684210526315789,19.0,1.0,1.0,1.0,0.75,16.0,1.0,1.0,1.0,0.8,15.0,2.0,1.0,1.0,0.7058823529411765,17.0,1.0,1.0,1.0,0.7058823529411765,17.0,0.0,1.0
46073,40.0,2016-07-17,59,1.0,0.0,1.0,1.0,1.0,0.75,16.0,1.0,1.0,1.0,0.8,15.0,2.0,1.0,1.0,0.7058823529411765,17.0,1.0,1.0,1.0,0.7058823529411765,17.0,13.0,0.0,0.4,0.46808510638297873,47.0,4.0,0.0
46072,40.0,2016-07-16,59,1.0,0.0,1.0,1.0,1.0,0.8,15.0,2.0,1.0,1.0,0.7058823529411765,17.0,1.0,1.0,1.0,0.7058823529411765,17.0,13.0,0.0,0.4,0.46808510638297873,47.0,7.0,0.0,0.0,0.4090909090909091,22.0,3.0,1.0
46068,40.0,2016-07-15,59,1.0,0.0,2.0,1.0,1.0,0.7058823529411765,17.0,1.0,1.0,1.0,0.7058823529411765,17.0,13.0,0.0,0.4,0.46808510638297873,47.0,7.0,0.0,0.0,0.4090909090909091,22.0,1.0,1.0,0.6666666666666666,0.6153846153846154,26.0,2.0,1.0
46061,40.0,2016-07-13,59,1.0,0.0,1.0,1.0,1.0,0.7058823529411765,17.0,13.0,0.0,0.4,0.46808510638297873,47.0,7.0,0.0,0.0,0.4090909090909091,22.0,1.0,1.0,0.6666666666666666,0.6153846153846154,26.0,5.0,0.0,0.3333333333333333,0.45454545454545453,33.0,1.0,1.0
46052,40.0,2016-07-12,59,1.0,0.0,13.0,0.0,0.4,0.46808510638297873,47.0,7.0,0.0,0.0,0.4090909090909091,22.0,1.0,1.0,0.6666666666666666,0.6153846153846154,26.0,5.0,0.0,0.3333333333333333,0.45454545454545453,33.0,2.0,1.0,1.0,0.6190476190476191,21.0,0.0,1.0
45974,39.0,2016-06-29,53,1.0,2.0,7.0,0.0,0.0,0.4090909090909091,22.0,1.0,1.0,0.6666666666666666,0.6153846153846154,26.0,5.0,0.0,0.3333333333333333,0.45454545454545453,33.0,2.0,1.0,1.0,0.6190476190476191,21.0,18.0,0.0,0.4,0.5,46.0,0.0,0.0
45912,38.0,2016-06-22,52,1.0,2.0,1.0,1.0,0.6666666666666666,0.6153846153846154,26.0,5.0,0.0,0.3333333333333333,0.45454545454545453,33.0,2.0,1.0,1.0,0.6190476190476191,21.0,18.0,0.0,0.4,0.5,46.0,2.0,1.0,1.0,0.75,24.0,1.0,0.0
45896,38.0,2016-06-21,52,1.0,2.0,5.0,0.0,0.3333333333333333,0.45454545454545453,33.0,2.0,1.0,1.0,0.6190476190476191,21.0,18.0,0.0,0.4,0.5,46.0,2.0,1.0,1.0,0.75,24.0,2.0,1.0,1.0,0.5882352941176471,34.0,0.0,1.0
45864,37.0,2016-06-16,52,1.0,2.0,2.0,1.0,1.0,0.6190476190476191,21.0,18.0,0.0,0.4,0.5,46.0,2.0,1.0,1.0,0.75,24.0,2.0,1.0,1.0,0.5882352941176471,34.0,7.0,0.0,0.0,0.35,20.0,1.0,0.0
45843,37.0,2016-06-14,52,1.0,2.0,18.0,0.0,0.4,0.5,46.0,2.0,1.0,1.0,0.75,24.0,2.0,1.0,1.0,0.5882352941176471,34.0,7.0,0.0,0.0,0.35,20.0,13.0,0.0,0.3333333333333333,0.4230769230769231,26.0,0.0,1.0
45729,33.0,2016-05-27,52,1.0,0.0,2.0,1.0,1.0,0.75,24.0,2.0,1.0,1.0,0.5882352941176471,34.0,7.0,0.0,0.0,0.35,20.0,13.0,0.0,0.3333333333333333,0.4230769230769231,26.0,2.0,1.0,1.0,0.56,25.0,2.0,0.0
45695,33.0,2016-05-25,52,1.0,0.0,2.0,1.0,1.0,0.5882352941176471,34.0,7.0,0.0,0.0,0.35,20.0,13.0,0.0,0.3333333333333333,0.4230769230769231,26.0,2.0,1.0,1.0,0.56,25.0,4.0,0.0,0.0,0.25,16.0,1.0,1.0
