,ATP,Date,Rank,Court,Surface,DaysOffFromMatch1,1LastGame,1LastGameDiff,1LastGameGamesDiff,1LastGameNrOfGames,DaysOffFromMatch2,2LastGame,2LastGameDiff,2LastGameGamesDiff,2LastGameNrOfGames,DaysOffFromMatch3,3LastGame,3LastGameDiff,3LastGameGamesDiff,3LastGameNrOfGames,DaysOffFromMatch4,4LastGame,4LastGameDiff,4LastGameGamesDiff,4LastGameNrOfGames,DaysOffFromMatch5,5LastGame,5LastGameDiff,5LastGameGamesDiff,5LastGameNrOfGames,MatchesInTour,Result
27055,30.0,2009-05-18,378,1.0,0.0,938.0,0.0,0.3333333333333333,0.5,32.0,11.0,0.0,0.0,0.4,20.0,2.0,1.0,1.0,0.631578947368421,19.0,8.0,0.0,0.3333333333333333,0.4666666666666667,30.0,7.0,0.0,0.3333333333333333,0.46875,32.0,0.0,0.0
20245,65.0,2006-10-23,81,0.0,1.0,11.0,0.0,0.0,0.4,20.0,2.0,1.0,1.0,0.631578947368421,19.0,8.0,0.0,0.3333333333333333,0.4666666666666667,30.0,7.0,0.0,0.3333333333333333,0.46875,32.0,26.0,0.0,0.25,0.34375,32.0,0.0,0.0
20061,59.0,2006-10-12,85,0.0,1.0,2.0,1.0,1.0,0.631578947368421,19.0,8.0,0.0,0.3333333333333333,0.4666666666666667,30.0,7.0,0.0,0.3333333333333333,0.46875,32.0,26.0,0.0,0.25,0.34375,32.0,7.0,0.0,0.3333333333333333,0.38461538461538464,26.0,1.0,0.0
20048,59.0,2006-10-10,85,0.0,1.0,8.0,0.0,0.3333333333333333,0.4666666666666667,30.0,7.0,0.0,0.3333333333333333,0.46875,32.0,26.0,0.0,0.25,0.34375,32.0,7.0,0.0,0.3333333333333333,0.38461538461538464,26.0,2.0,1.0,1.0,0.6666666666666666,18.0,0.0,1.0
19996,58.0,2006-10-02,85,1.0,3.0,7.0,0.0,0.3333333333333333,0.46875,32.0,26.0,0.0,0.25,0.34375,32.0,7.0,0.0,0.3333333333333333,0.38461538461538464,26.0,2.0,1.0,1.0,0.6666666666666666,18.0,7.0,0.0,0.3333333333333333,0.41935483870967744,31.0,0.0,0.0
19904,55.0,2006-09-25,86,0.0,3.0,26.0,0.0,0.25,0.34375,32.0,7.0,0.0,0.3333333333333333,0.38461538461538464,26.0,2.0,1.0,1.0,0.6666666666666666,18.0,7.0,0.0,0.3333333333333333,0.41935483870967744,31.0,19.0,0.0,0.3333333333333333,0.48148148148148145,27.0,0.0,0.0
19708,51.0,2006-08-30,85,1.0,3.0,7.0,0.0,0.3333333333333333,0.38461538461538464,26.0,2.0,1.0,1.0,0.6666666666666666,18.0,7.0,0.0,0.3333333333333333,0.41935483870967744,31.0,19.0,0.0,0.3333333333333333,0.48148148148148145,27.0,1.0,1.0,1.0,0.7058823529411765,17.0,0.0,0.0
19664,50.0,2006-08-23,85,1.0,3.0,2.0,1.0,1.0,0.6666666666666666,18.0,7.0,0.0,0.3333333333333333,0.41935483870967744,31.0,19.0,0.0,0.3333333333333333,0.48148148148148145,27.0,1.0,1.0,1.0,0.7058823529411765,17.0,8.0,0.0,0.3333333333333333,0.5,32.0,1.0,0.0
19639,50.0,2006-08-21,85,1.0,3.0,7.0,0.0,0.3333333333333333,0.41935483870967744,31.0,19.0,0.0,0.3333333333333333,0.48148148148148145,27.0,1.0,1.0,1.0,0.7058823529411765,17.0,8.0,0.0,0.3333333333333333,0.5,32.0,4.0,0.0,0.0,0.14285714285714285,14.0,0.0,1.0
19581,49.0,2006-08-14,87,1.0,3.0,19.0,0.0,0.3333333333333333,0.48148148148148145,27.0,1.0,1.0,1.0,0.7058823529411765,17.0,8.0,0.0,0.3333333333333333,0.5,32.0,4.0,0.0,0.0,0.14285714285714285,14.0,2.0,1.0,1.0,0.8,15.0,0.0,0.0
19417,45.0,2006-07-26,74,1.0,0.0,1.0,1.0,1.0,0.7058823529411765,17.0,8.0,0.0,0.3333333333333333,0.5,32.0,4.0,0.0,0.0,0.14285714285714285,14.0,2.0,1.0,1.0,0.8,15.0,13.0,0.0,0.0,0.3333333333333333,27.0,1.0,0.0
19406,45.0,2006-07-25,74,1.0,0.0,8.0,0.0,0.3333333333333333,0.5,32.0,4.0,0.0,0.0,0.14285714285714285,14.0,2.0,1.0,1.0,0.8,15.0,13.0,0.0,0.0,0.3333333333333333,27.0,9.0,0.0,0.3333333333333333,0.4583333333333333,24.0,0.0,1.0
19275,42.0,2006-07-17,72,1.0,0.0,4.0,0.0,0.0,0.14285714285714285,14.0,2.0,1.0,1.0,0.8,15.0,13.0,0.0,0.0,0.3333333333333333,27.0,9.0,0.0,0.3333333333333333,0.4583333333333333,24.0,7.0,0.0,0.0,0.3333333333333333,18.0,0.0,0.0
19152,38.0,2006-07-13,73,1.0,0.0,2.0,1.0,1.0,0.8,15.0,13.0,0.0,0.0,0.3333333333333333,27.0,9.0,0.0,0.3333333333333333,0.4583333333333333,24.0,7.0,0.0,0.0,0.3333333333333333,18.0,13.0,0.0,0.25,0.4444444444444444,36.0,1.0,0.0
19149,38.0,2006-07-11,73,1.0,0.0,13.0,0.0,0.0,0.3333333333333333,27.0,9.0,0.0,0.3333333333333333,0.4583333333333333,24.0,7.0,0.0,0.0,0.3333333333333333,18.0,13.0,0.0,0.25,0.4444444444444444,36.0,25.0,0.0,0.3333333333333333,0.4642857142857143,28.0,0.0,1.0
19032,36.0,2006-06-28,74,1.0,2.0,9.0,0.0,0.3333333333333333,0.4583333333333333,24.0,7.0,0.0,0.0,0.3333333333333333,18.0,13.0,0.0,0.25,0.4444444444444444,36.0,25.0,0.0,0.3333333333333333,0.4642857142857143,28.0,2.0,1.0,0.6666666666666666,0.5151515151515151,33.0,0.0,0.0
18919,34.0,2006-06-19,73,1.0,2.0,7.0,0.0,0.0,0.3333333333333333,18.0,13.0,0.0,0.25,0.4444444444444444,36.0,25.0,0.0,0.3333333333333333,0.4642857142857143,28.0,2.0,1.0,0.6666666666666666,0.5151515151515151,33.0,2.0,1.0,0.6666666666666666,0.53125,32.0,0.0,0.0
18863,33.0,2006-06-12,73,1.0,2.0,13.0,0.0,0.25,0.4444444444444444,36.0,25.0,0.0,0.3333333333333333,0.4642857142857143,28.0,2.0,1.0,0.6666666666666666,0.5151515151515151,33.0,2.0,1.0,0.6666666666666666,0.53125,32.0,6.0,0.0,0.0,0.3684210526315789,19.0,0.0,0.0
18761,31.0,2006-05-30,67,1.0,0.0,25.0,0.0,0.3333333333333333,0.4642857142857143,28.0,2.0,1.0,0.6666666666666666,0.5151515151515151,33.0,2.0,1.0,0.6666666666666666,0.53125,32.0,6.0,0.0,0.0,0.3684210526315789,19.0,14.0,0.0,0.0,0.29411764705882354,17.0,0.0,0.0
18537,27.0,2006-05-05,79,1.0,0.0,2.0,1.0,0.6666666666666666,0.5151515151515151,33.0,2.0,1.0,0.6666666666666666,0.53125,32.0,6.0,0.0,0.0,0.3684210526315789,19.0,14.0,0.0,0.0,0.29411764705882354,17.0,18.0,0.0,0.3333333333333333,0.41935483870967744,31.0,2.0,0.0
18530,27.0,2006-05-03,79,1.0,0.0,2.0,1.0,0.6666666666666666,0.53125,32.0,6.0,0.0,0.0,0.3684210526315789,19.0,14.0,0.0,0.0,0.29411764705882354,17.0,18.0,0.0,0.3333333333333333,0.41935483870967744,31.0,2.0,1.0,1.0,0.6,20.0,1.0,1.0
18516,27.0,2006-05-01,79,1.0,0.0,6.0,0.0,0.0,0.3684210526315789,19.0,14.0,0.0,0.0,0.29411764705882354,17.0,18.0,0.0,0.3333333333333333,0.41935483870967744,31.0,2.0,1.0,1.0,0.6,20.0,12.0,0.0,0.0,0.29411764705882354,17.0,0.0,1.0
18417,24.0,2006-04-25,78,1.0,0.0,14.0,0.0,0.0,0.29411764705882354,17.0,18.0,0.0,0.3333333333333333,0.41935483870967744,31.0,2.0,1.0,1.0,0.6,20.0,12.0,0.0,0.0,0.29411764705882354,17.0,8.0,0.0,0.0,0.29411764705882354,17.0,0.0,0.0
18309,22.0,2006-04-11,69,1.0,0.0,18.0,0.0,0.3333333333333333,0.41935483870967744,31.0,2.0,1.0,1.0,0.6,20.0,12.0,0.0,0.0,0.29411764705882354,17.0,8.0,0.0,0.0,0.29411764705882354,17.0,1.0,1.0,0.6666666666666666,0.5333333333333333,30.0,0.0,0.0
18210,20.0,2006-03-24,70,1.0,3.0,2.0,1.0,1.0,0.6,20.0,12.0,0.0,0.0,0.29411764705882354,17.0,8.0,0.0,0.0,0.29411764705882354,17.0,1.0,1.0,0.6666666666666666,0.5333333333333333,30.0,2.0,1.0,1.0,0.6666666666666666,18.0,1.0,0.0
18182,20.0,2006-03-22,70,1.0,3.0,12.0,0.0,0.0,0.29411764705882354,17.0,8.0,0.0,0.0,0.29411764705882354,17.0,1.0,1.0,0.6666666666666666,0.5333333333333333,30.0,2.0,1.0,1.0,0.6666666666666666,18.0,7.0,0.0,0.0,0.38095238095238093,21.0,0.0,1.0
18086,19.0,2006-03-10,66,1.0,3.0,8.0,0.0,0.0,0.29411764705882354,17.0,1.0,1.0,0.6666666666666666,0.5333333333333333,30.0,2.0,1.0,1.0,0.6666666666666666,18.0,7.0,0.0,0.0,0.38095238095238093,21.0,21.0,0.0,0.0,0.3157894736842105,19.0,0.0,0.0
18045,17.0,2006-03-02,75,1.0,3.0,1.0,1.0,0.6666666666666666,0.5333333333333333,30.0,2.0,1.0,1.0,0.6666666666666666,18.0,7.0,0.0,0.0,0.38095238095238093,21.0,21.0,0.0,0.0,0.3157894736842105,19.0,13.0,0.0,0.4,0.5,52.0,2.0,0.0
