,ATP,Date,Rank,Court,Surface,DaysOffFromMatch1,1LastGame,1LastGameDiff,1LastGameGamesDiff,1LastGameNrOfGames,DaysOffFromMatch2,2LastGame,2LastGameDiff,2LastGameGamesDiff,2LastGameNrOfGames,DaysOffFromMatch3,3LastGame,3LastGameDiff,3LastGameGamesDiff,3LastGameNrOfGames,DaysOffFromMatch4,4LastGame,4LastGameDiff,4LastGameGamesDiff,4LastGameNrOfGames,DaysOffFromMatch5,5LastGame,5LastGameDiff,5LastGameGamesDiff,5LastGameNrOfGames,MatchesInTour,Result
38151,38.0,2013-07-09,572,1.0,0.0,728.0,0.0,0.3333333333333333,0.43478260869565216,23.0,363.0,0.0,0.3333333333333333,0.3793103448275862,29.0,2.0,1.0,0.6666666666666666,0.5277777777777778,36.0,160.0,0.0,0.3333333333333333,0.48148148148148145,27.0,105.0,0.0,0.0,0.29411764705882354,17.0,0.0,0.0
32907,38.0,2011-07-12,727,1.0,0.0,363.0,0.0,0.3333333333333333,0.3793103448275862,29.0,2.0,1.0,0.6666666666666666,0.5277777777777778,36.0,160.0,0.0,0.3333333333333333,0.48148148148148145,27.0,105.0,0.0,0.0,0.29411764705882354,17.0,94.0,0.0,0.0,0.35,20.0,0.0,0.0
30242,38.0,2010-07-14,347,1.0,0.0,2.0,1.0,0.6666666666666666,0.5277777777777778,36.0,160.0,0.0,0.3333333333333333,0.48148148148148145,27.0,105.0,0.0,0.0,0.29411764705882354,17.0,94.0,0.0,0.0,0.35,20.0,1.0,1.0,0.6666666666666666,0.5185185185185185,27.0,1.0,0.0
30229,38.0,2010-07-12,347,1.0,0.0,160.0,0.0,0.3333333333333333,0.48148148148148145,27.0,105.0,0.0,0.0,0.29411764705882354,17.0,94.0,0.0,0.0,0.35,20.0,1.0,1.0,0.6666666666666666,0.5185185185185185,27.0,1.0,1.0,0.6666666666666666,0.5625,32.0,0.0,1.0
28922,9.0,2010-02-02,242,0.0,3.0,105.0,0.0,0.0,0.29411764705882354,17.0,94.0,0.0,0.0,0.35,20.0,1.0,1.0,0.6666666666666666,0.5185185185185185,27.0,1.0,1.0,0.6666666666666666,0.5625,32.0,3.0,1.0,0.6666666666666666,0.5625,32.0,0.0,0.0
28340,57.0,2009-10-20,256,0.0,3.0,94.0,0.0,0.0,0.35,20.0,1.0,1.0,0.6666666666666666,0.5185185185185185,27.0,1.0,1.0,0.6666666666666666,0.5625,32.0,3.0,1.0,0.6666666666666666,0.5625,32.0,1005.0,0.0,0.3333333333333333,0.47058823529411764,34.0,0.0,0.0
27541,38.0,2009-07-18,460,1.0,0.0,1.0,1.0,0.6666666666666666,0.5185185185185185,27.0,1.0,1.0,0.6666666666666666,0.5625,32.0,3.0,1.0,0.6666666666666666,0.5625,32.0,1005.0,0.0,0.3333333333333333,0.47058823529411764,34.0,2.0,1.0,1.0,0.7058823529411765,17.0,3.0,0.0
27539,38.0,2009-07-17,460,1.0,0.0,1.0,1.0,0.6666666666666666,0.5625,32.0,3.0,1.0,0.6666666666666666,0.5625,32.0,1005.0,0.0,0.3333333333333333,0.47058823529411764,34.0,2.0,1.0,1.0,0.7058823529411765,17.0,84.0,0.0,0.0,0.4090909090909091,22.0,2.0,1.0
27533,38.0,2009-07-16,460,1.0,0.0,3.0,1.0,0.6666666666666666,0.5625,32.0,1005.0,0.0,0.3333333333333333,0.47058823529411764,34.0,2.0,1.0,1.0,0.7058823529411765,17.0,84.0,0.0,0.0,0.4090909090909091,22.0,7.0,0.0,0.0,0.29411764705882354,17.0,1.0,1.0
27517,38.0,2009-07-13,460,1.0,0.0,1005.0,0.0,0.3333333333333333,0.47058823529411764,34.0,2.0,1.0,1.0,0.7058823529411765,17.0,84.0,0.0,0.0,0.4090909090909091,22.0,7.0,0.0,0.0,0.29411764705882354,17.0,370.0,0.0,0.3333333333333333,0.4857142857142857,35.0,0.0,1.0
20095,60.0,2006-10-12,153,0.0,3.0,2.0,1.0,1.0,0.7058823529411765,17.0,84.0,0.0,0.0,0.4090909090909091,22.0,7.0,0.0,0.0,0.29411764705882354,17.0,370.0,0.0,0.3333333333333333,0.4857142857142857,35.0,2.0,1.0,1.0,0.75,16.0,1.0,0.0
