,ATP,Date,Rank,Court,Surface,DaysOffFromMatch1,1LastGame,1LastGameDiff,1LastGameGamesDiff,1LastGameNrOfGames,DaysOffFromMatch2,2LastGame,2LastGameDiff,2LastGameGamesDiff,2LastGameNrOfGames,DaysOffFromMatch3,3LastGame,3LastGameDiff,3LastGameGamesDiff,3LastGameNrOfGames,DaysOffFromMatch4,4LastGame,4LastGameDiff,4LastGameGamesDiff,4LastGameNrOfGames,DaysOffFromMatch5,5LastGame,5LastGameDiff,5LastGameGamesDiff,5LastGameNrOfGames,MatchesInTour,Result
30814,51.0,2010-09-23,307,0.0,3.0,1.0,1.0,0.6666666666666666,0.5925925925925926,27.0,22.0,0.0,0.0,0.3333333333333333,27.0,27.0,0.0,0.0,0.38095238095238093,21.0,1.0,1.0,1.0,0.6666666666666666,9.0,7.0,0.0,0.3333333333333333,0.48148148148148145,27.0,1.0,0.0
30807,51.0,2010-09-22,307,0.0,3.0,22.0,0.0,0.0,0.3333333333333333,27.0,27.0,0.0,0.0,0.38095238095238093,21.0,1.0,1.0,1.0,0.6666666666666666,9.0,7.0,0.0,0.3333333333333333,0.48148148148148145,27.0,8.0,0.0,0.0,0.43478260869565216,23.0,0.0,1.0
30685,49.0,2010-08-31,321,1.0,3.0,27.0,0.0,0.0,0.38095238095238093,21.0,1.0,1.0,1.0,0.6666666666666666,9.0,7.0,0.0,0.3333333333333333,0.48148148148148145,27.0,8.0,0.0,0.0,0.43478260869565216,23.0,27.0,0.0,0.4,0.4375,48.0,0.0,0.0
30469,45.0,2010-08-04,359,1.0,3.0,1.0,1.0,1.0,0.6666666666666666,9.0,7.0,0.0,0.3333333333333333,0.48148148148148145,27.0,8.0,0.0,0.0,0.43478260869565216,23.0,27.0,0.0,0.4,0.4375,48.0,7.0,0.0,0.0,0.2,15.0,1.0,0.0
30453,45.0,2010-08-03,359,1.0,3.0,7.0,0.0,0.3333333333333333,0.48148148148148145,27.0,8.0,0.0,0.0,0.43478260869565216,23.0,27.0,0.0,0.4,0.4375,48.0,7.0,0.0,0.0,0.2,15.0,22.0,0.0,0.0,0.3333333333333333,27.0,0.0,1.0
30390,43.0,2010-07-27,359,1.0,3.0,8.0,0.0,0.0,0.43478260869565216,23.0,27.0,0.0,0.4,0.4375,48.0,7.0,0.0,0.0,0.2,15.0,22.0,0.0,0.0,0.3333333333333333,27.0,19.0,0.0,0.0,0.25,16.0,0.0,0.0
30283,40.0,2010-07-19,358,1.0,3.0,27.0,0.0,0.4,0.4375,48.0,7.0,0.0,0.0,0.2,15.0,22.0,0.0,0.0,0.3333333333333333,27.0,19.0,0.0,0.0,0.25,16.0,106.0,0.0,0.0,0.18181818181818182,22.0,0.0,0.0
30113,36.0,2010-06-22,174,1.0,2.0,7.0,0.0,0.0,0.2,15.0,22.0,0.0,0.0,0.3333333333333333,27.0,19.0,0.0,0.0,0.25,16.0,106.0,0.0,0.0,0.18181818181818182,22.0,188.0,0.0,0.0,0.29411764705882354,17.0,0.0,0.0
30053,35.0,2010-06-15,167,1.0,2.0,22.0,0.0,0.0,0.3333333333333333,27.0,19.0,0.0,0.0,0.25,16.0,106.0,0.0,0.0,0.18181818181818182,22.0,188.0,0.0,0.0,0.29411764705882354,17.0,1.0,1.0,1.0,0.5652173913043478,23.0,0.0,0.0
29831,31.0,2010-05-24,163,1.0,0.0,19.0,0.0,0.0,0.25,16.0,106.0,0.0,0.0,0.18181818181818182,22.0,188.0,0.0,0.0,0.29411764705882354,17.0,1.0,1.0,1.0,0.5652173913043478,23.0,20.0,0.0,0.25,0.46938775510204084,49.0,0.0,0.0
29698,28.0,2010-05-05,147,1.0,0.0,106.0,0.0,0.0,0.18181818181818182,22.0,188.0,0.0,0.0,0.29411764705882354,17.0,1.0,1.0,1.0,0.5652173913043478,23.0,20.0,0.0,0.25,0.46938775510204084,49.0,2.0,1.0,0.6,0.5178571428571429,56.0,0.0,0.0
28788,6.0,2010-01-19,112,1.0,3.0,188.0,0.0,0.0,0.29411764705882354,17.0,1.0,1.0,1.0,0.5652173913043478,23.0,20.0,0.0,0.25,0.46938775510204084,49.0,2.0,1.0,0.6,0.5178571428571429,56.0,6.0,0.0,0.0,0.29411764705882354,17.0,0.0,0.0
27530,38.0,2009-07-15,55,1.0,0.0,1.0,1.0,1.0,0.5652173913043478,23.0,20.0,0.0,0.25,0.46938775510204084,49.0,2.0,1.0,0.6,0.5178571428571429,56.0,6.0,0.0,0.0,0.29411764705882354,17.0,1.0,1.0,0.6666666666666666,0.5357142857142857,28.0,1.0,0.0
27523,38.0,2009-07-14,55,1.0,0.0,20.0,0.0,0.25,0.46938775510204084,49.0,2.0,1.0,0.6,0.5178571428571429,56.0,6.0,0.0,0.0,0.29411764705882354,17.0,1.0,1.0,0.6666666666666666,0.5357142857142857,28.0,6.0,0.0,0.0,0.29411764705882354,17.0,0.0,1.0
27427,36.0,2009-06-24,82,1.0,2.0,2.0,1.0,0.6,0.5178571428571429,56.0,6.0,0.0,0.0,0.29411764705882354,17.0,1.0,1.0,0.6666666666666666,0.5357142857142857,28.0,6.0,0.0,0.0,0.29411764705882354,17.0,1.0,1.0,1.0,0.5652173913043478,23.0,1.0,0.0
27373,36.0,2009-06-22,82,1.0,2.0,6.0,0.0,0.0,0.29411764705882354,17.0,1.0,1.0,0.6666666666666666,0.5357142857142857,28.0,6.0,0.0,0.0,0.29411764705882354,17.0,1.0,1.0,1.0,0.5652173913043478,23.0,14.0,0.0,0.4,0.4666666666666667,45.0,0.0,1.0
27346,35.0,2009-06-16,88,1.0,2.0,1.0,1.0,0.6666666666666666,0.5357142857142857,28.0,6.0,0.0,0.0,0.29411764705882354,17.0,1.0,1.0,1.0,0.5652173913043478,23.0,14.0,0.0,0.4,0.4666666666666667,45.0,17.0,0.0,0.0,0.4090909090909091,22.0,1.0,0.0
27340,35.0,2009-06-15,88,1.0,2.0,6.0,0.0,0.0,0.29411764705882354,17.0,1.0,1.0,1.0,0.5652173913043478,23.0,14.0,0.0,0.4,0.4666666666666667,45.0,17.0,0.0,0.0,0.4090909090909091,22.0,2.0,1.0,0.6666666666666666,0.5357142857142857,28.0,0.0,1.0
27265,33.0,2009-06-09,89,1.0,2.0,1.0,1.0,1.0,0.5652173913043478,23.0,14.0,0.0,0.4,0.4666666666666667,45.0,17.0,0.0,0.0,0.4090909090909091,22.0,2.0,1.0,0.6666666666666666,0.5357142857142857,28.0,1.0,1.0,0.6666666666666666,0.5833333333333334,24.0,1.0,0.0
27244,33.0,2009-06-08,89,1.0,2.0,14.0,0.0,0.4,0.4666666666666667,45.0,17.0,0.0,0.0,0.4090909090909091,22.0,2.0,1.0,0.6666666666666666,0.5357142857142857,28.0,1.0,1.0,0.6666666666666666,0.5833333333333334,24.0,22.0,0.0,0.3333333333333333,0.45454545454545453,33.0,0.0,1.0
27110,31.0,2009-05-25,94,1.0,0.0,17.0,0.0,0.0,0.4090909090909091,22.0,2.0,1.0,0.6666666666666666,0.5357142857142857,28.0,1.0,1.0,0.6666666666666666,0.5833333333333334,24.0,22.0,0.0,0.3333333333333333,0.45454545454545453,33.0,6.0,0.0,0.0,0.38095238095238093,21.0,0.0,0.0
26928,26.0,2009-05-08,105,1.0,0.0,2.0,1.0,0.6666666666666666,0.5357142857142857,28.0,1.0,1.0,0.6666666666666666,0.5833333333333334,24.0,22.0,0.0,0.3333333333333333,0.45454545454545453,33.0,6.0,0.0,0.0,0.38095238095238093,21.0,50.0,0.0,0.3333333333333333,0.4642857142857143,28.0,2.0,0.0
26921,26.0,2009-05-06,105,1.0,0.0,1.0,1.0,0.6666666666666666,0.5833333333333334,24.0,22.0,0.0,0.3333333333333333,0.45454545454545453,33.0,6.0,0.0,0.0,0.38095238095238093,21.0,50.0,0.0,0.3333333333333333,0.4642857142857143,28.0,10.0,0.0,0.0,0.29411764705882354,17.0,1.0,1.0
26913,26.0,2009-05-05,105,1.0,0.0,22.0,0.0,0.3333333333333333,0.45454545454545453,33.0,6.0,0.0,0.0,0.38095238095238093,21.0,50.0,0.0,0.3333333333333333,0.4642857142857143,28.0,10.0,0.0,0.0,0.29411764705882354,17.0,1.0,1.0,1.0,0.7058823529411765,17.0,0.0,1.0
26755,23.0,2009-04-13,92,1.0,0.0,6.0,0.0,0.0,0.38095238095238093,21.0,50.0,0.0,0.3333333333333333,0.4642857142857143,28.0,10.0,0.0,0.0,0.29411764705882354,17.0,1.0,1.0,1.0,0.7058823529411765,17.0,2.0,1.0,1.0,0.5652173913043478,23.0,0.0,0.0
26687,21.0,2009-04-07,92,1.0,0.0,50.0,0.0,0.3333333333333333,0.4642857142857143,28.0,10.0,0.0,0.0,0.29411764705882354,17.0,1.0,1.0,1.0,0.7058823529411765,17.0,2.0,1.0,1.0,0.5652173913043478,23.0,15.0,0.0,0.0,0.4473684210526316,38.0,0.0,0.0
26337,14.0,2009-02-16,111,0.0,3.0,10.0,0.0,0.0,0.29411764705882354,17.0,1.0,1.0,1.0,0.7058823529411765,17.0,2.0,1.0,1.0,0.5652173913043478,23.0,15.0,0.0,0.0,0.4473684210526316,38.0,12.0,0.0,0.3333333333333333,0.45454545454545453,33.0,0.0,0.0
26149,7.0,2009-02-06,122,1.0,3.0,1.0,1.0,1.0,0.7058823529411765,17.0,2.0,1.0,1.0,0.5652173913043478,23.0,15.0,0.0,0.0,0.4473684210526316,38.0,12.0,0.0,0.3333333333333333,0.45454545454545453,33.0,1.0,1.0,0.6666666666666666,0.5757575757575758,33.0,2.0,0.0
26145,7.0,2009-02-05,122,1.0,3.0,2.0,1.0,1.0,0.5652173913043478,23.0,15.0,0.0,0.0,0.4473684210526316,38.0,12.0,0.0,0.3333333333333333,0.45454545454545453,33.0,1.0,1.0,0.6666666666666666,0.5757575757575758,33.0,75.0,0.0,0.3333333333333333,0.4857142857142857,35.0,1.0,1.0
26133,7.0,2009-02-03,122,1.0,3.0,15.0,0.0,0.0,0.4473684210526316,38.0,12.0,0.0,0.3333333333333333,0.45454545454545453,33.0,1.0,1.0,0.6666666666666666,0.5757575757575758,33.0,75.0,0.0,0.3333333333333333,0.4857142857142857,35.0,1.0,1.0,1.0,0.7058823529411765,17.0,0.0,1.0
26020,6.0,2009-01-19,85,1.0,3.0,12.0,0.0,0.3333333333333333,0.45454545454545453,33.0,1.0,1.0,0.6666666666666666,0.5757575757575758,33.0,75.0,0.0,0.3333333333333333,0.4857142857142857,35.0,1.0,1.0,1.0,0.7058823529411765,17.0,99.0,0.0,0.0,0.3333333333333333,18.0,0.0,0.0
25930,3.0,2009-01-07,85,1.0,3.0,1.0,1.0,0.6666666666666666,0.5757575757575758,33.0,75.0,0.0,0.3333333333333333,0.4857142857142857,35.0,1.0,1.0,1.0,0.7058823529411765,17.0,99.0,0.0,0.0,0.3333333333333333,18.0,6.0,0.0,0.0,0.0,0.0,1.0,0.0
25921,3.0,2009-01-06,85,1.0,3.0,75.0,0.0,0.3333333333333333,0.4857142857142857,35.0,1.0,1.0,1.0,0.7058823529411765,17.0,99.0,0.0,0.0,0.3333333333333333,18.0,6.0,0.0,0.0,0.0,0.0,2.0,1.0,1.0,0.631578947368421,19.0,0.0,1.0
25713,61.0,2008-10-23,96,0.0,1.0,1.0,1.0,1.0,0.7058823529411765,17.0,99.0,0.0,0.0,0.3333333333333333,18.0,6.0,0.0,0.0,0.0,0.0,2.0,1.0,1.0,0.631578947368421,19.0,13.0,0.0,0.25,0.38461538461538464,39.0,1.0,0.0
25706,61.0,2008-10-22,96,0.0,1.0,99.0,0.0,0.0,0.3333333333333333,18.0,6.0,0.0,0.0,0.0,0.0,2.0,1.0,1.0,0.631578947368421,19.0,13.0,0.0,0.25,0.38461538461538464,39.0,8.0,0.0,0.0,0.0,7.0,0.0,1.0
24943,42.0,2008-07-15,124,1.0,0.0,6.0,0.0,0.0,0.0,0.0,2.0,1.0,1.0,0.631578947368421,19.0,13.0,0.0,0.25,0.38461538461538464,39.0,8.0,0.0,0.0,0.0,7.0,7.0,0.0,0.0,0.4090909090909091,22.0,0.0,0.0
24866,39.0,2008-07-09,121,1.0,0.0,2.0,1.0,1.0,0.631578947368421,19.0,13.0,0.0,0.25,0.38461538461538464,39.0,8.0,0.0,0.0,0.0,7.0,7.0,0.0,0.0,0.4090909090909091,22.0,12.0,0.0,0.0,0.46153846153846156,39.0,1.0,0.0
24856,39.0,2008-07-07,121,1.0,0.0,13.0,0.0,0.25,0.38461538461538464,39.0,8.0,0.0,0.0,0.0,7.0,7.0,0.0,0.0,0.4090909090909091,22.0,12.0,0.0,0.0,0.46153846153846156,39.0,15.0,0.0,0.0,0.2857142857142857,7.0,0.0,1.0
24730,37.0,2008-06-24,109,1.0,2.0,8.0,0.0,0.0,0.0,7.0,7.0,0.0,0.0,0.4090909090909091,22.0,12.0,0.0,0.0,0.46153846153846156,39.0,15.0,0.0,0.0,0.2857142857142857,7.0,12.0,0.0,0.3333333333333333,0.5,28.0,0.0,0.0
24645,35.0,2008-06-16,107,1.0,2.0,7.0,0.0,0.0,0.4090909090909091,22.0,12.0,0.0,0.0,0.46153846153846156,39.0,15.0,0.0,0.0,0.2857142857142857,7.0,12.0,0.0,0.3333333333333333,0.5,28.0,3.0,1.0,1.0,0.5909090909090909,22.0,0.0,0.0
24558,33.0,2008-06-09,107,1.0,2.0,12.0,0.0,0.0,0.46153846153846156,39.0,15.0,0.0,0.0,0.2857142857142857,7.0,12.0,0.0,0.3333333333333333,0.5,28.0,3.0,1.0,1.0,0.5909090909090909,22.0,5.0,0.0,0.0,0.2,15.0,0.0,0.0
24448,31.0,2008-05-28,85,1.0,0.0,15.0,0.0,0.0,0.2857142857142857,7.0,12.0,0.0,0.3333333333333333,0.5,28.0,3.0,1.0,1.0,0.5909090909090909,22.0,5.0,0.0,0.0,0.2,15.0,2.0,1.0,1.0,0.65,20.0,0.0,0.0
24293,28.0,2008-05-13,83,1.0,0.0,12.0,0.0,0.3333333333333333,0.5,28.0,3.0,1.0,1.0,0.5909090909090909,22.0,5.0,0.0,0.0,0.2,15.0,2.0,1.0,1.0,0.65,20.0,6.0,0.0,0.0,0.29411764705882354,17.0,0.0,0.0
24210,26.0,2008-05-01,88,1.0,0.0,3.0,1.0,1.0,0.5909090909090909,22.0,5.0,0.0,0.0,0.2,15.0,2.0,1.0,1.0,0.65,20.0,6.0,0.0,0.0,0.29411764705882354,17.0,20.0,0.0,0.0,0.29411764705882354,17.0,1.0,0.0
24190,26.0,2008-04-28,88,1.0,0.0,5.0,0.0,0.0,0.2,15.0,2.0,1.0,1.0,0.65,20.0,6.0,0.0,0.0,0.29411764705882354,17.0,20.0,0.0,0.0,0.29411764705882354,17.0,29.0,0.0,0.0,0.44,25.0,0.0,1.0
24117,24.0,2008-04-23,97,1.0,0.0,2.0,1.0,1.0,0.65,20.0,6.0,0.0,0.0,0.29411764705882354,17.0,20.0,0.0,0.0,0.29411764705882354,17.0,29.0,0.0,0.0,0.44,25.0,6.0,0.0,0.0,0.29411764705882354,17.0,1.0,0.0
