,ATP,Date,Rank,Court,Surface,DaysOffFromMatch1,1LastGame,1LastGameDiff,1LastGameGamesDiff,1LastGameNrOfGames,DaysOffFromMatch2,2LastGame,2LastGameDiff,2LastGameGamesDiff,2LastGameNrOfGames,DaysOffFromMatch3,3LastGame,3LastGameDiff,3LastGameGamesDiff,3LastGameNrOfGames,DaysOffFromMatch4,4LastGame,4LastGameDiff,4LastGameGamesDiff,4LastGameNrOfGames,DaysOffFromMatch5,5LastGame,5LastGameDiff,5LastGameGamesDiff,5LastGameNrOfGames,MatchesInTour,Result
10763,46.0,2003-07-30,138,1.0,0.0,8.0,0.0,0.0,0.3,10.0,8.0,0.0,0.3333333333333333,0.48148148148148145,27.0,5.0,0.0,0.0,0.43478260869565216,23.0,2.0,1.0,1.0,0.6190476190476191,21.0,14.0,0.0,0.0,0.3333333333333333,21.0,0.0,0.0
10699,44.0,2003-07-22,137,1.0,0.0,8.0,0.0,0.3333333333333333,0.48148148148148145,27.0,5.0,0.0,0.0,0.43478260869565216,23.0,2.0,1.0,1.0,0.6190476190476191,21.0,14.0,0.0,0.0,0.3333333333333333,21.0,14.0,0.0,0.0,0.4090909090909091,22.0,0.0,0.0
10519,40.0,2003-07-14,128,1.0,0.0,5.0,0.0,0.0,0.43478260869565216,23.0,2.0,1.0,1.0,0.6190476190476191,21.0,14.0,0.0,0.0,0.3333333333333333,21.0,14.0,0.0,0.0,0.4090909090909091,22.0,13.0,0.0,0.25,0.4634146341463415,41.0,0.0,0.0
10440,37.0,2003-07-09,137,1.0,0.0,2.0,1.0,1.0,0.6190476190476191,21.0,14.0,0.0,0.0,0.3333333333333333,21.0,14.0,0.0,0.0,0.4090909090909091,22.0,13.0,0.0,0.25,0.4634146341463415,41.0,15.0,0.0,0.0,0.14285714285714285,14.0,1.0,0.0
10426,37.0,2003-07-07,137,1.0,0.0,14.0,0.0,0.0,0.3333333333333333,21.0,14.0,0.0,0.0,0.4090909090909091,22.0,13.0,0.0,0.25,0.4634146341463415,41.0,15.0,0.0,0.0,0.14285714285714285,14.0,14.0,0.0,0.0,0.44,25.0,0.0,1.0
10304,36.0,2003-06-23,113,1.0,2.0,14.0,0.0,0.0,0.4090909090909091,22.0,13.0,0.0,0.25,0.4634146341463415,41.0,15.0,0.0,0.0,0.14285714285714285,14.0,14.0,0.0,0.0,0.44,25.0,5.0,0.0,0.0,0.4090909090909091,22.0,0.0,0.0
10181,33.0,2003-06-09,103,1.0,2.0,13.0,0.0,0.25,0.4634146341463415,41.0,15.0,0.0,0.0,0.14285714285714285,14.0,14.0,0.0,0.0,0.44,25.0,5.0,0.0,0.0,0.4090909090909091,22.0,2.0,1.0,1.0,0.5652173913043478,23.0,0.0,0.0
10076,31.0,2003-05-27,99,1.0,0.0,15.0,0.0,0.0,0.14285714285714285,14.0,14.0,0.0,0.0,0.44,25.0,5.0,0.0,0.0,0.4090909090909091,22.0,2.0,1.0,1.0,0.5652173913043478,23.0,11.0,0.0,0.0,0.2,15.0,0.0,0.0
9931,29.0,2003-05-12,90,1.0,0.0,14.0,0.0,0.0,0.44,25.0,5.0,0.0,0.0,0.4090909090909091,22.0,2.0,1.0,1.0,0.5652173913043478,23.0,11.0,0.0,0.0,0.2,15.0,2.0,1.0,0.6666666666666666,0.5,34.0,0.0,0.0
9807,26.0,2003-04-28,87,1.0,0.0,5.0,0.0,0.0,0.4090909090909091,22.0,2.0,1.0,1.0,0.5652173913043478,23.0,11.0,0.0,0.0,0.2,15.0,2.0,1.0,0.6666666666666666,0.5,34.0,19.0,0.0,0.3333333333333333,0.5,24.0,0.0,0.0
9750,24.0,2003-04-23,86,1.0,0.0,2.0,1.0,1.0,0.5652173913043478,23.0,11.0,0.0,0.0,0.2,15.0,2.0,1.0,0.6666666666666666,0.5,34.0,19.0,0.0,0.3333333333333333,0.5,24.0,22.0,0.0,0.0,0.3333333333333333,18.0,1.0,0.0
