,ATP,Date,Rank,Court,Surface,DaysOffFromMatch1,1LastGame,1LastGameDiff,1LastGameGamesDiff,1LastGameNrOfGames,DaysOffFromMatch2,2LastGame,2LastGameDiff,2LastGameGamesDiff,2LastGameNrOfGames,DaysOffFromMatch3,3LastGame,3LastGameDiff,3LastGameGamesDiff,3LastGameNrOfGames,DaysOffFromMatch4,4LastGame,4LastGameDiff,4LastGameGamesDiff,4LastGameNrOfGames,DaysOffFromMatch5,5LastGame,5LastGameDiff,5LastGameGamesDiff,5LastGameNrOfGames,MatchesInTour,Result
46160,44.0,2016-07-18,226,1.0,0.0,69.0,0.0,0.3333333333333333,0.41379310344827586,29.0,658.0,0.0,0.0,0.4090909090909091,22.0,29.0,0.0,0.0,0.3870967741935484,31.0,29.0,0.0,0.0,0.40625,32.0,5.0,0.0,0.0,0.29411764705882354,17.0,0.0,0.0
45543,30.0,2016-05-10,203,1.0,0.0,658.0,0.0,0.0,0.4090909090909091,22.0,29.0,0.0,0.0,0.3870967741935484,31.0,29.0,0.0,0.0,0.40625,32.0,5.0,0.0,0.0,0.29411764705882354,17.0,8.0,0.0,0.0,0.29411764705882354,17.0,0.0,0.0
40962,44.0,2014-07-22,119,1.0,0.0,29.0,0.0,0.0,0.3870967741935484,31.0,29.0,0.0,0.0,0.40625,32.0,5.0,0.0,0.0,0.29411764705882354,17.0,8.0,0.0,0.0,0.29411764705882354,17.0,12.0,0.0,0.0,0.3684210526315789,19.0,0.0,0.0
40655,37.0,2014-06-23,117,1.0,2.0,29.0,0.0,0.0,0.40625,32.0,5.0,0.0,0.0,0.29411764705882354,17.0,8.0,0.0,0.0,0.29411764705882354,17.0,12.0,0.0,0.0,0.3684210526315789,19.0,8.0,0.0,0.0,0.35,20.0,0.0,0.0
40389,32.0,2014-05-25,99,1.0,0.0,5.0,0.0,0.0,0.29411764705882354,17.0,8.0,0.0,0.0,0.29411764705882354,17.0,12.0,0.0,0.0,0.3684210526315789,19.0,8.0,0.0,0.0,0.35,20.0,14.0,0.0,0.0,0.4090909090909091,22.0,0.0,0.0
40358,31.0,2014-05-20,97,1.0,0.0,8.0,0.0,0.0,0.29411764705882354,17.0,12.0,0.0,0.0,0.3684210526315789,19.0,8.0,0.0,0.0,0.35,20.0,14.0,0.0,0.0,0.4090909090909091,22.0,20.0,0.0,0.0,0.43478260869565216,23.0,0.0,0.0
40280,29.0,2014-05-12,97,1.0,0.0,12.0,0.0,0.0,0.3684210526315789,19.0,8.0,0.0,0.0,0.35,20.0,14.0,0.0,0.0,0.4090909090909091,22.0,20.0,0.0,0.0,0.43478260869565216,23.0,22.0,0.0,0.0,0.2,15.0,0.0,0.0
40197,27.0,2014-04-30,84,1.0,0.0,8.0,0.0,0.0,0.35,20.0,14.0,0.0,0.0,0.4090909090909091,22.0,20.0,0.0,0.0,0.43478260869565216,23.0,22.0,0.0,0.0,0.2,15.0,8.0,0.0,0.5,0.38461538461538464,26.0,0.0,0.0
40135,25.0,2014-04-22,83,1.0,0.0,14.0,0.0,0.0,0.4090909090909091,22.0,20.0,0.0,0.0,0.43478260869565216,23.0,22.0,0.0,0.0,0.2,15.0,8.0,0.0,0.5,0.38461538461538464,26.0,3.0,0.0,0.0,0.2,15.0,0.0,0.0
39979,21.0,2014-04-08,80,1.0,0.0,20.0,0.0,0.0,0.43478260869565216,23.0,22.0,0.0,0.0,0.2,15.0,8.0,0.0,0.5,0.38461538461538464,26.0,3.0,0.0,0.0,0.2,15.0,3.0,1.0,0.6666666666666666,0.6296296296296297,27.0,0.0,0.0
