,ATP,Date,Rank,Court,Surface,DaysOffFromMatch1,1LastGame,1LastGameDiff,1LastGameGamesDiff,1LastGameNrOfGames,DaysOffFromMatch2,2LastGame,2LastGameDiff,2LastGameGamesDiff,2LastGameNrOfGames,DaysOffFromMatch3,3LastGame,3LastGameDiff,3LastGameGamesDiff,3LastGameNrOfGames,DaysOffFromMatch4,4LastGame,4LastGameDiff,4LastGameGamesDiff,4LastGameNrOfGames,DaysOffFromMatch5,5LastGame,5LastGameDiff,5LastGameGamesDiff,5LastGameNrOfGames,MatchesInTour,Result
41957,6.0,2015-01-20,118,1.0,3.0,186.0,0.0,0.0,0.4090909090909091,22.0,1.0,1.0,1.0,0.75,16.0,1.0,1.0,0.6666666666666666,0.53125,32.0,8.0,0.0,0.0,0.3333333333333333,18.0,11.0,0.0,0.0,0.32142857142857145,28.0,0.0,0.0
40876,41.0,2014-07-18,133,1.0,0.0,1.0,1.0,1.0,0.75,16.0,1.0,1.0,0.6666666666666666,0.53125,32.0,8.0,0.0,0.0,0.3333333333333333,18.0,11.0,0.0,0.0,0.32142857142857145,28.0,2.0,1.0,0.75,0.5813953488372093,43.0,2.0,0.0
40872,41.0,2014-07-17,133,1.0,0.0,1.0,1.0,0.6666666666666666,0.53125,32.0,8.0,0.0,0.0,0.3333333333333333,18.0,11.0,0.0,0.0,0.32142857142857145,28.0,2.0,1.0,0.75,0.5813953488372093,43.0,2.0,1.0,1.0,0.6923076923076923,26.0,1.0,1.0
40867,41.0,2014-07-16,133,1.0,0.0,8.0,0.0,0.0,0.3333333333333333,18.0,11.0,0.0,0.0,0.32142857142857145,28.0,2.0,1.0,0.75,0.5813953488372093,43.0,2.0,1.0,1.0,0.6923076923076923,26.0,95.0,0.0,0.3333333333333333,0.48,25.0,0.0,1.0
40808,39.0,2014-07-08,138,1.0,2.0,11.0,0.0,0.0,0.32142857142857145,28.0,2.0,1.0,0.75,0.5813953488372093,43.0,2.0,1.0,1.0,0.6923076923076923,26.0,95.0,0.0,0.3333333333333333,0.48,25.0,65.0,0.0,0.0,0.25,24.0,0.0,0.0
40742,37.0,2014-06-27,147,1.0,2.0,2.0,1.0,0.75,0.5813953488372093,43.0,2.0,1.0,1.0,0.6923076923076923,26.0,95.0,0.0,0.3333333333333333,0.48,25.0,65.0,0.0,0.0,0.25,24.0,183.0,0.0,0.3333333333333333,0.36363636363636365,22.0,2.0,0.0
40721,37.0,2014-06-25,147,1.0,2.0,2.0,1.0,1.0,0.6923076923076923,26.0,95.0,0.0,0.3333333333333333,0.48,25.0,65.0,0.0,0.0,0.25,24.0,183.0,0.0,0.3333333333333333,0.36363636363636365,22.0,17.0,0.0,0.0,0.3448275862068966,29.0,1.0,1.0
40653,37.0,2014-06-23,147,1.0,2.0,95.0,0.0,0.3333333333333333,0.48,25.0,65.0,0.0,0.0,0.25,24.0,183.0,0.0,0.3333333333333333,0.36363636363636365,22.0,17.0,0.0,0.0,0.3448275862068966,29.0,3.0,1.0,0.6,0.5192307692307693,52.0,0.0,1.0
39898,20.0,2014-03-20,145,1.0,3.0,65.0,0.0,0.0,0.25,24.0,183.0,0.0,0.3333333333333333,0.36363636363636365,22.0,17.0,0.0,0.0,0.3448275862068966,29.0,3.0,1.0,0.6,0.5192307692307693,52.0,14.0,0.0,0.0,0.3333333333333333,18.0,0.0,0.0
39348,6.0,2014-01-14,173,1.0,3.0,183.0,0.0,0.3333333333333333,0.36363636363636365,22.0,17.0,0.0,0.0,0.3448275862068966,29.0,3.0,1.0,0.6,0.5192307692307693,52.0,14.0,0.0,0.0,0.3333333333333333,18.0,257.0,0.0,0.0,0.4090909090909091,22.0,0.0,0.0
38225,41.0,2013-07-15,141,1.0,0.0,17.0,0.0,0.0,0.3448275862068966,29.0,3.0,1.0,0.6,0.5192307692307693,52.0,14.0,0.0,0.0,0.3333333333333333,18.0,257.0,0.0,0.0,0.4090909090909091,22.0,3.0,1.0,1.0,0.6666666666666666,18.0,0.0,0.0
38108,37.0,2013-06-28,151,1.0,2.0,3.0,1.0,0.6,0.5192307692307693,52.0,14.0,0.0,0.0,0.3333333333333333,18.0,257.0,0.0,0.0,0.4090909090909091,22.0,3.0,1.0,1.0,0.6666666666666666,18.0,25.0,0.0,0.25,0.45,40.0,1.0,0.0
38059,37.0,2013-06-25,151,1.0,2.0,14.0,0.0,0.0,0.3333333333333333,18.0,257.0,0.0,0.0,0.4090909090909091,22.0,3.0,1.0,1.0,0.6666666666666666,18.0,25.0,0.0,0.25,0.45,40.0,2.0,1.0,0.75,0.5813953488372093,43.0,0.0,1.0
37880,33.0,2013-06-11,152,1.0,2.0,257.0,0.0,0.0,0.4090909090909091,22.0,3.0,1.0,1.0,0.6666666666666666,18.0,25.0,0.0,0.25,0.45,40.0,2.0,1.0,0.75,0.5813953488372093,43.0,64.0,0.0,0.0,0.42857142857142855,35.0,0.0,0.0
36206,55.0,2012-09-27,151,0.0,3.0,3.0,1.0,1.0,0.6666666666666666,18.0,25.0,0.0,0.25,0.45,40.0,2.0,1.0,0.75,0.5813953488372093,43.0,64.0,0.0,0.0,0.42857142857142855,35.0,355.0,0.0,0.0,0.4090909090909091,22.0,1.0,0.0
36193,55.0,2012-09-24,151,0.0,3.0,25.0,0.0,0.25,0.45,40.0,2.0,1.0,0.75,0.5813953488372093,43.0,64.0,0.0,0.0,0.42857142857142855,35.0,355.0,0.0,0.0,0.4090909090909091,22.0,1.0,1.0,0.6666666666666666,0.5666666666666667,30.0,0.0,1.0
