,ATP,Date,Rank,Court,Surface,DaysOffFromMatch1,1LastGame,1LastGameDiff,1LastGameGamesDiff,1LastGameNrOfGames,DaysOffFromMatch2,2LastGame,2LastGameDiff,2LastGameGamesDiff,2LastGameNrOfGames,DaysOffFromMatch3,3LastGame,3LastGameDiff,3LastGameGamesDiff,3LastGameNrOfGames,DaysOffFromMatch4,4LastGame,4LastGameDiff,4LastGameGamesDiff,4LastGameNrOfGames,DaysOffFromMatch5,5LastGame,5LastGameDiff,5LastGameGamesDiff,5LastGameNrOfGames,MatchesInTour,Result
22731,54.0,2007-09-28,164,0.0,3.0,1.0,1.0,1.0,0.6666666666666666,18.0,1.0,1.0,1.0,0.6666666666666666,18.0,90.0,0.0,0.25,0.3684210526315789,38.0,2.0,1.0,0.6,0.5660377358490566,53.0,265.0,0.0,0.3333333333333333,0.45454545454545453,33.0,2.0,0.0
22724,54.0,2007-09-27,164,0.0,3.0,1.0,1.0,1.0,0.6666666666666666,18.0,90.0,0.0,0.25,0.3684210526315789,38.0,2.0,1.0,0.6,0.5660377358490566,53.0,265.0,0.0,0.3333333333333333,0.45454545454545453,33.0,2.0,1.0,1.0,0.75,16.0,1.0,1.0
22721,54.0,2007-09-26,164,0.0,3.0,90.0,0.0,0.25,0.3684210526315789,38.0,2.0,1.0,0.6,0.5660377358490566,53.0,265.0,0.0,0.3333333333333333,0.45454545454545453,33.0,2.0,1.0,1.0,0.75,16.0,6.0,0.0,0.3333333333333333,0.45454545454545453,33.0,0.0,1.0
21932,36.0,2007-06-28,168,1.0,2.0,2.0,1.0,0.6,0.5660377358490566,53.0,265.0,0.0,0.3333333333333333,0.45454545454545453,33.0,2.0,1.0,1.0,0.75,16.0,6.0,0.0,0.3333333333333333,0.45454545454545453,33.0,13.0,0.0,0.0,0.43478260869565216,23.0,1.0,0.0
21900,36.0,2007-06-26,168,1.0,2.0,265.0,0.0,0.3333333333333333,0.45454545454545453,33.0,2.0,1.0,1.0,0.75,16.0,6.0,0.0,0.3333333333333333,0.45454545454545453,33.0,13.0,0.0,0.0,0.43478260869565216,23.0,2.0,1.0,1.0,0.7058823529411765,17.0,0.0,1.0
20023,58.0,2006-10-04,147,1.0,3.0,2.0,1.0,1.0,0.75,16.0,6.0,0.0,0.3333333333333333,0.45454545454545453,33.0,13.0,0.0,0.0,0.43478260869565216,23.0,2.0,1.0,1.0,0.7058823529411765,17.0,12.0,0.0,0.0,0.21739130434782608,23.0,1.0,0.0
19997,58.0,2006-10-02,147,1.0,3.0,6.0,0.0,0.3333333333333333,0.45454545454545453,33.0,13.0,0.0,0.0,0.43478260869565216,23.0,2.0,1.0,1.0,0.7058823529411765,17.0,12.0,0.0,0.0,0.21739130434782608,23.0,63.0,0.0,0.25,0.3888888888888889,36.0,0.0,1.0
19871,54.0,2006-09-26,131,0.0,3.0,13.0,0.0,0.0,0.43478260869565216,23.0,2.0,1.0,1.0,0.7058823529411765,17.0,12.0,0.0,0.0,0.21739130434782608,23.0,63.0,0.0,0.25,0.3888888888888889,36.0,1.0,1.0,1.0,0.7307692307692307,26.0,0.0,0.0
19825,52.0,2006-09-13,130,1.0,3.0,2.0,1.0,1.0,0.7058823529411765,17.0,12.0,0.0,0.0,0.21739130434782608,23.0,63.0,0.0,0.25,0.3888888888888889,36.0,1.0,1.0,1.0,0.7307692307692307,26.0,8.0,0.0,0.0,0.2,15.0,1.0,0.0
19808,52.0,2006-09-11,130,1.0,3.0,12.0,0.0,0.0,0.21739130434782608,23.0,63.0,0.0,0.25,0.3888888888888889,36.0,1.0,1.0,1.0,0.7307692307692307,26.0,8.0,0.0,0.0,0.2,15.0,4.0,0.0,0.3333333333333333,0.4,25.0,0.0,1.0
