,ATP,Date,Rank,Court,Surface,DaysOffFromMatch1,1LastGame,1LastGameDiff,1LastGameGamesDiff,1LastGameNrOfGames,DaysOffFromMatch2,2LastGame,2LastGameDiff,2LastGameGamesDiff,2LastGameNrOfGames,DaysOffFromMatch3,3LastGame,3LastGameDiff,3LastGameGamesDiff,3LastGameNrOfGames,DaysOffFromMatch4,4LastGame,4LastGameDiff,4LastGameGamesDiff,4LastGameNrOfGames,DaysOffFromMatch5,5LastGame,5LastGameDiff,5LastGameGamesDiff,5LastGameNrOfGames,MatchesInTour,Result
45931,39.0,2016-06-27,177,1.0,2.0,7.0,0.0,0.3333333333333333,0.4230769230769231,26.0,6.0,0.0,0.0,0.4,20.0,287.0,0.0,0.0,0.32142857142857145,28.0,9.0,0.0,0.3333333333333333,0.4375,32.0,32.0,0.0,0.3333333333333333,0.45714285714285713,35.0,0.0,0.0
45881,38.0,2016-06-20,177,1.0,2.0,6.0,0.0,0.0,0.4,20.0,287.0,0.0,0.0,0.32142857142857145,28.0,9.0,0.0,0.3333333333333333,0.4375,32.0,32.0,0.0,0.3333333333333333,0.45714285714285713,35.0,18.0,0.0,0.4,0.5,50.0,0.0,0.0
45853,37.0,2016-06-14,178,1.0,2.0,287.0,0.0,0.0,0.32142857142857145,28.0,9.0,0.0,0.3333333333333333,0.4375,32.0,32.0,0.0,0.3333333333333333,0.45714285714285713,35.0,18.0,0.0,0.4,0.5,50.0,2.0,1.0,0.75,0.5641025641025641,39.0,0.0,0.0
43889,52.0,2015-09-01,135,1.0,3.0,9.0,0.0,0.3333333333333333,0.4375,32.0,32.0,0.0,0.3333333333333333,0.45714285714285713,35.0,18.0,0.0,0.4,0.5,50.0,2.0,1.0,0.75,0.5641025641025641,39.0,2.0,1.0,0.75,0.6,40.0,0.0,0.0
43801,51.0,2015-08-23,134,1.0,3.0,32.0,0.0,0.3333333333333333,0.45714285714285713,35.0,18.0,0.0,0.4,0.5,50.0,2.0,1.0,0.75,0.5641025641025641,39.0,2.0,1.0,0.75,0.6,40.0,7.0,0.0,0.3333333333333333,0.48148148148148145,27.0,0.0,0.0
43483,42.0,2015-07-22,93,1.0,0.0,18.0,0.0,0.4,0.5,50.0,2.0,1.0,0.75,0.5641025641025641,39.0,2.0,1.0,0.75,0.6,40.0,7.0,0.0,0.3333333333333333,0.48148148148148145,27.0,8.0,0.0,0.3333333333333333,0.41379310344827586,29.0,0.0,0.0
43398,39.0,2015-07-04,111,1.0,2.0,2.0,1.0,0.75,0.5641025641025641,39.0,2.0,1.0,0.75,0.6,40.0,7.0,0.0,0.3333333333333333,0.48148148148148145,27.0,8.0,0.0,0.3333333333333333,0.41379310344827586,29.0,55.0,0.0,0.3333333333333333,0.4482758620689655,29.0,2.0,0.0
43372,39.0,2015-07-02,111,1.0,2.0,2.0,1.0,0.75,0.6,40.0,7.0,0.0,0.3333333333333333,0.48148148148148145,27.0,8.0,0.0,0.3333333333333333,0.41379310344827586,29.0,55.0,0.0,0.3333333333333333,0.4482758620689655,29.0,56.0,0.0,0.0,0.4,20.0,1.0,1.0
43351,39.0,2015-06-30,111,1.0,2.0,7.0,0.0,0.3333333333333333,0.48148148148148145,27.0,8.0,0.0,0.3333333333333333,0.41379310344827586,29.0,55.0,0.0,0.3333333333333333,0.4482758620689655,29.0,56.0,0.0,0.0,0.4,20.0,19.0,0.0,0.3333333333333333,0.4411764705882353,34.0,0.0,1.0
43258,38.0,2015-06-23,110,1.0,2.0,8.0,0.0,0.3333333333333333,0.41379310344827586,29.0,55.0,0.0,0.3333333333333333,0.4482758620689655,29.0,56.0,0.0,0.0,0.4,20.0,19.0,0.0,0.3333333333333333,0.4411764705882353,34.0,1.0,1.0,1.0,0.6666666666666666,18.0,0.0,0.0
