,ATP,Date,Rank,Court,Surface,DaysOffFromMatch1,1LastGame,1LastGameDiff,1LastGameGamesDiff,1LastGameNrOfGames,DaysOffFromMatch2,2LastGame,2LastGameDiff,2LastGameGamesDiff,2LastGameNrOfGames,DaysOffFromMatch3,3LastGame,3LastGameDiff,3LastGameGamesDiff,3LastGameNrOfGames,DaysOffFromMatch4,4LastGame,4LastGameDiff,4LastGameGamesDiff,4LastGameNrOfGames,DaysOffFromMatch5,5LastGame,5LastGameDiff,5LastGameGamesDiff,5LastGameNrOfGames,MatchesInTour,Result
22533,51.0,2007-08-27,139,1.0,3.0,41.0,0.0,0.0,0.14285714285714285,14.0,63.0,0.0,0.0,0.3684210526315789,19.0,11.0,0.0,0.3333333333333333,0.5161290322580645,31.0,2.0,1.0,1.0,0.5384615384615384,26.0,1.0,1.0,1.0,0.5909090909090909,22.0,0.0,0.0
22157,42.0,2007-07-17,135,1.0,0.0,63.0,0.0,0.0,0.3684210526315789,19.0,11.0,0.0,0.3333333333333333,0.5161290322580645,31.0,2.0,1.0,1.0,0.5384615384615384,26.0,1.0,1.0,1.0,0.5909090909090909,22.0,52.0,0.0,0.3333333333333333,0.4,30.0,0.0,0.0
21523,29.0,2007-05-15,112,1.0,0.0,11.0,0.0,0.3333333333333333,0.5161290322580645,31.0,2.0,1.0,1.0,0.5384615384615384,26.0,1.0,1.0,1.0,0.5909090909090909,22.0,52.0,0.0,0.3333333333333333,0.4,30.0,39.0,0.0,0.0,0.4090909090909091,22.0,0.0,0.0
21440,27.0,2007-05-04,121,1.0,0.0,2.0,1.0,1.0,0.5384615384615384,26.0,1.0,1.0,1.0,0.5909090909090909,22.0,52.0,0.0,0.3333333333333333,0.4,30.0,39.0,0.0,0.0,0.4090909090909091,22.0,14.0,0.0,0.25,0.43902439024390244,41.0,2.0,0.0
21430,27.0,2007-05-02,121,1.0,0.0,1.0,1.0,1.0,0.5909090909090909,22.0,52.0,0.0,0.3333333333333333,0.4,30.0,39.0,0.0,0.0,0.4090909090909091,22.0,14.0,0.0,0.25,0.43902439024390244,41.0,14.0,0.0,0.0,0.4090909090909091,22.0,1.0,1.0
21423,27.0,2007-05-01,121,1.0,0.0,52.0,0.0,0.3333333333333333,0.4,30.0,39.0,0.0,0.0,0.4090909090909091,22.0,14.0,0.0,0.25,0.43902439024390244,41.0,14.0,0.0,0.0,0.4090909090909091,22.0,89.0,0.0,0.3333333333333333,0.42424242424242425,33.0,0.0,1.0
21011,19.0,2007-03-10,133,1.0,3.0,39.0,0.0,0.0,0.4090909090909091,22.0,14.0,0.0,0.25,0.43902439024390244,41.0,14.0,0.0,0.0,0.4090909090909091,22.0,89.0,0.0,0.3333333333333333,0.42424242424242425,33.0,1.0,1.0,1.0,0.6,20.0,0.0,0.0
20684,9.0,2007-01-30,105,0.0,1.0,14.0,0.0,0.25,0.43902439024390244,41.0,14.0,0.0,0.0,0.4090909090909091,22.0,89.0,0.0,0.3333333333333333,0.42424242424242425,33.0,1.0,1.0,1.0,0.6,20.0,1.0,1.0,1.0,0.6,20.0,0.0,0.0
20543,6.0,2007-01-16,107,1.0,3.0,14.0,0.0,0.0,0.4090909090909091,22.0,89.0,0.0,0.3333333333333333,0.42424242424242425,33.0,1.0,1.0,1.0,0.6,20.0,1.0,1.0,1.0,0.6,20.0,6.0,0.0,0.3333333333333333,0.4444444444444444,27.0,0.0,0.0
20375,2.0,2007-01-02,108,1.0,3.0,89.0,0.0,0.3333333333333333,0.42424242424242425,33.0,1.0,1.0,1.0,0.6,20.0,1.0,1.0,1.0,0.6,20.0,6.0,0.0,0.3333333333333333,0.4444444444444444,27.0,15.0,0.0,0.3333333333333333,0.5333333333333333,30.0,0.0,0.0
20027,58.0,2006-10-05,126,1.0,3.0,1.0,1.0,1.0,0.6,20.0,1.0,1.0,1.0,0.6,20.0,6.0,0.0,0.3333333333333333,0.4444444444444444,27.0,15.0,0.0,0.3333333333333333,0.5333333333333333,30.0,15.0,0.0,0.0,0.42857142857142855,35.0,2.0,0.0
20018,58.0,2006-10-04,126,1.0,3.0,1.0,1.0,1.0,0.6,20.0,6.0,0.0,0.3333333333333333,0.4444444444444444,27.0,15.0,0.0,0.3333333333333333,0.5333333333333333,30.0,15.0,0.0,0.0,0.42857142857142855,35.0,27.0,0.0,0.0,0.43478260869565216,23.0,1.0,1.0
20009,58.0,2006-10-03,126,1.0,3.0,6.0,0.0,0.3333333333333333,0.4444444444444444,27.0,15.0,0.0,0.3333333333333333,0.5333333333333333,30.0,15.0,0.0,0.0,0.42857142857142855,35.0,27.0,0.0,0.0,0.43478260869565216,23.0,6.0,0.0,0.0,0.3333333333333333,18.0,0.0,1.0
19881,54.0,2006-09-27,114,0.0,3.0,15.0,0.0,0.3333333333333333,0.5333333333333333,30.0,15.0,0.0,0.0,0.42857142857142855,35.0,27.0,0.0,0.0,0.43478260869565216,23.0,6.0,0.0,0.0,0.3333333333333333,18.0,1.0,1.0,0.6666666666666666,0.5161290322580645,31.0,0.0,0.0
19854,53.0,2006-09-12,114,1.0,0.0,15.0,0.0,0.0,0.42857142857142855,35.0,27.0,0.0,0.0,0.43478260869565216,23.0,6.0,0.0,0.0,0.3333333333333333,18.0,1.0,1.0,0.6666666666666666,0.5161290322580645,31.0,7.0,0.0,0.3333333333333333,0.4444444444444444,27.0,0.0,0.0
19693,51.0,2006-08-28,102,1.0,3.0,27.0,0.0,0.0,0.43478260869565216,23.0,6.0,0.0,0.0,0.3333333333333333,18.0,1.0,1.0,0.6666666666666666,0.5161290322580645,31.0,7.0,0.0,0.3333333333333333,0.4444444444444444,27.0,5.0,0.0,0.0,0.25,16.0,0.0,0.0
19442,46.0,2006-08-01,102,1.0,0.0,6.0,0.0,0.0,0.3333333333333333,18.0,1.0,1.0,0.6666666666666666,0.5161290322580645,31.0,7.0,0.0,0.3333333333333333,0.4444444444444444,27.0,5.0,0.0,0.0,0.25,16.0,1.0,1.0,0.6666666666666666,0.5517241379310345,29.0,0.0,0.0
19347,43.0,2006-07-26,103,1.0,0.0,1.0,1.0,0.6666666666666666,0.5161290322580645,31.0,7.0,0.0,0.3333333333333333,0.4444444444444444,27.0,5.0,0.0,0.0,0.25,16.0,1.0,1.0,0.6666666666666666,0.5517241379310345,29.0,15.0,0.0,0.4,0.5,72.0,1.0,0.0
19332,43.0,2006-07-25,103,1.0,0.0,7.0,0.0,0.3333333333333333,0.4444444444444444,27.0,5.0,0.0,0.0,0.25,16.0,1.0,1.0,0.6666666666666666,0.5517241379310345,29.0,15.0,0.0,0.4,0.5,72.0,9.0,0.0,0.3333333333333333,0.48717948717948717,39.0,0.0,1.0
19287,42.0,2006-07-18,100,1.0,0.0,5.0,0.0,0.0,0.25,16.0,1.0,1.0,0.6666666666666666,0.5517241379310345,29.0,15.0,0.0,0.4,0.5,72.0,9.0,0.0,0.3333333333333333,0.48717948717948717,39.0,6.0,0.0,0.3333333333333333,0.48148148148148145,27.0,0.0,0.0
19124,37.0,2006-07-13,97,1.0,0.0,1.0,1.0,0.6666666666666666,0.5517241379310345,29.0,15.0,0.0,0.4,0.5,72.0,9.0,0.0,0.3333333333333333,0.48717948717948717,39.0,6.0,0.0,0.3333333333333333,0.48148148148148145,27.0,11.0,0.0,0.25,0.4444444444444444,45.0,1.0,0.0
