,ATP,Date,Rank,Court,Surface,DaysOffFromMatch1,1LastGame,1LastGameDiff,1LastGameGamesDiff,1LastGameNrOfGames,DaysOffFromMatch2,2LastGame,2LastGameDiff,2LastGameGamesDiff,2LastGameNrOfGames,DaysOffFromMatch3,3LastGame,3LastGameDiff,3LastGameGamesDiff,3LastGameNrOfGames,DaysOffFromMatch4,4LastGame,4LastGameDiff,4LastGameGamesDiff,4LastGameNrOfGames,DaysOffFromMatch5,5LastGame,5LastGameDiff,5LastGameGamesDiff,5LastGameNrOfGames,MatchesInTour,Result
18083,19.0,2006-03-10,230,1.0,3.0,192.0,0.0,0.0,0.25,24.0,186.0,0.0,0.0,0.4090909090909091,22.0,2.0,1.0,1.0,0.6,20.0,1.0,1.0,1.0,0.5652173913043478,23.0,14.0,0.0,0.0,0.35,20.0,0.0,0.0
16804,51.0,2005-08-30,205,1.0,3.0,186.0,0.0,0.0,0.4090909090909091,22.0,2.0,1.0,1.0,0.6,20.0,1.0,1.0,1.0,0.5652173913043478,23.0,14.0,0.0,0.0,0.35,20.0,6.0,0.0,0.0,0.2,15.0,0.0,0.0
15167,18.0,2005-02-25,185,1.0,3.0,2.0,1.0,1.0,0.6,20.0,1.0,1.0,1.0,0.5652173913043478,23.0,14.0,0.0,0.0,0.35,20.0,6.0,0.0,0.0,0.2,15.0,112.0,0.0,0.3333333333333333,0.4230769230769231,26.0,2.0,0.0
15159,18.0,2005-02-23,185,1.0,3.0,1.0,1.0,1.0,0.5652173913043478,23.0,14.0,0.0,0.0,0.35,20.0,6.0,0.0,0.0,0.2,15.0,112.0,0.0,0.3333333333333333,0.4230769230769231,26.0,8.0,0.0,0.0,0.3684210526315789,19.0,1.0,1.0
15147,18.0,2005-02-22,185,1.0,3.0,14.0,0.0,0.0,0.35,20.0,6.0,0.0,0.0,0.2,15.0,112.0,0.0,0.3333333333333333,0.4230769230769231,26.0,8.0,0.0,0.0,0.3684210526315789,19.0,5.0,0.0,0.3333333333333333,0.45454545454545453,33.0,0.0,1.0
14961,12.0,2005-02-08,175,0.0,3.0,6.0,0.0,0.0,0.2,15.0,112.0,0.0,0.3333333333333333,0.4230769230769231,26.0,8.0,0.0,0.0,0.3684210526315789,19.0,5.0,0.0,0.3333333333333333,0.45454545454545453,33.0,2.0,1.0,0.6666666666666666,0.5172413793103449,29.0,0.0,0.0
14814,7.0,2005-02-02,179,1.0,3.0,112.0,0.0,0.3333333333333333,0.4230769230769231,26.0,8.0,0.0,0.0,0.3684210526315789,19.0,5.0,0.0,0.3333333333333333,0.45454545454545453,33.0,2.0,1.0,0.6666666666666666,0.5172413793103449,29.0,13.0,0.0,0.0,0.3333333333333333,18.0,0.0,0.0
14297,61.0,2004-10-13,132,0.0,3.0,8.0,0.0,0.0,0.3684210526315789,19.0,5.0,0.0,0.3333333333333333,0.45454545454545453,33.0,2.0,1.0,0.6666666666666666,0.5172413793103449,29.0,13.0,0.0,0.0,0.3333333333333333,18.0,63.0,0.0,0.0,0.4090909090909091,22.0,0.0,0.0
14183,58.0,2004-10-05,127,1.0,3.0,5.0,0.0,0.3333333333333333,0.45454545454545453,33.0,2.0,1.0,0.6666666666666666,0.5172413793103449,29.0,13.0,0.0,0.0,0.3333333333333333,18.0,63.0,0.0,0.0,0.4090909090909091,22.0,2.0,1.0,0.6666666666666666,0.5333333333333333,30.0,0.0,0.0
14133,56.0,2004-09-30,128,1.0,3.0,2.0,1.0,0.6666666666666666,0.5172413793103449,29.0,13.0,0.0,0.0,0.3333333333333333,18.0,63.0,0.0,0.0,0.4090909090909091,22.0,2.0,1.0,0.6666666666666666,0.5333333333333333,30.0,4.0,0.0,0.0,0.25,16.0,1.0,0.0
14123,56.0,2004-09-28,128,1.0,3.0,13.0,0.0,0.0,0.3333333333333333,18.0,63.0,0.0,0.0,0.4090909090909091,22.0,2.0,1.0,0.6666666666666666,0.5333333333333333,30.0,4.0,0.0,0.0,0.25,16.0,1.0,1.0,1.0,0.5652173913043478,23.0,0.0,1.0
13970,51.0,2004-09-15,124,1.0,3.0,63.0,0.0,0.0,0.4090909090909091,22.0,2.0,1.0,0.6666666666666666,0.5333333333333333,30.0,4.0,0.0,0.0,0.25,16.0,1.0,1.0,1.0,0.5652173913043478,23.0,16.0,0.0,0.0,0.4,30.0,0.0,0.0
13427,40.0,2004-07-14,128,1.0,3.0,2.0,1.0,0.6666666666666666,0.5333333333333333,30.0,4.0,0.0,0.0,0.25,16.0,1.0,1.0,1.0,0.5652173913043478,23.0,16.0,0.0,0.0,0.4,30.0,99.0,0.0,0.0,0.4,20.0,1.0,0.0
13413,40.0,2004-07-12,128,1.0,3.0,4.0,0.0,0.0,0.25,16.0,1.0,1.0,1.0,0.5652173913043478,23.0,16.0,0.0,0.0,0.4,30.0,99.0,0.0,0.0,0.4,20.0,1.0,1.0,0.6666666666666666,0.5333333333333333,30.0,0.0,1.0
13368,38.0,2004-07-08,132,1.0,2.0,1.0,1.0,1.0,0.5652173913043478,23.0,16.0,0.0,0.0,0.4,30.0,99.0,0.0,0.0,0.4,20.0,1.0,1.0,0.6666666666666666,0.5333333333333333,30.0,51.0,0.0,0.0,0.35714285714285715,28.0,1.0,0.0
13360,38.0,2004-07-07,132,1.0,2.0,16.0,0.0,0.0,0.4,30.0,99.0,0.0,0.0,0.4,20.0,1.0,1.0,0.6666666666666666,0.5333333333333333,30.0,51.0,0.0,0.0,0.35714285714285715,28.0,2.0,1.0,0.6,0.5098039215686274,51.0,0.0,1.0
13161,35.0,2004-06-21,141,1.0,2.0,99.0,0.0,0.0,0.4,20.0,1.0,1.0,0.6666666666666666,0.5333333333333333,30.0,51.0,0.0,0.0,0.35714285714285715,28.0,2.0,1.0,0.6,0.5098039215686274,51.0,113.0,0.0,0.0,0.3333333333333333,18.0,0.0,0.0
