,ATP,Date,Rank,Court,Surface,DaysOffFromMatch1,1LastGame,1LastGameDiff,1LastGameGamesDiff,1LastGameNrOfGames,DaysOffFromMatch2,2LastGame,2LastGameDiff,2LastGameGamesDiff,2LastGameNrOfGames,DaysOffFromMatch3,3LastGame,3LastGameDiff,3LastGameGamesDiff,3LastGameNrOfGames,DaysOffFromMatch4,4LastGame,4LastGameDiff,4LastGameGamesDiff,4LastGameNrOfGames,DaysOffFromMatch5,5LastGame,5LastGameDiff,5LastGameGamesDiff,5LastGameNrOfGames,MatchesInTour,Result
41781,1.0,2015-01-06,220,1.0,3.0,274.0,0.0,0.0,0.2,15.0,31.0,0.0,0.0,0.44,25.0,13.0,0.0,0.3333333333333333,0.4074074074074074,27.0,1.0,1.0,0.6666666666666666,0.5806451612903226,31.0,3.0,1.0,1.0,0.7692307692307693,13.0,0.0,0.0
40003,22.0,2014-04-07,153,1.0,0.0,31.0,0.0,0.0,0.44,25.0,13.0,0.0,0.3333333333333333,0.4074074074074074,27.0,1.0,1.0,0.6666666666666666,0.5806451612903226,31.0,3.0,1.0,1.0,0.7692307692307693,13.0,35.0,0.0,0.25,0.42857142857142855,42.0,0.0,0.0
39797,19.0,2014-03-07,153,1.0,3.0,13.0,0.0,0.3333333333333333,0.4074074074074074,27.0,1.0,1.0,0.6666666666666666,0.5806451612903226,31.0,3.0,1.0,1.0,0.7692307692307693,13.0,35.0,0.0,0.25,0.42857142857142855,42.0,141.0,0.0,0.4,0.45454545454545453,44.0,0.0,0.0
39635,13.0,2014-02-22,146,1.0,3.0,1.0,1.0,0.6666666666666666,0.5806451612903226,31.0,3.0,1.0,1.0,0.7692307692307693,13.0,35.0,0.0,0.25,0.42857142857142855,42.0,141.0,0.0,0.4,0.45454545454545453,44.0,7.0,0.0,0.0,0.3157894736842105,19.0,2.0,0.0
39631,13.0,2014-02-21,146,1.0,3.0,3.0,1.0,1.0,0.7692307692307693,13.0,35.0,0.0,0.25,0.42857142857142855,42.0,141.0,0.0,0.4,0.45454545454545453,44.0,7.0,0.0,0.0,0.3157894736842105,19.0,21.0,0.0,0.0,0.3157894736842105,19.0,1.0,1.0
39620,13.0,2014-02-18,146,1.0,3.0,35.0,0.0,0.25,0.42857142857142855,42.0,141.0,0.0,0.4,0.45454545454545453,44.0,7.0,0.0,0.0,0.3157894736842105,19.0,21.0,0.0,0.0,0.3157894736842105,19.0,5.0,0.0,0.0,0.43478260869565216,23.0,0.0,1.0
39364,6.0,2014-01-14,130,1.0,3.0,141.0,0.0,0.4,0.45454545454545453,44.0,7.0,0.0,0.0,0.3157894736842105,19.0,21.0,0.0,0.0,0.3157894736842105,19.0,5.0,0.0,0.0,0.43478260869565216,23.0,1.0,1.0,1.0,0.5909090909090909,22.0,0.0,0.0
38618,51.0,2013-08-26,115,1.0,3.0,7.0,0.0,0.0,0.3157894736842105,19.0,21.0,0.0,0.0,0.3157894736842105,19.0,5.0,0.0,0.0,0.43478260869565216,23.0,1.0,1.0,1.0,0.5909090909090909,22.0,14.0,0.0,0.0,0.3333333333333333,18.0,0.0,0.0
38576,50.0,2013-08-19,114,1.0,3.0,21.0,0.0,0.0,0.3157894736842105,19.0,5.0,0.0,0.0,0.43478260869565216,23.0,1.0,1.0,1.0,0.5909090909090909,22.0,14.0,0.0,0.0,0.3333333333333333,18.0,28.0,0.0,0.0,0.29411764705882354,17.0,0.0,0.0
38407,47.0,2013-07-29,116,1.0,3.0,5.0,0.0,0.0,0.43478260869565216,23.0,1.0,1.0,1.0,0.5909090909090909,22.0,14.0,0.0,0.0,0.3333333333333333,18.0,28.0,0.0,0.0,0.29411764705882354,17.0,15.0,0.0,0.25,0.43478260869565216,46.0,0.0,0.0
38311,43.0,2013-07-24,121,1.0,3.0,1.0,1.0,1.0,0.5909090909090909,22.0,14.0,0.0,0.0,0.3333333333333333,18.0,28.0,0.0,0.0,0.29411764705882354,17.0,15.0,0.0,0.25,0.43478260869565216,46.0,44.0,0.0,0.0,0.2,15.0,1.0,0.0
38300,43.0,2013-07-23,121,1.0,3.0,14.0,0.0,0.0,0.3333333333333333,18.0,28.0,0.0,0.0,0.29411764705882354,17.0,15.0,0.0,0.25,0.43478260869565216,46.0,44.0,0.0,0.0,0.2,15.0,1.0,1.0,0.6666666666666666,0.4666666666666667,30.0,0.0,1.0
38182,39.0,2013-07-09,129,1.0,2.0,28.0,0.0,0.0,0.29411764705882354,17.0,15.0,0.0,0.25,0.43478260869565216,46.0,44.0,0.0,0.0,0.2,15.0,1.0,1.0,0.6666666666666666,0.4666666666666667,30.0,1.0,1.0,0.6666666666666666,0.5277777777777778,36.0,0.0,0.0
37920,34.0,2013-06-11,127,1.0,2.0,15.0,0.0,0.25,0.43478260869565216,46.0,44.0,0.0,0.0,0.2,15.0,1.0,1.0,0.6666666666666666,0.4666666666666667,30.0,1.0,1.0,0.6666666666666666,0.5277777777777778,36.0,3.0,1.0,1.0,0.5833333333333334,24.0,0.0,0.0
37788,32.0,2013-05-27,121,1.0,0.0,44.0,0.0,0.0,0.2,15.0,1.0,1.0,0.6666666666666666,0.4666666666666667,30.0,1.0,1.0,0.6666666666666666,0.5277777777777778,36.0,3.0,1.0,1.0,0.5833333333333334,24.0,18.0,0.0,0.0,0.3333333333333333,18.0,0.0,0.0
37396,22.0,2013-04-13,144,1.0,0.0,1.0,1.0,0.6666666666666666,0.4666666666666667,30.0,1.0,1.0,0.6666666666666666,0.5277777777777778,36.0,3.0,1.0,1.0,0.5833333333333334,24.0,18.0,0.0,0.0,0.3333333333333333,18.0,28.0,0.0,0.3333333333333333,0.4666666666666667,30.0,3.0,0.0
37392,22.0,2013-04-12,144,1.0,0.0,1.0,1.0,0.6666666666666666,0.5277777777777778,36.0,3.0,1.0,1.0,0.5833333333333334,24.0,18.0,0.0,0.0,0.3333333333333333,18.0,28.0,0.0,0.3333333333333333,0.4666666666666667,30.0,3.0,1.0,1.0,0.5652173913043478,23.0,2.0,1.0
37385,22.0,2013-04-11,144,1.0,0.0,3.0,1.0,1.0,0.5833333333333334,24.0,18.0,0.0,0.0,0.3333333333333333,18.0,28.0,0.0,0.3333333333333333,0.4666666666666667,30.0,3.0,1.0,1.0,0.5652173913043478,23.0,34.0,0.0,0.4,0.4666666666666667,45.0,1.0,1.0
37372,22.0,2013-04-08,144,1.0,0.0,18.0,0.0,0.0,0.3333333333333333,18.0,28.0,0.0,0.3333333333333333,0.4666666666666667,30.0,3.0,1.0,1.0,0.5652173913043478,23.0,34.0,0.0,0.4,0.4666666666666667,45.0,140.0,0.0,0.0,0.3793103448275862,29.0,0.0,1.0
37272,20.0,2013-03-21,146,1.0,3.0,28.0,0.0,0.3333333333333333,0.4666666666666667,30.0,3.0,1.0,1.0,0.5652173913043478,23.0,34.0,0.0,0.4,0.4666666666666667,45.0,140.0,0.0,0.0,0.3793103448275862,29.0,172.0,0.0,0.3333333333333333,0.4375,32.0,0.0,0.0
