,ATP,Date,Rank,Court,Surface,DaysOffFromMatch1,1LastGame,1LastGameDiff,1LastGameGamesDiff,1LastGameNrOfGames,DaysOffFromMatch2,2LastGame,2LastGameDiff,2LastGameGamesDiff,2LastGameNrOfGames,DaysOffFromMatch3,3LastGame,3LastGameDiff,3LastGameGamesDiff,3LastGameNrOfGames,DaysOffFromMatch4,4LastGame,4LastGameDiff,4LastGameGamesDiff,4LastGameNrOfGames,DaysOffFromMatch5,5LastGame,5LastGameDiff,5LastGameGamesDiff,5LastGameNrOfGames,MatchesInTour,Result
6525,17.0,2002-03-04,156,1.0,3.0,189.0,0.0,0.0,0.42857142857142855,35.0,0.0,1.0,0.75,0.65625,32.0,14.0,0.0,0.0,0.4090909090909091,22.0,0.0,1.0,1.0,0.6190476190476191,21.0,7.0,0.0,0.0,0.3333333333333333,18.0,0.0,0.0
5328,53.0,2001-08-27,90,1.0,3.0,0.0,1.0,0.75,0.65625,32.0,14.0,0.0,0.0,0.4090909090909091,22.0,0.0,1.0,1.0,0.6190476190476191,21.0,7.0,0.0,0.0,0.3333333333333333,18.0,7.0,0.0,0.0,0.35,20.0,1.0,0.0
5324,53.0,2001-08-27,90,1.0,3.0,14.0,0.0,0.0,0.4090909090909091,22.0,0.0,1.0,1.0,0.6190476190476191,21.0,7.0,0.0,0.0,0.3333333333333333,18.0,7.0,0.0,0.0,0.35,20.0,7.0,0.0,0.0,0.35,20.0,0.0,1.0
5155,50.0,2001-08-13,90,1.0,3.0,0.0,1.0,1.0,0.6190476190476191,21.0,7.0,0.0,0.0,0.3333333333333333,18.0,7.0,0.0,0.0,0.35,20.0,7.0,0.0,0.0,0.35,20.0,28.0,0.0,0.0,0.35714285714285715,28.0,1.0,0.0
5144,50.0,2001-08-13,90,1.0,3.0,7.0,0.0,0.0,0.3333333333333333,18.0,7.0,0.0,0.0,0.35,20.0,7.0,0.0,0.0,0.35,20.0,28.0,0.0,0.0,0.35714285714285715,28.0,0.0,1.0,0.6,0.5510204081632653,49.0,0.0,1.0
5068,49.0,2001-08-06,90,1.0,3.0,7.0,0.0,0.0,0.35,20.0,7.0,0.0,0.0,0.35,20.0,28.0,0.0,0.0,0.35714285714285715,28.0,0.0,1.0,0.6,0.5510204081632653,49.0,14.0,0.0,0.0,0.3333333333333333,18.0,0.0,0.0
5011,48.0,2001-07-30,91,1.0,3.0,7.0,0.0,0.0,0.35,20.0,28.0,0.0,0.0,0.35714285714285715,28.0,0.0,1.0,0.6,0.5510204081632653,49.0,14.0,0.0,0.0,0.3333333333333333,18.0,14.0,0.0,0.0,0.3333333333333333,27.0,0.0,0.0
4948,46.0,2001-07-23,93,1.0,3.0,28.0,0.0,0.0,0.35714285714285715,28.0,0.0,1.0,0.6,0.5510204081632653,49.0,14.0,0.0,0.0,0.3333333333333333,18.0,14.0,0.0,0.0,0.3333333333333333,27.0,28.0,0.0,0.0,0.38095238095238093,21.0,0.0,0.0
4639,38.0,2001-06-25,97,1.0,2.0,0.0,1.0,0.6,0.5510204081632653,49.0,14.0,0.0,0.0,0.3333333333333333,18.0,14.0,0.0,0.0,0.3333333333333333,27.0,28.0,0.0,0.0,0.38095238095238093,21.0,7.0,0.0,0.0,0.29411764705882354,17.0,1.0,0.0
4620,38.0,2001-06-25,97,1.0,2.0,14.0,0.0,0.0,0.3333333333333333,18.0,14.0,0.0,0.0,0.3333333333333333,27.0,28.0,0.0,0.0,0.38095238095238093,21.0,7.0,0.0,0.0,0.29411764705882354,17.0,35.0,0.0,0.3333333333333333,0.36,25.0,0.0,1.0
4453,35.0,2001-06-11,97,1.0,2.0,14.0,0.0,0.0,0.3333333333333333,27.0,28.0,0.0,0.0,0.38095238095238093,21.0,7.0,0.0,0.0,0.29411764705882354,17.0,35.0,0.0,0.3333333333333333,0.36,25.0,0.0,1.0,1.0,0.5909090909090909,22.0,0.0,0.0
4324,33.0,2001-05-28,96,1.0,0.0,28.0,0.0,0.0,0.38095238095238093,21.0,7.0,0.0,0.0,0.29411764705882354,17.0,35.0,0.0,0.3333333333333333,0.36,25.0,0.0,1.0,1.0,0.5909090909090909,22.0,7.0,0.0,0.0,0.29411764705882354,17.0,0.0,0.0
4042,27.0,2001-04-30,93,1.0,0.0,7.0,0.0,0.0,0.29411764705882354,17.0,35.0,0.0,0.3333333333333333,0.36,25.0,0.0,1.0,1.0,0.5909090909090909,22.0,7.0,0.0,0.0,0.29411764705882354,17.0,7.0,0.0,0.3333333333333333,0.4857142857142857,35.0,0.0,0.0
3952,25.0,2001-04-23,93,1.0,0.0,35.0,0.0,0.3333333333333333,0.36,25.0,0.0,1.0,1.0,0.5909090909090909,22.0,7.0,0.0,0.0,0.29411764705882354,17.0,7.0,0.0,0.3333333333333333,0.4857142857142857,35.0,0.0,1.0,1.0,0.7058823529411765,17.0,0.0,0.0
3776,21.0,2001-03-19,87,1.0,3.0,0.0,1.0,1.0,0.5909090909090909,22.0,7.0,0.0,0.0,0.29411764705882354,17.0,7.0,0.0,0.3333333333333333,0.4857142857142857,35.0,0.0,1.0,1.0,0.7058823529411765,17.0,0.0,1.0,0.6666666666666666,0.53125,32.0,1.0,0.0
3758,21.0,2001-03-19,87,1.0,3.0,7.0,0.0,0.0,0.29411764705882354,17.0,7.0,0.0,0.3333333333333333,0.4857142857142857,35.0,0.0,1.0,1.0,0.7058823529411765,17.0,0.0,1.0,0.6666666666666666,0.53125,32.0,7.0,0.0,0.0,0.4,20.0,0.0,1.0
3695,20.0,2001-03-12,89,1.0,3.0,7.0,0.0,0.3333333333333333,0.4857142857142857,35.0,0.0,1.0,1.0,0.7058823529411765,17.0,0.0,1.0,0.6666666666666666,0.53125,32.0,7.0,0.0,0.0,0.4,20.0,7.0,0.0,0.3333333333333333,0.4230769230769231,26.0,0.0,0.0
3627,18.0,2001-03-05,93,1.0,3.0,0.0,1.0,1.0,0.7058823529411765,17.0,0.0,1.0,0.6666666666666666,0.53125,32.0,7.0,0.0,0.0,0.4,20.0,7.0,0.0,0.3333333333333333,0.4230769230769231,26.0,0.0,1.0,1.0,0.5909090909090909,22.0,2.0,0.0
