,ATP,Date,Rank,Court,Surface,DaysOffFromMatch1,1LastGame,1LastGameDiff,1LastGameGamesDiff,1LastGameNrOfGames,DaysOffFromMatch2,2LastGame,2LastGameDiff,2LastGameGamesDiff,2LastGameNrOfGames,DaysOffFromMatch3,3LastGame,3LastGameDiff,3LastGameGamesDiff,3LastGameNrOfGames,DaysOffFromMatch4,4LastGame,4LastGameDiff,4LastGameGamesDiff,4LastGameNrOfGames,DaysOffFromMatch5,5LastGame,5LastGameDiff,5LastGameGamesDiff,5LastGameNrOfGames,MatchesInTour,Result
46153,43.0,2016-07-22,157,1.0,0.0,2.0,1.0,0.6666666666666666,0.48484848484848486,33.0,2.0,1.0,0.6666666666666666,0.48484848484848486,33.0,6.0,0.0,0.0,0.3333333333333333,18.0,77.0,0.0,0.0,0.4090909090909091,22.0,7.0,0.0,0.3333333333333333,0.4375,32.0,2.0,0.0
46145,43.0,2016-07-20,157,1.0,0.0,2.0,1.0,0.6666666666666666,0.48484848484848486,33.0,6.0,0.0,0.0,0.3333333333333333,18.0,77.0,0.0,0.0,0.4090909090909091,22.0,7.0,0.0,0.3333333333333333,0.4375,32.0,26.0,0.0,0.3333333333333333,0.38461538461538464,26.0,1.0,1.0
46132,43.0,2016-07-18,157,1.0,0.0,6.0,0.0,0.0,0.3333333333333333,18.0,77.0,0.0,0.0,0.4090909090909091,22.0,7.0,0.0,0.3333333333333333,0.4375,32.0,26.0,0.0,0.3333333333333333,0.38461538461538464,26.0,51.0,0.0,0.0,0.29411764705882354,17.0,0.0,1.0
46053,40.0,2016-07-12,155,1.0,0.0,77.0,0.0,0.0,0.4090909090909091,22.0,7.0,0.0,0.3333333333333333,0.4375,32.0,26.0,0.0,0.3333333333333333,0.38461538461538464,26.0,51.0,0.0,0.0,0.29411764705882354,17.0,155.0,0.0,0.0,0.28,25.0,0.0,0.0
45395,26.0,2016-04-26,132,1.0,0.0,7.0,0.0,0.3333333333333333,0.4375,32.0,26.0,0.0,0.3333333333333333,0.38461538461538464,26.0,51.0,0.0,0.0,0.29411764705882354,17.0,155.0,0.0,0.0,0.28,25.0,41.0,0.0,0.0,0.3333333333333333,18.0,0.0,0.0
45325,24.0,2016-04-19,123,1.0,0.0,26.0,0.0,0.3333333333333333,0.38461538461538464,26.0,51.0,0.0,0.0,0.29411764705882354,17.0,155.0,0.0,0.0,0.28,25.0,41.0,0.0,0.0,0.3333333333333333,18.0,21.0,0.0,0.25,0.4318181818181818,44.0,0.0,0.0
45137,20.0,2016-03-24,142,1.0,3.0,51.0,0.0,0.0,0.29411764705882354,17.0,155.0,0.0,0.0,0.28,25.0,41.0,0.0,0.0,0.3333333333333333,18.0,21.0,0.0,0.25,0.4318181818181818,44.0,37.0,0.0,0.0,0.36666666666666664,30.0,0.0,0.0
44673,7.0,2016-02-02,155,0.0,3.0,155.0,0.0,0.0,0.28,25.0,41.0,0.0,0.0,0.3333333333333333,18.0,21.0,0.0,0.25,0.4318181818181818,44.0,37.0,0.0,0.0,0.36666666666666664,30.0,31.0,0.0,0.0,0.3684210526315789,19.0,0.0,0.0
43872,52.0,2015-08-31,144,1.0,3.0,41.0,0.0,0.0,0.3333333333333333,18.0,21.0,0.0,0.25,0.4318181818181818,44.0,37.0,0.0,0.0,0.36666666666666664,30.0,31.0,0.0,0.0,0.3684210526315789,19.0,1.0,1.0,0.6666666666666666,0.48484848484848486,33.0,0.0,0.0
43453,41.0,2015-07-21,133,1.0,0.0,21.0,0.0,0.25,0.4318181818181818,44.0,37.0,0.0,0.0,0.36666666666666664,30.0,31.0,0.0,0.0,0.3684210526315789,19.0,1.0,1.0,0.6666666666666666,0.48484848484848486,33.0,2.0,1.0,0.6666666666666666,0.5428571428571428,35.0,0.0,0.0
43328,39.0,2015-06-30,133,1.0,2.0,37.0,0.0,0.0,0.36666666666666664,30.0,31.0,0.0,0.0,0.3684210526315789,19.0,1.0,1.0,0.6666666666666666,0.48484848484848486,33.0,2.0,1.0,0.6666666666666666,0.5428571428571428,35.0,63.0,0.0,0.0,0.3684210526315789,19.0,0.0,0.0
43003,33.0,2015-05-24,175,1.0,0.0,31.0,0.0,0.0,0.3684210526315789,19.0,1.0,1.0,0.6666666666666666,0.48484848484848486,33.0,2.0,1.0,0.6666666666666666,0.5428571428571428,35.0,63.0,0.0,0.0,0.3684210526315789,19.0,27.0,0.0,0.4,0.4888888888888889,45.0,0.0,0.0
42716,24.0,2015-04-23,204,1.0,0.0,1.0,1.0,0.6666666666666666,0.48484848484848486,33.0,2.0,1.0,0.6666666666666666,0.5428571428571428,35.0,63.0,0.0,0.0,0.3684210526315789,19.0,27.0,0.0,0.4,0.4888888888888889,45.0,13.0,0.0,0.0,0.3684210526315789,19.0,2.0,0.0
