,ATP,Date,Rank,Court,Surface,DaysOffFromMatch1,1LastGame,1LastGameDiff,1LastGameGamesDiff,1LastGameNrOfGames,DaysOffFromMatch2,2LastGame,2LastGameDiff,2LastGameGamesDiff,2LastGameNrOfGames,DaysOffFromMatch3,3LastGame,3LastGameDiff,3LastGameGamesDiff,3LastGameNrOfGames,DaysOffFromMatch4,4LastGame,4LastGameDiff,4LastGameGamesDiff,4LastGameNrOfGames,DaysOffFromMatch5,5LastGame,5LastGameDiff,5LastGameGamesDiff,5LastGameNrOfGames,MatchesInTour,Result
46566,52.0,2016-09-02,56,1.0,3.0,3.0,1.0,0.75,0.5581395348837209,43.0,7.0,0.0,0.3333333333333333,0.4666666666666667,30.0,1.0,1.0,1.0,0.7058823529411765,17.0,17.0,0.0,0.0,0.4,20.0,2.0,1.0,0.6666666666666666,0.53125,32.0,1.0,0.0
46525,52.0,2016-08-30,56,1.0,3.0,7.0,0.0,0.3333333333333333,0.4666666666666667,30.0,1.0,1.0,1.0,0.7058823529411765,17.0,17.0,0.0,0.0,0.4,20.0,2.0,1.0,0.6666666666666666,0.53125,32.0,2.0,1.0,0.6666666666666666,0.5,34.0,0.0,1.0
46448,51.0,2016-08-23,57,1.0,3.0,1.0,1.0,1.0,0.7058823529411765,17.0,17.0,0.0,0.0,0.4,20.0,2.0,1.0,0.6666666666666666,0.53125,32.0,2.0,1.0,0.6666666666666666,0.5,34.0,5.0,0.0,0.0,0.3684210526315789,19.0,1.0,0.0
46429,51.0,2016-08-22,57,1.0,3.0,17.0,0.0,0.0,0.4,20.0,2.0,1.0,0.6666666666666666,0.53125,32.0,2.0,1.0,0.6666666666666666,0.5,34.0,5.0,0.0,0.0,0.3684210526315789,19.0,1.0,1.0,1.0,0.5652173913043478,23.0,0.0,1.0
46337,48.0,2016-08-05,53,1.0,3.0,2.0,1.0,0.6666666666666666,0.53125,32.0,2.0,1.0,0.6666666666666666,0.5,34.0,5.0,0.0,0.0,0.3684210526315789,19.0,1.0,1.0,1.0,0.5652173913043478,23.0,5.0,0.0,0.0,0.4090909090909091,22.0,2.0,0.0
46328,48.0,2016-08-03,53,1.0,3.0,2.0,1.0,0.6666666666666666,0.5,34.0,5.0,0.0,0.0,0.3684210526315789,19.0,1.0,1.0,1.0,0.5652173913043478,23.0,5.0,0.0,0.0,0.4090909090909091,22.0,2.0,1.0,0.6666666666666666,0.5357142857142857,28.0,1.0,1.0
46318,48.0,2016-08-01,53,1.0,3.0,5.0,0.0,0.0,0.3684210526315789,19.0,1.0,1.0,1.0,0.5652173913043478,23.0,5.0,0.0,0.0,0.4090909090909091,22.0,2.0,1.0,0.6666666666666666,0.5357142857142857,28.0,3.0,0.0,0.0,0.3684210526315789,19.0,0.0,1.0
46296,47.0,2016-07-27,57,1.0,3.0,1.0,1.0,1.0,0.5652173913043478,23.0,5.0,0.0,0.0,0.4090909090909091,22.0,2.0,1.0,0.6666666666666666,0.5357142857142857,28.0,3.0,0.0,0.0,0.3684210526315789,19.0,1.0,1.0,1.0,0.7058823529411765,17.0,1.0,0.0
46280,47.0,2016-07-26,57,1.0,3.0,5.0,0.0,0.0,0.4090909090909091,22.0,2.0,1.0,0.6666666666666666,0.5357142857142857,28.0,3.0,0.0,0.0,0.3684210526315789,19.0,1.0,1.0,1.0,0.7058823529411765,17.0,2.0,1.0,1.0,0.75,16.0,0.0,1.0
46243,46.0,2016-07-21,57,1.0,3.0,2.0,1.0,0.6666666666666666,0.5357142857142857,28.0,3.0,0.0,0.0,0.3684210526315789,19.0,1.0,1.0,1.0,0.7058823529411765,17.0,2.0,1.0,1.0,0.75,16.0,2.0,1.0,1.0,0.75,16.0,1.0,0.0
46226,46.0,2016-07-19,57,1.0,3.0,3.0,0.0,0.0,0.3684210526315789,19.0,1.0,1.0,1.0,0.7058823529411765,17.0,2.0,1.0,1.0,0.75,16.0,2.0,1.0,1.0,0.75,16.0,10.0,0.0,0.0,0.35714285714285715,28.0,0.0,1.0
46129,42.0,2016-07-16,61,1.0,2.0,1.0,1.0,1.0,0.7058823529411765,17.0,2.0,1.0,1.0,0.75,16.0,2.0,1.0,1.0,0.75,16.0,10.0,0.0,0.0,0.35714285714285715,28.0,1.0,1.0,0.75,0.55,40.0,3.0,0.0
46127,42.0,2016-07-15,61,1.0,2.0,2.0,1.0,1.0,0.75,16.0,2.0,1.0,1.0,0.75,16.0,10.0,0.0,0.0,0.35714285714285715,28.0,1.0,1.0,0.75,0.55,40.0,13.0,0.0,0.0,0.3333333333333333,18.0,2.0,1.0
46121,42.0,2016-07-13,61,1.0,2.0,2.0,1.0,1.0,0.75,16.0,10.0,0.0,0.0,0.35714285714285715,28.0,1.0,1.0,0.75,0.55,40.0,13.0,0.0,0.0,0.3333333333333333,18.0,3.0,1.0,1.0,0.631578947368421,19.0,1.0,1.0
46107,42.0,2016-07-11,61,1.0,2.0,10.0,0.0,0.0,0.35714285714285715,28.0,1.0,1.0,0.75,0.55,40.0,13.0,0.0,0.0,0.3333333333333333,18.0,3.0,1.0,1.0,0.631578947368421,19.0,23.0,0.0,0.0,0.36666666666666664,30.0,0.0,1.0
46012,39.0,2016-07-01,69,1.0,2.0,1.0,1.0,0.75,0.55,40.0,13.0,0.0,0.0,0.3333333333333333,18.0,3.0,1.0,1.0,0.631578947368421,19.0,23.0,0.0,0.0,0.36666666666666664,30.0,5.0,0.0,0.0,0.2,15.0,1.0,0.0
45982,39.0,2016-06-30,69,1.0,2.0,13.0,0.0,0.0,0.3333333333333333,18.0,3.0,1.0,1.0,0.631578947368421,19.0,23.0,0.0,0.0,0.36666666666666664,30.0,5.0,0.0,0.0,0.2,15.0,1.0,1.0,0.6666666666666666,0.5714285714285714,28.0,0.0,1.0
45865,37.0,2016-06-17,75,1.0,2.0,3.0,1.0,1.0,0.631578947368421,19.0,23.0,0.0,0.0,0.36666666666666664,30.0,5.0,0.0,0.0,0.2,15.0,1.0,1.0,0.6666666666666666,0.5714285714285714,28.0,39.0,0.0,0.0,0.3333333333333333,18.0,1.0,0.0
45847,37.0,2016-06-14,75,1.0,2.0,23.0,0.0,0.0,0.36666666666666664,30.0,5.0,0.0,0.0,0.2,15.0,1.0,1.0,0.6666666666666666,0.5714285714285714,28.0,39.0,0.0,0.0,0.3333333333333333,18.0,2.0,1.0,1.0,0.631578947368421,19.0,0.0,1.0
45633,33.0,2016-05-22,76,1.0,0.0,5.0,0.0,0.0,0.2,15.0,1.0,1.0,0.6666666666666666,0.5714285714285714,28.0,39.0,0.0,0.0,0.3333333333333333,18.0,2.0,1.0,1.0,0.631578947368421,19.0,12.0,0.0,0.0,0.25,16.0,0.0,0.0
45617,32.0,2016-05-17,82,1.0,0.0,1.0,1.0,0.6666666666666666,0.5714285714285714,28.0,39.0,0.0,0.0,0.3333333333333333,18.0,2.0,1.0,1.0,0.631578947368421,19.0,12.0,0.0,0.0,0.25,16.0,12.0,0.0,0.3333333333333333,0.4482758620689655,29.0,1.0,0.0
45609,32.0,2016-05-16,82,1.0,0.0,39.0,0.0,0.0,0.3333333333333333,18.0,2.0,1.0,1.0,0.631578947368421,19.0,12.0,0.0,0.0,0.25,16.0,12.0,0.0,0.3333333333333333,0.4482758620689655,29.0,16.0,0.0,0.0,0.3684210526315789,19.0,0.0,1.0
45218,21.0,2016-04-07,85,1.0,0.0,2.0,1.0,1.0,0.631578947368421,19.0,12.0,0.0,0.0,0.25,16.0,12.0,0.0,0.3333333333333333,0.4482758620689655,29.0,16.0,0.0,0.0,0.3684210526315789,19.0,3.0,1.0,1.0,0.6666666666666666,18.0,1.0,0.0
45207,21.0,2016-04-05,85,1.0,0.0,12.0,0.0,0.0,0.25,16.0,12.0,0.0,0.3333333333333333,0.4482758620689655,29.0,16.0,0.0,0.0,0.3684210526315789,19.0,3.0,1.0,1.0,0.6666666666666666,18.0,4.0,0.0,0.3333333333333333,0.5,28.0,0.0,1.0
45124,20.0,2016-03-24,80,1.0,3.0,12.0,0.0,0.3333333333333333,0.4482758620689655,29.0,16.0,0.0,0.0,0.3684210526315789,19.0,3.0,1.0,1.0,0.6666666666666666,18.0,4.0,0.0,0.3333333333333333,0.5,28.0,2.0,1.0,1.0,0.625,16.0,0.0,0.0
45043,19.0,2016-03-12,75,1.0,3.0,16.0,0.0,0.0,0.3684210526315789,19.0,3.0,1.0,1.0,0.6666666666666666,18.0,4.0,0.0,0.3333333333333333,0.5,28.0,2.0,1.0,1.0,0.625,16.0,4.0,0.0,0.0,0.35,20.0,0.0,0.0
44943,16.0,2016-02-25,79,1.0,3.0,3.0,1.0,1.0,0.6666666666666666,18.0,4.0,0.0,0.3333333333333333,0.5,28.0,2.0,1.0,1.0,0.625,16.0,4.0,0.0,0.0,0.35,20.0,1.0,1.0,1.0,0.65,20.0,1.0,0.0
44924,16.0,2016-02-22,79,1.0,3.0,4.0,0.0,0.3333333333333333,0.5,28.0,2.0,1.0,1.0,0.625,16.0,4.0,0.0,0.0,0.35,20.0,1.0,1.0,1.0,0.65,20.0,23.0,0.0,0.25,0.4411764705882353,34.0,0.0,1.0
44854,13.0,2016-02-18,58,1.0,3.0,2.0,1.0,1.0,0.625,16.0,4.0,0.0,0.0,0.35,20.0,1.0,1.0,1.0,0.65,20.0,23.0,0.0,0.25,0.4411764705882353,34.0,6.0,0.0,0.0,0.43478260869565216,23.0,1.0,0.0
44846,13.0,2016-02-16,58,1.0,3.0,4.0,0.0,0.0,0.35,20.0,1.0,1.0,1.0,0.65,20.0,23.0,0.0,0.25,0.4411764705882353,34.0,6.0,0.0,0.0,0.43478260869565216,23.0,3.0,1.0,1.0,0.7058823529411765,17.0,0.0,1.0
