,ATP,Date,Rank,Court,Surface,DaysOffFromMatch1,1LastGame,1LastGameDiff,1LastGameGamesDiff,1LastGameNrOfGames,DaysOffFromMatch2,2LastGame,2LastGameDiff,2LastGameGamesDiff,2LastGameNrOfGames,DaysOffFromMatch3,3LastGame,3LastGameDiff,3LastGameGamesDiff,3LastGameNrOfGames,DaysOffFromMatch4,4LastGame,4LastGameDiff,4LastGameGamesDiff,4LastGameNrOfGames,DaysOffFromMatch5,5LastGame,5LastGameDiff,5LastGameGamesDiff,5LastGameNrOfGames,MatchesInTour,Result
46647,54.0,2016-09-23,53,0.0,3.0,1.0,1.0,0.6666666666666666,0.4838709677419355,31.0,1.0,1.0,1.0,0.6190476190476191,21.0,19.0,0.0,0.0,0.3333333333333333,6.0,2.0,1.0,1.0,0.6785714285714286,28.0,2.0,1.0,1.0,0.8181818181818182,22.0,2.0,0.0
46644,54.0,2016-09-22,53,0.0,3.0,1.0,1.0,1.0,0.6190476190476191,21.0,19.0,0.0,0.0,0.3333333333333333,6.0,2.0,1.0,1.0,0.6785714285714286,28.0,2.0,1.0,1.0,0.8181818181818182,22.0,6.0,0.0,0.0,0.0,0.0,1.0,1.0
46634,54.0,2016-09-21,53,0.0,3.0,19.0,0.0,0.0,0.3333333333333333,6.0,2.0,1.0,1.0,0.6785714285714286,28.0,2.0,1.0,1.0,0.8181818181818182,22.0,6.0,0.0,0.0,0.0,0.0,1.0,1.0,0.6666666666666666,0.4827586206896552,29.0,0.0,1.0
46571,52.0,2016-09-02,61,1.0,3.0,2.0,1.0,1.0,0.6785714285714286,28.0,2.0,1.0,1.0,0.8181818181818182,22.0,6.0,0.0,0.0,0.0,0.0,1.0,1.0,0.6666666666666666,0.4827586206896552,29.0,5.0,0.0,0.0,0.29411764705882354,17.0,2.0,0.0
46542,52.0,2016-08-31,61,1.0,3.0,2.0,1.0,1.0,0.8181818181818182,22.0,6.0,0.0,0.0,0.0,0.0,1.0,1.0,0.6666666666666666,0.4827586206896552,29.0,5.0,0.0,0.0,0.29411764705882354,17.0,1.0,1.0,1.0,0.75,16.0,1.0,1.0
46478,52.0,2016-08-29,61,1.0,3.0,6.0,0.0,0.0,0.0,0.0,1.0,1.0,0.6666666666666666,0.4827586206896552,29.0,5.0,0.0,0.0,0.29411764705882354,17.0,1.0,1.0,1.0,0.75,16.0,20.0,0.0,0.0,0.46153846153846156,26.0,0.0,1.0
46442,51.0,2016-08-23,63,1.0,3.0,1.0,1.0,0.6666666666666666,0.4827586206896552,29.0,5.0,0.0,0.0,0.29411764705882354,17.0,1.0,1.0,1.0,0.75,16.0,20.0,0.0,0.0,0.46153846153846156,26.0,2.0,1.0,1.0,0.5909090909090909,22.0,1.0,0.0
46431,51.0,2016-08-22,63,1.0,3.0,5.0,0.0,0.0,0.29411764705882354,17.0,1.0,1.0,1.0,0.75,16.0,20.0,0.0,0.0,0.46153846153846156,26.0,2.0,1.0,1.0,0.5909090909090909,22.0,3.0,0.0,0.0,0.4,20.0,0.0,1.0
46393,50.0,2016-08-17,68,1.0,3.0,1.0,1.0,1.0,0.75,16.0,20.0,0.0,0.0,0.46153846153846156,26.0,2.0,1.0,1.0,0.5909090909090909,22.0,3.0,0.0,0.0,0.4,20.0,1.0,1.0,0.6666666666666666,0.5454545454545454,33.0,1.0,0.0
46378,50.0,2016-08-16,68,1.0,3.0,20.0,0.0,0.0,0.46153846153846156,26.0,2.0,1.0,1.0,0.5909090909090909,22.0,3.0,0.0,0.0,0.4,20.0,1.0,1.0,0.6666666666666666,0.5454545454545454,33.0,3.0,1.0,1.0,0.7058823529411765,17.0,0.0,1.0
46285,47.0,2016-07-27,61,1.0,3.0,2.0,1.0,1.0,0.5909090909090909,22.0,3.0,0.0,0.0,0.4,20.0,1.0,1.0,0.6666666666666666,0.5454545454545454,33.0,3.0,1.0,1.0,0.7058823529411765,17.0,6.0,0.0,0.3333333333333333,0.4642857142857143,28.0,1.0,0.0
46267,47.0,2016-07-25,61,1.0,3.0,3.0,0.0,0.0,0.4,20.0,1.0,1.0,0.6666666666666666,0.5454545454545454,33.0,3.0,1.0,1.0,0.7058823529411765,17.0,6.0,0.0,0.3333333333333333,0.4642857142857143,28.0,10.0,0.0,0.4,0.4186046511627907,43.0,0.0,1.0
46152,43.0,2016-07-22,66,1.0,0.0,1.0,1.0,0.6666666666666666,0.5454545454545454,33.0,3.0,1.0,1.0,0.7058823529411765,17.0,6.0,0.0,0.3333333333333333,0.4642857142857143,28.0,10.0,0.0,0.4,0.4186046511627907,43.0,2.0,1.0,0.75,0.5833333333333334,36.0,2.0,0.0
46149,43.0,2016-07-21,66,1.0,0.0,3.0,1.0,1.0,0.7058823529411765,17.0,6.0,0.0,0.3333333333333333,0.4642857142857143,28.0,10.0,0.0,0.4,0.4186046511627907,43.0,2.0,1.0,0.75,0.5833333333333334,36.0,8.0,0.0,0.3333333333333333,0.45714285714285713,35.0,1.0,1.0
46134,43.0,2016-07-18,66,1.0,0.0,6.0,0.0,0.3333333333333333,0.4642857142857143,28.0,10.0,0.0,0.4,0.4186046511627907,43.0,2.0,1.0,0.75,0.5833333333333334,36.0,8.0,0.0,0.3333333333333333,0.45714285714285713,35.0,1.0,1.0,1.0,0.7058823529411765,17.0,0.0,1.0
46083,41.0,2016-07-12,63,1.0,0.0,10.0,0.0,0.4,0.4186046511627907,43.0,2.0,1.0,0.75,0.5833333333333334,36.0,8.0,0.0,0.3333333333333333,0.45714285714285713,35.0,1.0,1.0,1.0,0.7058823529411765,17.0,1.0,1.0,0.6666666666666666,0.5714285714285714,28.0,0.0,0.0
46015,39.0,2016-07-02,70,1.0,2.0,2.0,1.0,0.75,0.5833333333333334,36.0,8.0,0.0,0.3333333333333333,0.45714285714285713,35.0,1.0,1.0,1.0,0.7058823529411765,17.0,1.0,1.0,0.6666666666666666,0.5714285714285714,28.0,10.0,0.0,0.3333333333333333,0.4838709677419355,31.0,1.0,0.0
45983,39.0,2016-06-30,70,1.0,2.0,8.0,0.0,0.3333333333333333,0.45714285714285713,35.0,1.0,1.0,1.0,0.7058823529411765,17.0,1.0,1.0,0.6666666666666666,0.5714285714285714,28.0,10.0,0.0,0.3333333333333333,0.4838709677419355,31.0,1.0,1.0,1.0,0.5909090909090909,22.0,0.0,1.0
45911,38.0,2016-06-22,73,1.0,2.0,1.0,1.0,1.0,0.7058823529411765,17.0,1.0,1.0,0.6666666666666666,0.5714285714285714,28.0,10.0,0.0,0.3333333333333333,0.4838709677419355,31.0,1.0,1.0,1.0,0.5909090909090909,22.0,2.0,1.0,1.0,0.5909090909090909,22.0,2.0,0.0
45895,38.0,2016-06-21,73,1.0,2.0,1.0,1.0,0.6666666666666666,0.5714285714285714,28.0,10.0,0.0,0.3333333333333333,0.4838709677419355,31.0,1.0,1.0,1.0,0.5909090909090909,22.0,2.0,1.0,1.0,0.5909090909090909,22.0,15.0,0.0,0.4,0.49019607843137253,51.0,1.0,1.0
45876,38.0,2016-06-20,73,1.0,2.0,10.0,0.0,0.3333333333333333,0.4838709677419355,31.0,1.0,1.0,1.0,0.5909090909090909,22.0,2.0,1.0,1.0,0.5909090909090909,22.0,15.0,0.0,0.4,0.49019607843137253,51.0,7.0,0.0,0.0,0.38095238095238093,21.0,0.0,1.0
45777,34.0,2016-06-10,76,1.0,2.0,1.0,1.0,1.0,0.5909090909090909,22.0,2.0,1.0,1.0,0.5909090909090909,22.0,15.0,0.0,0.4,0.49019607843137253,51.0,7.0,0.0,0.0,0.38095238095238093,21.0,21.0,0.0,0.0,0.3,10.0,2.0,0.0
