,ATP,Date,Rank,Court,Surface,DaysOffFromMatch1,1LastGame,1LastGameDiff,1LastGameGamesDiff,1LastGameNrOfGames,DaysOffFromMatch2,2LastGame,2LastGameDiff,2LastGameGamesDiff,2LastGameNrOfGames,DaysOffFromMatch3,3LastGame,3LastGameDiff,3LastGameGamesDiff,3LastGameNrOfGames,DaysOffFromMatch4,4LastGame,4LastGameDiff,4LastGameGamesDiff,4LastGameNrOfGames,DaysOffFromMatch5,5LastGame,5LastGameDiff,5LastGameGamesDiff,5LastGameNrOfGames,MatchesInTour,Result
46049,40.0,2016-07-11,176,1.0,0.0,447.0,0.0,0.0,0.3157894736842105,19.0,77.0,0.0,0.0,0.3684210526315789,19.0,225.0,0.0,0.0,0.4473684210526316,38.0,25.0,0.0,0.0,0.35714285714285715,28.0,2.0,1.0,0.0,0.2857142857142857,7.0,0.0,0.0
42736,25.0,2015-04-21,157,1.0,0.0,77.0,0.0,0.0,0.3684210526315789,19.0,225.0,0.0,0.0,0.4473684210526316,38.0,25.0,0.0,0.0,0.35714285714285715,28.0,2.0,1.0,0.0,0.2857142857142857,7.0,225.0,0.0,0.0,0.5,10.0,0.0,0.0
42044,7.0,2015-02-03,183,0.0,3.0,225.0,0.0,0.0,0.4473684210526316,38.0,25.0,0.0,0.0,0.35714285714285715,28.0,2.0,1.0,0.0,0.2857142857142857,7.0,225.0,0.0,0.0,0.5,10.0,25.0,0.0,0.3333333333333333,0.48,25.0,0.0,0.0
40644,37.0,2014-06-23,272,1.0,2.0,25.0,0.0,0.0,0.35714285714285715,28.0,2.0,1.0,0.0,0.2857142857142857,7.0,225.0,0.0,0.0,0.5,10.0,25.0,0.0,0.3333333333333333,0.48,25.0,2.0,1.0,0.6666666666666666,0.6,25.0,0.0,0.0
40465,32.0,2014-05-29,335,1.0,0.0,2.0,1.0,0.0,0.2857142857142857,7.0,225.0,0.0,0.0,0.5,10.0,25.0,0.0,0.3333333333333333,0.48,25.0,2.0,1.0,0.6666666666666666,0.6,25.0,19.0,0.0,0.4,0.47619047619047616,42.0,1.0,0.0
40433,32.0,2014-05-27,335,1.0,0.0,225.0,0.0,0.0,0.5,10.0,25.0,0.0,0.3333333333333333,0.48,25.0,2.0,1.0,0.6666666666666666,0.6,25.0,19.0,0.0,0.4,0.47619047619047616,42.0,51.0,0.0,0.0,0.2,15.0,0.0,1.0
38994,60.0,2013-10-14,293,0.0,3.0,25.0,0.0,0.3333333333333333,0.48,25.0,2.0,1.0,0.6666666666666666,0.6,25.0,19.0,0.0,0.4,0.47619047619047616,42.0,51.0,0.0,0.0,0.2,15.0,15.0,0.0,0.0,0.42857142857142855,35.0,0.0,0.0
38787,53.0,2013-09-19,302,0.0,3.0,2.0,1.0,0.6666666666666666,0.6,25.0,19.0,0.0,0.4,0.47619047619047616,42.0,51.0,0.0,0.0,0.2,15.0,15.0,0.0,0.0,0.42857142857142855,35.0,28.0,0.0,0.0,0.25,24.0,1.0,0.0
38772,53.0,2013-09-17,302,0.0,3.0,19.0,0.0,0.4,0.47619047619047616,42.0,51.0,0.0,0.0,0.2,15.0,15.0,0.0,0.0,0.42857142857142855,35.0,28.0,0.0,0.0,0.25,24.0,221.0,0.0,0.0,0.29411764705882354,17.0,0.0,1.0
38668,51.0,2013-08-29,256,1.0,3.0,51.0,0.0,0.0,0.2,15.0,15.0,0.0,0.0,0.42857142857142855,35.0,28.0,0.0,0.0,0.25,24.0,221.0,0.0,0.0,0.29411764705882354,17.0,2.0,1.0,1.0,0.6,20.0,0.0,0.0
38145,38.0,2013-07-09,202,1.0,0.0,15.0,0.0,0.0,0.42857142857142855,35.0,28.0,0.0,0.0,0.25,24.0,221.0,0.0,0.0,0.29411764705882354,17.0,2.0,1.0,1.0,0.6,20.0,26.0,0.0,0.0,0.3333333333333333,9.0,0.0,0.0
38036,37.0,2013-06-24,183,1.0,2.0,28.0,0.0,0.0,0.25,24.0,221.0,0.0,0.0,0.29411764705882354,17.0,2.0,1.0,1.0,0.6,20.0,26.0,0.0,0.0,0.3333333333333333,9.0,1.0,1.0,1.0,0.6470588235294118,17.0,0.0,0.0
37768,32.0,2013-05-27,166,1.0,0.0,221.0,0.0,0.0,0.29411764705882354,17.0,2.0,1.0,1.0,0.6,20.0,26.0,0.0,0.0,0.3333333333333333,9.0,1.0,1.0,1.0,0.6470588235294118,17.0,20.0,0.0,0.0,0.28,25.0,0.0,0.0
36381,60.0,2012-10-18,87,0.0,3.0,2.0,1.0,1.0,0.6,20.0,26.0,0.0,0.0,0.3333333333333333,9.0,1.0,1.0,1.0,0.6470588235294118,17.0,20.0,0.0,0.0,0.28,25.0,2.0,1.0,0.75,0.5641025641025641,39.0,1.0,0.0
