,ATP,Date,Rank,Court,Surface,DaysOffFromMatch1,1LastGame,1LastGameDiff,1LastGameGamesDiff,1LastGameNrOfGames,DaysOffFromMatch2,2LastGame,2LastGameDiff,2LastGameGamesDiff,2LastGameNrOfGames,DaysOffFromMatch3,3LastGame,3LastGameDiff,3LastGameGamesDiff,3LastGameNrOfGames,DaysOffFromMatch4,4LastGame,4LastGameDiff,4LastGameGamesDiff,4LastGameNrOfGames,DaysOffFromMatch5,5LastGame,5LastGameDiff,5LastGameGamesDiff,5LastGameNrOfGames,MatchesInTour,Result
21618,31.0,2007-05-29,135,1.0,0.0,36.0,0.0,0.0,0.3333333333333333,18.0,12.0,0.0,0.0,0.35,20.0,1.0,1.0,0.6666666666666666,0.5625,32.0,41.0,0.0,0.0,0.29411764705882354,17.0,3.0,0.0,0.0,0.2,15.0,0.0,0.0
21356,25.0,2007-04-23,116,1.0,0.0,12.0,0.0,0.0,0.35,20.0,1.0,1.0,0.6666666666666666,0.5625,32.0,41.0,0.0,0.0,0.29411764705882354,17.0,3.0,0.0,0.0,0.2,15.0,1.0,1.0,1.0,0.7058823529411765,17.0,0.0,0.0
21228,22.0,2007-04-11,98,1.0,0.0,1.0,1.0,0.6666666666666666,0.5625,32.0,41.0,0.0,0.0,0.29411764705882354,17.0,3.0,0.0,0.0,0.2,15.0,1.0,1.0,1.0,0.7058823529411765,17.0,1.0,1.0,0.6666666666666666,0.52,25.0,1.0,0.0
21219,22.0,2007-04-10,98,1.0,0.0,41.0,0.0,0.0,0.29411764705882354,17.0,3.0,0.0,0.0,0.2,15.0,1.0,1.0,1.0,0.7058823529411765,17.0,1.0,1.0,0.6666666666666666,0.52,25.0,1.0,0.0,0.0,0.29411764705882354,17.0,0.0,1.0
20910,16.0,2007-02-28,68,1.0,0.0,3.0,0.0,0.0,0.2,15.0,1.0,1.0,1.0,0.7058823529411765,17.0,1.0,1.0,0.6666666666666666,0.52,25.0,1.0,0.0,0.0,0.29411764705882354,17.0,2.0,1.0,1.0,0.5652173913043478,23.0,0.0,0.0
20834,13.0,2007-02-25,98,1.0,0.0,1.0,1.0,1.0,0.7058823529411765,17.0,1.0,1.0,0.6666666666666666,0.52,25.0,1.0,0.0,0.0,0.29411764705882354,17.0,2.0,1.0,1.0,0.5652173913043478,23.0,6.0,0.0,0.0,0.2,15.0,4.0,0.0
20832,13.0,2007-02-24,98,1.0,0.0,1.0,1.0,0.6666666666666666,0.52,25.0,1.0,0.0,0.0,0.29411764705882354,17.0,2.0,1.0,1.0,0.5652173913043478,23.0,6.0,0.0,0.0,0.2,15.0,15.0,0.0,0.0,0.25,16.0,3.0,1.0
20828,13.0,2007-02-23,98,1.0,0.0,1.0,0.0,0.0,0.29411764705882354,17.0,2.0,1.0,1.0,0.5652173913043478,23.0,6.0,0.0,0.0,0.2,15.0,15.0,0.0,0.0,0.25,16.0,1.0,0.0,0.0,0.2,15.0,2.0,1.0
20824,13.0,2007-02-22,98,1.0,0.0,2.0,1.0,1.0,0.5652173913043478,23.0,6.0,0.0,0.0,0.2,15.0,15.0,0.0,0.0,0.25,16.0,1.0,0.0,0.0,0.2,15.0,13.0,0.0,0.0,0.28,25.0,1.0,0.0
20809,13.0,2007-02-20,98,1.0,0.0,6.0,0.0,0.0,0.2,15.0,15.0,0.0,0.0,0.25,16.0,1.0,0.0,0.0,0.2,15.0,13.0,0.0,0.0,0.28,25.0,99.0,0.0,0.0,0.14285714285714285,14.0,0.0,1.0
