,ATP,Date,Rank,Court,Surface,DaysOffFromMatch1,1LastGame,1LastGameDiff,1LastGameGamesDiff,1LastGameNrOfGames,DaysOffFromMatch2,2LastGame,2LastGameDiff,2LastGameGamesDiff,2LastGameNrOfGames,DaysOffFromMatch3,3LastGame,3LastGameDiff,3LastGameGamesDiff,3LastGameNrOfGames,DaysOffFromMatch4,4LastGame,4LastGameDiff,4LastGameGamesDiff,4LastGameNrOfGames,DaysOffFromMatch5,5LastGame,5LastGameDiff,5LastGameGamesDiff,5LastGameNrOfGames,MatchesInTour,Result
20888,15.0,2007-02-22,278,0.0,3.0,1.0,1.0,0.6666666666666666,0.5625,32.0,582.0,0.0,0.0,0.0,6.0,36.0,0.0,0.0,0.43478260869565216,23.0,131.0,0.0,0.0,0.3333333333333333,18.0,30.0,0.0,0.3333333333333333,0.4230769230769231,26.0,1.0,0.0
20880,15.0,2007-02-21,278,0.0,3.0,582.0,0.0,0.0,0.0,6.0,36.0,0.0,0.0,0.43478260869565216,23.0,131.0,0.0,0.0,0.3333333333333333,18.0,30.0,0.0,0.3333333333333333,0.4230769230769231,26.0,84.0,0.0,0.0,0.4090909090909091,22.0,0.0,1.0
16294,40.0,2005-07-19,185,1.0,0.0,36.0,0.0,0.0,0.43478260869565216,23.0,131.0,0.0,0.0,0.3333333333333333,18.0,30.0,0.0,0.3333333333333333,0.4230769230769231,26.0,84.0,0.0,0.0,0.4090909090909091,22.0,4.0,0.0,0.0,0.43478260869565216,23.0,0.0,0.0
16011,34.0,2005-06-13,144,1.0,2.0,131.0,0.0,0.0,0.3333333333333333,18.0,30.0,0.0,0.3333333333333333,0.4230769230769231,26.0,84.0,0.0,0.0,0.4090909090909091,22.0,4.0,0.0,0.0,0.43478260869565216,23.0,6.0,0.0,0.0,0.35,20.0,0.0,0.0
14811,7.0,2005-02-02,118,1.0,3.0,30.0,0.0,0.3333333333333333,0.4230769230769231,26.0,84.0,0.0,0.0,0.4090909090909091,22.0,4.0,0.0,0.0,0.43478260869565216,23.0,6.0,0.0,0.0,0.35,20.0,1.0,1.0,1.0,0.75,16.0,0.0,0.0
14556,2.0,2005-01-03,112,1.0,3.0,84.0,0.0,0.0,0.4090909090909091,22.0,4.0,0.0,0.0,0.43478260869565216,23.0,6.0,0.0,0.0,0.35,20.0,1.0,1.0,1.0,0.75,16.0,2.0,1.0,0.6666666666666666,0.53125,32.0,0.0,0.0
14224,59.0,2004-10-11,78,0.0,3.0,4.0,0.0,0.0,0.43478260869565216,23.0,6.0,0.0,0.0,0.35,20.0,1.0,1.0,1.0,0.75,16.0,2.0,1.0,0.6666666666666666,0.53125,32.0,14.0,0.0,0.0,0.14285714285714285,14.0,0.0,0.0
14207,58.0,2004-10-07,77,1.0,3.0,6.0,0.0,0.0,0.35,20.0,1.0,1.0,1.0,0.75,16.0,2.0,1.0,0.6666666666666666,0.53125,32.0,14.0,0.0,0.0,0.14285714285714285,14.0,13.0,0.0,0.0,0.40625,32.0,0.0,0.0
14078,54.0,2004-10-01,81,0.0,3.0,1.0,1.0,1.0,0.75,16.0,2.0,1.0,0.6666666666666666,0.53125,32.0,14.0,0.0,0.0,0.14285714285714285,14.0,13.0,0.0,0.0,0.40625,32.0,46.0,0.0,0.0,0.43478260869565216,23.0,2.0,0.0
14069,54.0,2004-09-30,81,0.0,3.0,2.0,1.0,0.6666666666666666,0.53125,32.0,14.0,0.0,0.0,0.14285714285714285,14.0,13.0,0.0,0.0,0.40625,32.0,46.0,0.0,0.0,0.43478260869565216,23.0,1.0,1.0,1.0,0.6666666666666666,18.0,1.0,1.0
14055,54.0,2004-09-28,81,0.0,3.0,14.0,0.0,0.0,0.14285714285714285,14.0,13.0,0.0,0.0,0.40625,32.0,46.0,0.0,0.0,0.43478260869565216,23.0,1.0,1.0,1.0,0.6666666666666666,18.0,1.0,1.0,1.0,0.8571428571428571,14.0,0.0,1.0
13997,52.0,2004-09-14,72,1.0,0.0,13.0,0.0,0.0,0.40625,32.0,46.0,0.0,0.0,0.43478260869565216,23.0,1.0,1.0,1.0,0.6666666666666666,18.0,1.0,1.0,1.0,0.8571428571428571,14.0,2.0,1.0,0.6666666666666666,0.5185185185185185,27.0,0.0,0.0
13892,50.0,2004-09-01,73,1.0,3.0,46.0,0.0,0.0,0.43478260869565216,23.0,1.0,1.0,1.0,0.6666666666666666,18.0,1.0,1.0,1.0,0.8571428571428571,14.0,2.0,1.0,0.6666666666666666,0.5185185185185185,27.0,19.0,0.0,0.4,0.4918032786885246,61.0,0.0,0.0
13408,39.0,2004-07-17,89,1.0,0.0,1.0,1.0,1.0,0.6666666666666666,18.0,1.0,1.0,1.0,0.8571428571428571,14.0,2.0,1.0,0.6666666666666666,0.5185185185185185,27.0,19.0,0.0,0.4,0.4918032786885246,61.0,7.0,0.0,0.0,0.38461538461538464,13.0,3.0,0.0
13406,39.0,2004-07-16,89,1.0,0.0,1.0,1.0,1.0,0.8571428571428571,14.0,2.0,1.0,0.6666666666666666,0.5185185185185185,27.0,19.0,0.0,0.4,0.4918032786885246,61.0,7.0,0.0,0.0,0.38461538461538464,13.0,3.0,1.0,1.0,0.7058823529411765,17.0,2.0,1.0
13399,39.0,2004-07-15,89,1.0,0.0,2.0,1.0,0.6666666666666666,0.5185185185185185,27.0,19.0,0.0,0.4,0.4918032786885246,61.0,7.0,0.0,0.0,0.38461538461538464,13.0,3.0,1.0,1.0,0.7058823529411765,17.0,21.0,0.0,0.0,0.25,24.0,1.0,1.0
13387,39.0,2004-07-13,89,1.0,0.0,19.0,0.0,0.4,0.4918032786885246,61.0,7.0,0.0,0.0,0.38461538461538464,13.0,3.0,1.0,1.0,0.7058823529411765,17.0,21.0,0.0,0.0,0.25,24.0,7.0,0.0,0.0,0.3333333333333333,18.0,0.0,1.0
13206,35.0,2004-06-24,87,1.0,2.0,7.0,0.0,0.0,0.38461538461538464,13.0,3.0,1.0,1.0,0.7058823529411765,17.0,21.0,0.0,0.0,0.25,24.0,7.0,0.0,0.0,0.3333333333333333,18.0,34.0,0.0,0.0,0.25,16.0,0.0,0.0
